"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57492.6333333333,57457.2,57528.0666666667,57513.1,57483,57542.5333333333,98.4333333333333,97.4333333333333,99.4333333333333,98.0666666666667,97.1,99.1333333333333,0,0,0,0,0,0,0,0,0,-1.56666666666667,-2.53333333333333,-0.5,-1.93333333333333,-2.9,-0.8,0,0,0
20,30,57596.1,57530.4666666667,57656.7333333333,57580.4,57519.9333333333,57640.9333333333,140.8,137.766666666667,144.133333333333,141.3,138.533333333333,144.233333333333,0,0,0,0,0,0,0,0,0,43.0578892471027,40.0080380093189,46.2223390478978,44.1178077884835,41.764758483603,46.8617960325617,0,0,0
30,30,55447.8666666667,55252,55624.9666666667,55412.0333333333,55271.4666666667,55546.9333333333,200.366666666667,196.2,205.066666666667,200.966666666667,197.133333333333,205.233333333333,0,0,0,0,0,0,0,0,0,42.5435394188479,40.1187799749772,45.2628243414895,42.2986109800981,40.4095389482809,44.3277918859172,0,0,0
40,30,52464.7333333333,52192.6333333333,52678.7,52473.3,52272.0333333333,52679.5333333333,278.833333333333,273.533333333333,283.966666666667,279.833333333333,273.7,286.2,0,0,0,0,0,0,0,0,0,39.3428530386803,37.1633901865787,41.7459959843238,39.3398323137917,37.1014177091629,41.5528859336213,0,0,0
50,30,48547.5666666667,48243.4,48812.8333333333,48516.6,48153.4,48831.4,392.033333333333,383.733333333333,401.166666666667,395.133333333333,386.033333333333,404.6,0,0,0,0,0,0,0,0,0,40.631282977688,39.239664366778,42.1628582391293,41.2441068509426,39.2676891709805,43.0113953070337,0,0,0
60,30,42906.7333333333,42458.7666666667,43261.8333333333,42700.6333333333,42214.9333333333,43169.6333333333,553.3,542.166666666667,565.233333333333,553.233333333333,541.1,565.033333333333,0,0,0,0,0,0,0,0,0,41.2253081125563,39.4794214866823,42.8223917810243,40.0862014991616,38.9346393711161,41.2435061355939,0,0,0
70,30,35038.0666666667,34464.8333333333,35552.1,35052.5,34397.2666666667,35645.1666666667,777.766666666667,761.666666666667,795.666666666667,773.466666666667,753.2,794.066666666667,0,0,0,0,0,0,0,0,0,40.5929816471921,39.5182788463225,41.6636523230529,39.779357230639,38.4015465699908,41.1180740835725,0,0,0
80,30,24858.2,24065,25530.8,25084.4333333333,24232.2666666667,25947.3333333333,1074.43333333333,1055.76666666667,1097.2,1058.9,1033.8,1081.83333333333,0,0,0,0,0,0,0,0,0,38.2249623928356,36.9737091358612,39.3973662607347,37.0252913617226,35.7689573584854,38.4462304589495,0,0,0
90,30,14103.3666666667,13489.3333333333,14636.9666666667,14498.7,13712.2666666667,15300.5,1371.36666666667,1352.73333333333,1388.43333333333,1371.86666666667,1350.7,1392.33333333333,0,0,0,0,0,0,0,0,0,27.7753003085407,26.5011826410691,29.0175588449927,29.7817257254215,28.4198803131174,31.2290113456658,0,0,0
