"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57508.8666666667,57471.6333333333,57548.6666666667,57512.6666666667,57475.1666666667,57549,98.6666666666667,97.1333333333333,99.9666666666667,99.1,97.6333333333333,100.633333333333,0,0,0,0,0,0,0,0,0,-1.33333333333333,-2.76666666666667,0.0666666666666667,-0.9,-2.26666666666667,0.566666666666667,0,0,0
20,30,57569.4666666667,57482.8,57654.2666666667,57546.8,57477.2666666667,57621.8,142.066666666667,139.333333333333,145.066666666667,139.7,136.7,142.566666666667,0,0,0,0,0,0,0,0,0,44.1647296294429,41.2212371098758,47.6499231985852,41.0060634652624,38.7552937133837,43.3526750867897,0,0,0
30,30,55412.4333333333,55261.0666666667,55541.3,55539,55386.7333333333,55690.7,199.5,196.133333333333,203.033333333333,200.033333333333,196.133333333333,204.3,0,0,0,0,0,0,0,0,0,40.7014273770354,37.7784317363174,43.4892385734808,43.4290695583848,40.7341330592401,45.9894530046838,0,0,0
40,30,52494.5666666667,52320.0333333333,52666.7666666667,52537.4333333333,52347.4333333333,52723.4666666667,280.433333333333,276.066666666667,284.933333333333,277.833333333333,273.5,282.633333333333,0,0,0,0,0,0,0,0,0,40.7008211618133,38.786526257331,42.8146350198118,39.0642350449587,37.0065534187243,41.1108018431286,0,0,0
50,30,48457.3333333333,48226.5333333333,48685.6666666667,48600.0333333333,48309.1,48851.2,396.033333333333,390.366666666667,401.8,391.233333333333,382.066666666667,400.5,0,0,0,0,0,0,0,0,0,41.3491996852551,39.4124057296927,43.2478671061234,40.798092435068,38.976433250241,42.6769046015266,0,0,0
60,30,42627.6333333333,42338.2666666667,42908.6,43009.4666666667,42556.1666666667,43443.3666666667,556.433333333333,547.333333333333,565.666666666667,550.266666666667,538.033333333333,562.6,0,0,0,0,0,0,0,0,0,40.5186122319824,38.9775789648228,42.0778859273183,40.7684764269686,39.1592982164566,42.3037263929685,0,0,0
70,30,34932.1,34444.4333333333,35370.4,35199.4,34637.5333333333,35679.6333333333,778.633333333333,766.233333333333,791.833333333333,766.733333333333,751.933333333333,782.966666666667,0,0,0,0,0,0,0,0,0,39.9771363435398,38.8974407293026,41.1445922258917,39.4000172369258,37.8249655119036,40.8520074637299,0,0,0
80,30,24787.4,24183.2666666667,25403.3666666667,25322.9666666667,24623,26012.8333333333,1072.8,1058.43333333333,1087.86666666667,1054.36666666667,1037.63333333333,1073.46666666667,0,0,0,0,0,0,0,0,0,37.8678411098019,36.74369436669,38.9735429164417,37.6449199826452,36.3467716359376,38.8674675246617,0,0,0
90,30,14118,13686.1666666667,14578.9666666667,14834.1666666667,14221.2666666667,15385.6,1374.33333333333,1358.36666666667,1390.63333333333,1361.56666666667,1341.23333333333,1380.93333333333,0,0,0,0,0,0,0,0,0,28.1612318802258,27.3547405896853,29.0274319621893,29.2092168980529,28.0709004442732,30.3026977794235,0,0,0
100,30,6678.03333333333,6371.56666666667,6978.46666666667,7058.56666666667,6724.2,7410.46666666667,1600.83333333333,1590.23333333333,1611.4,1573.83333333333,1562.4,1584.9,0,0,0,0,0,0,0,0,0,16.5715740539595,15.4052553260561,17.7972290907757,15.7246784012059,14.3064025682519,17.0832755136055,0,0,0
110,30,3517.46666666667,3333.23333333333,3701.83333333333,3843.9,3638.16666666667,4017.43333333333,1651.43333333333,1640.1,1663.5,1650.9,1641.96666666667,1660.6,0,0,0,0,0,0,0,0,0,3.20539885805968,2.21235877498046,4.3047013292391,4.93967553887034,4.0016698927408,5.90784838596128,0,0,0
120,30,2923.6,2783.5,3060.56666666667,2895.16666666667,2770.93333333333,3003.46666666667,1653.83333333333,1645.06666666667,1663.3,1655,1644.4,1666.63333333333,0,0,0,0,0,0,0,0,0,0.182229685712718,-0.707379329279629,1.04299203296234,0.288322391565691,-0.71252445336234,1.26909534210726,0,0,0
130,30,2814.56666666667,2669.13333333333,2963.2,2763.66666666667,2658.63333333333,2869.86666666667,1650.86666666667,1643.1,1658.93333333333,1649.66666666667,1642.23333333333,1657.9,0,0,0,0,0,0,0,0,0,-0.153338306932117,-0.964270295811834,0.574685639674116,-0.283523473467265,-1.14761676373017,0.698785420344339,0,0,0
140,30,2922.86666666667,2827.46666666667,3021.8,2908.6,2767.06666666667,3049.16666666667,1647.96666666667,1639.03333333333,1656,1646.86666666667,1637.2,1656.53333333333,0,0,0,0,0,0,0,0,0,-0.154243685115847,-0.926702082875089,0.534627960222641,-0.15101766700563,-0.926266730732185,0.664036620688655,0,0,0
150,30,2995.13333333333,2871.06666666667,3122,2906.53333333333,2761.5,3051.3,1650.23333333333,1641.6,1659.56666666667,1651.96666666667,1643.9,1660.06666666667,0,0,0,0,0,0,0,0,0,0.160982143754147,-0.604066661405825,0.90704563957584,0.338953405089791,-0.426811605922101,1.21244753225822,0,0,0
160,30,2884.73333333333,2775.66666666667,3000.46666666667,2851.36666666667,2734.16666666667,2985.86666666667,1645.26666666667,1637.9,1652.33333333333,1651.93333333333,1642.73333333333,1661.23333333333,0,0,0,0,0,0,0,0,0,-0.274246807398467,-1.03275180659021,0.477286061853959,0.0225249223779762,-0.852379433134993,0.86904624597526,0,0,0
170,30,2949.53333333333,2833.5,3065.7,2897.83333333333,2786.33333333333,3008.43333333333,1655.56666666667,1646.2,1665.4,1647.3,1639.03333333333,1656.33333333333,0,0,0,0,0,0,0,0,0,0.643310370657152,-0.113258835273217,1.3938971179296,-0.247317354772398,-1.063933248369,0.601913582892145,0,0,0
180,30,3031.63333333333,2893.9,3174.3,2879,2757.63333333333,3000.76666666667,1638.66666666667,1630.63333333333,1646.73333333333,1652.83333333333,1643.43333333333,1662.3,0,0,0,0,0,0,0,0,0,-0.988567333047441,-1.87262711777118,-0.129411460451852,0.354369101872623,-0.347424901131455,0.966542291865412,0,0,0
190,30,2943.66666666667,2827.56666666667,3050.7,2828.93333333333,2706.53333333333,2950.16666666667,1649.16666666667,1641.66666666667,1656.8,1653.26666666667,1644.03333333333,1661.93333333333,0,0,0,0,0,0,0,0,0,0.664873693220228,-0.120824856426988,1.38766516117757,0.0567578855406251,-0.870295456600724,0.975606667430867,0,0,0
200,30,2886.16666666667,2739.1,3023.66666666667,2931.13333333333,2795.56666666667,3072.43333333333,1645.96666666667,1636.8,1655.23333333333,1645.06666666667,1637.16666666667,1651.7,0,0,0,0,0,0,0,0,0,-0.176404302208307,-0.914728324688832,0.560484617067583,-0.470780466344237,-1.23446844528654,0.229048200488312,0,0,0
210,30,4576.76666666667,4411.53333333333,4743.56666666667,4558.53333333333,4398.16666666667,4711.33333333333,1542.43333333333,1534.43333333333,1550.33333333333,1540.23333333333,1530.76666666667,1550.4,0,0,0,0,0,0,203.133333333333,200.366666666667,205.733333333333,-6.27115921173423,-6.98503615233044,-5.64325797058839,-6.36582428231126,-6.91605207864963,-5.71661099592934,0,0,0
220,30,7228,6982.4,7482.4,7073.76666666667,6824.36666666667,7322.53333333333,1457.2,1444.53333333333,1467.56666666667,1467.23333333333,1458.1,1475.73333333333,0,0,0,0,0,0,408.566666666667,399.9,417.066666666667,-5.52469008997355,-6.14306757721775,-5.01928916699719,-4.721752762815,-5.34361136907127,-4.17036159528695,101.118845883602,98.1874970844349,104.068652803881
230,30,13780.8666666667,13291.7,14332.9666666667,13832.4333333333,13309.9666666667,14342.5666666667,1210.73333333333,1189.9,1230.53333333333,1199.1,1180.33333333333,1217.8,0,0,0,0,0,0,816.2,797.233333333333,833.2,-16.9282202504122,-17.9686279252782,-15.8150389091626,-18.2833320280432,-19.3186622231789,-17.3490897875008,99.7715880876,97.9381717794733,101.75137176034
