"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57466,57515,94,97,0,0,0,-6,-3,0
1,20,57590,57685,145,142,0,0,0,54.2553191489362,46.3917525773196,0
1,30,55141,55380,202,201,0,0,0,39.3103448275862,41.5492957746479,0
1,40,52247,52524,272,292,0,0,0,34.6534653465347,45.273631840796,0
1,50,48618,48078,390,404,0,0,0,43.3823529411765,38.3561643835616,0
1,60,43238,42115,549,559,0,0,0,40.7692307692308,38.3663366336634,0
1,70,35116,34838,760,798,0,0,0,38.4335154826958,42.7549194991055,0
1,80,25807,23612,1032,1094,0,0,0,35.7894736842105,37.0927318295739,0
1,90,16100,13183,1335,1430,0,0,0,29.3604651162791,30.7129798903108,0
1,100,7485,5412,1568,1607,0,0,0,17.4531835205993,12.3776223776224,0
1,110,3466,3427,1662,1667,0,0,0,5.99489795918367,3.73366521468575,0
1,120,2691,2808,1666,1633,0,0,0,0.240673886883273,-2.03959208158368,0
1,130,2755,3058,1626,1642,0,0,0,-2.40096038415366,0.551132884262094,0
1,140,2448,3409,1681,1660,0,0,0,3.38253382533825,1.09622411693057,0
1,150,2256,2766,1680,1653,0,0,0,-0.0594883997620464,-0.421686746987952,0
1,160,2797,2644,1658,1664,0,0,0,-1.30952380952381,0.665456745311555,0
1,170,2812,3066,1630,1611,0,0,0,-1.68878166465621,-3.18509615384615,0
1,180,3346,3028,1629,1670,0,0,0,-0.0613496932515337,3.66232153941651,0
1,190,2692,2753,1650,1612,0,0,0,1.28913443830571,-3.47305389221557,0
1,200,2816,3185,1638,1679,0,0,0,-0.727272727272727,4.15632754342432,0
1,210,4384,3035,1564,1610,2,2,192,-4.51770451770452,-4.10958904109589,0
1,220,4126,4382,1626,1587,1,1,379,3.96419437340153,-1.42857142857143,97.3958333333333
1,230,4685,5974,1530,1483,1,3,761,-5.90405904059041,-6.55324511657215,100.791556728232
1,240,9088,8643,1282,1346,9,10,1511,-16.2091503267974,-9.23803101820634,98.5545335085414
1,250,23584,22090,708,742,11,18,3023,-44.7737909516381,-44.8736998514116,100.066181336863
1,260,52395,52170,5,5,2,3,4743,-99.2937853107345,-99.3261455525606,56.8971220641747
1,270,62480,62440,0,0,0,0,3034,-100,-100,-36.0320472274931
1,280,62500,62500,0,0,0,0,1153,0,0,-61.9973632168754
1,290,62500,62500,0,0,0,0,187,0,0,-83.7814397224631
1,300,62500,62500,0,0,0,0,4,0,0,-97.8609625668449
1,310,62500,62500,0,0,0,0,0,0,0,-100
1,320,62500,62500,0,0,0,0,0,0,0,0
1,330,62500,62500,0,0,0,0,0,0,0,0
1,340,62500,62500,0,0,0,0,0,0,0,0
1,350,62500,62500,0,0,0,0,0,0,0,0
1,360,62500,62500,0,0,0,0,0,0,0,0
1,370,62500,62500,0,0,0,0,0,0,0,0
1,380,62500,62500,0,0,0,0,0,0,0,0
1,390,62500,62500,0,0,0,0,0,0,0,0
1,400,62500,62500,0,0,0,0,0,0,0,0
1,410,62500,62500,0,0,0,0,0,0,0,0
1,420,62500,62500,0,0,0,0,0,0,0,0
1,430,62500,62500,0,0,0,0,0,0,0,0
1,440,62500,62500,0,0,0,0,0,0,0,0
1,450,62500,62500,0,0,0,0,0,0,0,0
1,460,62500,62500,0,0,0,0,0,0,0,0
1,470,62500,62500,0,0,0,0,0,0,0,0
1,480,62500,62500,0,0,0,0,0,0,0,0
1,490,62500,62500,0,0,0,0,0,0,0,0
1,500,62500,62500,0,0,0,0,0,0,0,0
1,510,62500,62500,0,0,0,0,0,0,0,0
1,520,62500,62500,0,0,0,0,0,0,0,0
1,530,62500,62500,0,0,0,0,0,0,0,0
1,540,62500,62500,0,0,0,0,0,0,0,0
1,550,62500,62500,0,0,0,0,0,0,0,0
1,560,62500,62500,0,0,0,0,0,0,0,0
1,570,62500,62500,0,0,0,0,0,0,0,0
1,580,62500,62500,0,0,0,0,0,0,0,0
1,590,62500,62500,0,0,0,0,0,0,0,0
1,600,62500,62500,0,0,0,0,0,0,0,0
1,610,62500,62500,0,0,0,0,0,0,0,0
1,620,62500,62500,0,0,0,0,0,0,0,0
1,630,62500,62500,0,0,0,0,0,0,0,0
1,640,62500,62500,0,0,0,0,0,0,0,0
1,650,62500,62500,0,0,0,0,0,0,0,0
1,660,62500,62500,0,0,0,0,0,0,0,0
1,670,62500,62500,0,0,0,0,0,0,0,0
1,680,62500,62500,0,0,0,0,0,0,0,0
1,690,62500,62500,0,0,0,0,0,0,0,0
1,700,62500,62500,0,0,0,0,0,0,0,0
1,710,62500,62500,0,0,0,0,0,0,0,0
1,720,62500,62500,0,0,0,0,0,0,0,0
1,730,62500,62500,0,0,0,0,0,0,0,0
1,740,62500,62500,0,0,0,0,0,0,0,0
1,750,62500,62500,0,0,0,0,0,0,0,0
1,760,62500,62500,0,0,0,0,0,0,0,0
1,770,62500,62500,0,0,0,0,0,0,0,0
1,780,62500,62500,0,0,0,0,0,0,0,0
1,790,62500,62500,0,0,0,0,0,0,0,0
1,800,62500,62500,0,0,0,0,0,0,0,0
1,810,62500,62500,0,0,0,0,0,0,0,0
1,820,62500,62500,0,0,0,0,0,0,0,0
1,830,62500,62500,0,0,0,0,0,0,0,0
1,840,62500,62500,0,0,0,0,0,0,0,0
1,850,62500,62500,0,0,0,0,0,0,0,0
1,860,62500,62500,0,0,0,0,0,0,0,0
1,870,62500,62500,0,0,0,0,0,0,0,0
1,880,62500,62500,0,0,0,0,0,0,0,0
1,890,62500,62500,0,0,0,0,0,0,0,0
1,900,62500,62500,0,0,0,0,0,0,0,0
1,910,62500,62500,0,0,0,0,0,0,0,0
1,920,62500,62500,0,0,0,0,0,0,0,0
1,930,62500,62500,0,0,0,0,0,0,0,0
1,940,62500,62500,0,0,0,0,0,0,0,0
1,950,62500,62500,0,0,0,0,0,0,0,0
1,960,62500,62500,0,0,0,0,0,0,0,0
1,970,62500,62500,0,0,0,0,0,0,0,0
1,980,62500,62500,0,0,0,0,0,0,0,0
1,990,62500,62500,0,0,0,0,0,0,0,0
1,1000,62500,62500,0,0,0,0,0,0,0,0
2,0,62500,62500,100,100,0,0,0,0,0,0
2,10,57294,57356,101,107,0,0,0,1,7,0
2,20,57537,57183,148,153,0,0,0,46.5346534653465,42.9906542056075,0
2,30,54983,54832,208,210,0,0,0,40.5405405405405,37.2549019607843,0
2,40,52256,51982,279,308,0,0,0,34.1346153846154,46.6666666666667,0
2,50,48648,47077,412,424,0,0,0,47.6702508960573,37.6623376623377,0
2,60,42288,41044,565,598,0,0,0,37.1359223300971,41.0377358490566,0
2,70,34481,33314,767,822,0,0,0,35.7522123893805,37.4581939799331,0
2,80,25069,23269,1092,1150,0,0,0,42.3728813559322,39.9026763990268,0
2,90,13096,12499,1406,1437,0,0,0,28.7545787545788,24.9565217391304,0
2,100,5793,5079,1611,1598,0,0,0,14.5803698435277,11.2038970076548,0
2,110,3638,3716,1655,1692,0,0,0,2.73122284295469,5.88235294117647,0
2,120,2316,2725,1683,1647,0,0,0,1.69184290030211,-2.65957446808511,0
2,130,2529,2574,1636,1657,0,0,0,-2.79263220439691,0.607164541590771,0
2,140,3038,2694,1652,1640,0,0,0,0.97799511002445,-1.02595051297526,0
2,150,3098,3372,1624,1648,0,0,0,-1.69491525423729,0.48780487804878,0
2,160,3061,2981,1637,1629,0,0,0,0.800492610837438,-1.15291262135922,0
2,170,3210,2976,1622,1634,0,0,0,-0.916310323762981,0.306936771025169,0
2,180,2712,3314,1648,1634,0,0,0,1.60295930949445,0,0
2,190,2616,3470,1671,1662,0,0,0,1.39563106796116,1.71358629130967,0
2,200,2689,2896,1658,1609,0,0,0,-0.777977259126272,-3.18892900120337,0
2,210,3101,3811,1625,1584,0,0,208,-1.99034981905911,-1.55376009944065,0
2,220,3828,4808,1545,1543,0,1,415,-4.92307692307692,-2.58838383838384,99.5192307692308
2,230,6024,5923,1487,1473,2,4,857,-3.75404530744337,-4.53661697990927,106.506024096386
2,240,10550,11263,1250,1223,13,6,1714,-15.9381304640215,-16.9721656483367,100
2,250,26809,29421,574,479,22,24,3397,-54.08,-60.8340147179068,98.1913652275379
2,260,56037,57232,0,0,0,1,4535,-100,-100,33.5001471886959
2,270,62500,62500,0,0,0,0,2611,0,0,-42.425578831312
2,280,62500,62500,0,0,0,0,765,0,0,-70.7008808885485
2,290,62500,62500,0,0,0,0,84,0,0,-89.0196078431373
2,300,62500,62500,0,0,0,0,5,0,0,-94.0476190476191
2,310,62500,62500,0,0,0,0,0,0,0,-100
2,320,62500,62500,0,0,0,0,0,0,0,0
2,330,62500,62500,0,0,0,0,0,0,0,0
2,340,62500,62500,0,0,0,0,0,0,0,0
2,350,62500,62500,0,0,0,0,0,0,0,0
2,360,62500,62500,0,0,0,0,0,0,0,0
2,370,62500,62500,0,0,0,0,0,0,0,0
2,380,62500,62500,0,0,0,0,0,0,0,0
2,390,62500,62500,0,0,0,0,0,0,0,0
2,400,62500,62500,0,0,0,0,0,0,0,0
2,410,62500,62500,0,0,0,0,0,0,0,0
2,420,62500,62500,0,0,0,0,0,0,0,0
2,430,62500,62500,0,0,0,0,0,0,0,0
2,440,62500,62500,0,0,0,0,0,0,0,0
2,450,62500,62500,0,0,0,0,0,0,0,0
2,460,62500,62500,0,0,0,0,0,0,0,0
2,470,62500,62500,0,0,0,0,0,0,0,0
2,480,62500,62500,0,0,0,0,0,0,0,0
2,490,62500,62500,0,0,0,0,0,0,0,0
2,500,62500,62500,0,0,0,0,0,0,0,0
2,510,62500,62500,0,0,0,0,0,0,0,0
2,520,62500,62500,0,0,0,0,0,0,0,0
2,530,62500,62500,0,0,0,0,0,0,0,0
2,540,62500,62500,0,0,0,0,0,0,0,0
2,550,62500,62500,0,0,0,0,0,0,0,0
2,560,62500,62500,0,0,0,0,0,0,0,0
2,570,62500,62500,0,0,0,0,0,0,0,0
2,580,62500,62500,0,0,0,0,0,0,0,0
2,590,62500,62500,0,0,0,0,0,0,0,0
2,600,62500,62500,0,0,0,0,0,0,0,0
2,610,62500,62500,0,0,0,0,0,0,0,0
2,620,62500,62500,0,0,0,0,0,0,0,0
2,630,62500,62500,0,0,0,0,0,0,0,0
2,640,62500,62500,0,0,0,0,0,0,0,0
2,650,62500,62500,0,0,0,0,0,0,0,0
2,660,62500,62500,0,0,0,0,0,0,0,0
2,670,62500,62500,0,0,0,0,0,0,0,0
2,680,62500,62500,0,0,0,0,0,0,0,0
2,690,62500,62500,0,0,0,0,0,0,0,0
2,700,62500,62500,0,0,0,0,0,0,0,0
2,710,62500,62500,0,0,0,0,0,0,0,0
2,720,62500,62500,0,0,0,0,0,0,0,0
2,730,62500,62500,0,0,0,0,0,0,0,0
2,740,62500,62500,0,0,0,0,0,0,0,0
2,750,62500,62500,0,0,0,0,0,0,0,0
2,760,62500,62500,0,0,0,0,0,0,0,0
2,770,62500,62500,0,0,0,0,0,0,0,0
2,780,62500,62500,0,0,0,0,0,0,0,0
2,790,62500,62500,0,0,0,0,0,0,0,0
2,800,62500,62500,0,0,0,0,0,0,0,0
2,810,62500,62500,0,0,0,0,0,0,0,0
2,820,62500,62500,0,0,0,0,0,0,0,0
2,830,62500,62500,0,0,0,0,0,0,0,0
2,840,62500,62500,0,0,0,0,0,0,0,0
2,850,62500,62500,0,0,0,0,0,0,0,0
2,860,62500,62500,0,0,0,0,0,0,0,0
2,870,62500,62500,0,0,0,0,0,0,0,0
2,880,62500,62500,0,0,0,0,0,0,0,0
2,890,62500,62500,0,0,0,0,0,0,0,0
2,900,62500,62500,0,0,0,0,0,0,0,0
2,910,62500,62500,0,0,0,0,0,0,0,0
2,920,62500,62500,0,0,0,0,0,0,0,0
2,930,62500,62500,0,0,0,0,0,0,0,0
2,940,62500,62500,0,0,0,0,0,0,0,0
2,950,62500,62500,0,0,0,0,0,0,0,0
2,960,62500,62500,0,0,0,0,0,0,0,0
2,970,62500,62500,0,0,0,0,0,0,0,0
2,980,62500,62500,0,0,0,0,0,0,0,0
2,990,62500,62500,0,0,0,0,0,0,0,0
2,1000,62500,62500,0,0,0,0,0,0,0,0
3,0,62500,62500,100,100,0,0,0,0,0,0
3,10,57672,57575,95,98,0,0,0,-5,-2,0
3,20,57849,57804,120,130,0,0,0,26.3157894736842,32.6530612244898,0
3,30,56618,56039,167,196,0,0,0,39.1666666666667,50.7692307692308,0
3,40,54269,53019,232,263,0,0,0,38.9221556886228,34.1836734693878,0
3,50,50869,49272,324,355,0,0,0,39.6551724137931,34.9809885931559,0
3,60,46231,44682,468,510,0,0,0,44.4444444444444,43.6619718309859,0
3,70,39037,36906,641,737,0,0,0,36.965811965812,44.5098039215686,0
3,80,30202,26051,913,1025,0,0,0,42.4336973478939,39.0773405698779,0
3,90,19280,15928,1238,1342,0,0,0,35.5969331872946,30.9268292682927,0
3,100,10116,6790,1515,1612,0,0,0,22.3747980613893,20.1192250372578,0
3,110,4468,3367,1626,1610,0,0,0,7.32673267326733,-0.124069478908189,0
3,120,3584,2945,1635,1636,0,0,0,0.553505535055351,1.61490683229814,0
3,130,2904,2507,1667,1698,0,0,0,1.95718654434251,3.78973105134474,0
3,140,2806,2360,1661,1681,0,0,0,-0.359928014397121,-1.00117785630153,0
3,150,3208,2493,1664,1676,0,0,0,0.180614087898856,-0.297441998810232,0
3,160,2896,2745,1595,1646,0,0,0,-4.14663461538461,-1.78997613365155,0
3,170,3352,3084,1660,1598,0,0,0,4.07523510971787,-2.91616038882139,0
3,180,2781,3473,1663,1666,0,0,0,0.180722891566265,4.25531914893617,0
3,190,2807,2982,1616,1635,0,0,0,-2.82621767889357,-1.86074429771909,0
3,200,3779,2916,1609,1617,0,0,0,-0.433168316831683,-1.10091743119266,0
