"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57506.1,57473.9,57537.6333333333,57493.2666666667,57461.9,57526.9333333333,99.1666666666667,97.9666666666667,100.366666666667,98.7,97.4333333333333,99.9666666666667,0,0,0,0,0,0,0,0,0,-0.833333333333333,-2.06666666666667,0.4,-1.3,-2.56666666666667,0,0,0,0
20,30,57539.4666666667,57466.3333333333,57609.3666666667,57578.0333333333,57513.0666666667,57641.5333333333,141.133333333333,138.666666666667,143.666666666667,142.266666666667,139.533333333333,145,0,0,0,0,0,0,0,0,0,42.3643014758298,40.1653690567776,44.5479763116873,44.1489256945637,42.1768430919702,46.1609361139076,0,0,0
30,30,55436.8,55299.2666666667,55570.5666666667,55373.9333333333,55201,55527.9333333333,201.066666666667,197.7,204.3,199.4,194.733333333333,204.133333333333,0,0,0,0,0,0,0,0,0,42.6072288071603,40.7417292689143,44.6034909762998,40.1519491117657,37.9602517781028,42.4073464313072,0,0,0
40,30,52449.8333333333,52264.8666666667,52606.2333333333,52547.7333333333,52296.1333333333,52814.0666666667,281.3,275.8,286.8,275.8,269.1,283.333333333333,0,0,0,0,0,0,0,0,0,39.96419537626,37.9495017020375,42.084514402433,38.3464391328808,36.762664572515,39.6357666309077,0,0,0
50,30,48420.3,48138.8,48694.2333333333,48706.7666666667,48367.2,49047.7666666667,394.466666666667,387,402.466666666667,392.6,383.6,402.233333333333,0,0,0,0,0,0,0,0,0,40.2992415057079,38.7300025596343,41.8931434710303,42.4895261261851,40.4312572827794,44.2758583760009,0,0,0
60,30,42818.3333333333,42383.4,43187.1,42909.8666666667,42400.1333333333,43415.1333333333,555.7,544.566666666667,567.8,550.766666666667,537.033333333333,563.8,0,0,0,0,0,0,0,0,0,40.9805409485024,39.4007670935378,42.6515371349022,40.3366831431439,39.0055379720641,41.7184235300891,0,0,0
70,30,34831.7333333333,34315.8,35367.4,35119.4666666667,34456.3666666667,35742.3333333333,777.966666666667,763.1,792.666666666667,766.1,747.966666666667,784.366666666667,0,0,0,0,0,0,0,0,0,40.0327299061115,38.6563544006541,41.4319438836011,39.1290337142062,38.0854248343121,40.2122506406977,0,0,0
80,30,24839.3666666667,24112.5,25495.9333333333,25403.9333333333,24592.2666666667,26147.5,1063.86666666667,1045,1085.26666666667,1058.83333333333,1034.53333333333,1080.33333333333,0,0,0,0,0,0,0,0,0,36.7840650284762,35.5583535999979,38.0050138533842,38.3043890035706,37.3446964989639,39.2367484101047,0,0,0
90,30,14551.9333333333,13837.9666666667,15161.9333333333,14615.7,13885.2,15302.2666666667,1375.2,1354.03333333333,1393.9,1360.46666666667,1335.6,1384.56666666667,0,0,0,0,0,0,0,0,0,29.4075802898203,28.1271500584672,30.7094608134913,28.6306804509286,27.4639626222484,29.8311592610015,0,0,0
100,30,6987.06666666667,6576.6,7417.13333333333,7301.76666666667,6821.33333333333,7794.83333333333,1574.2,1561.73333333333,1587.2,1580.4,1565.73333333333,1596.5,0,0,0,0,0,0,0,0,0,14.5938293315546,13.3296164116499,15.8125517477554,16.3238563634854,14.8917417260431,17.5885337310872,0,0,0
110,30,3839.5,3647.9,4021.26666666667,3789.23333333333,3540.8,4036.9,1648.86666666667,1639.93333333333,1656.73333333333,1641.46666666667,1631.26666666667,1651.76666666667,0,0,0,0,0,0,0,0,0,4.79580069220387,3.76217402995412,5.70804669872451,3.94676870475896,2.75392008632773,5.2108047788452,0,0,0
120,30,2986.36666666667,2842,3138.63333333333,3072.13333333333,2924.83333333333,3204.9,1655.03333333333,1645.3,1666.1,1658.6,1649,1667.4,0,0,0,0,0,0,0,0,0,0.395962349070581,-0.534284760212418,1.31891292720089,1.0805397496798,0.167781828627168,1.96264695423875,0,0,0
130,30,2854.76666666667,2721.33333333333,2969.13333333333,2875.4,2717.03333333333,3013.63333333333,1647.3,1638.8,1655.63333333333,1647.9,1639.56666666667,1656.2,0,0,0,0,0,0,0,0,0,-0.429018403683116,-1.32670677595466,0.434467731840102,-0.622431924984027,-1.3817580172188,0.0790968231294285,0,0,0
140,30,3002.5,2889.63333333333,3116.93333333333,2895.13333333333,2775.23333333333,3021.4,1644.36666666667,1635.66666666667,1654.1,1650.23333333333,1643.56666666667,1656.53333333333,0,0,0,0,0,0,0,0,0,-0.154695727175338,-0.904590467180166,0.685159201298247,0.164273373001404,-0.595340826820053,0.834191051043253,0,0,0
