timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57425,57527,100,103,0,0,0
20,57507,57323,146,144,0,0,0
30,55289,55509,214,203,0,0,0
40,51826,52369,277,294,0,0,0
50,48593,48086,397,412,0,0,0
60,42744,41853,550,598,0,0,0
70,34963,32903,792,830,0,0,0
80,24538,22970,1112,1092,0,0,0
90,13031,13458,1385,1413,0,0,0
100,6055,6422,1621,1554,0,0,0
110,3068,3655,1672,1687,0,0,0
120,2666,2651,1666,1652,0,0,0
130,3281,2542,1630,1652,0,0,0
140,2741,2622,1667,1680,0,0,0
150,2865,2581,1630,1642,0,0,0
160,3626,2899,1673,1657,0,0,0
170,2874,2337,1658,1656,0,0,0
180,2551,2589,1625,1630,0,0,0
190,2925,3176,1604,1644,0,0,0
200,3344,2738,1647,1665,0,0,0
210,5657,4513,1306,1310,31,30,184
220,15369,15696,946,910,43,33,334
230,35914,37121,255,262,41,39,447
240,58083,57633,11,12,3,6,227
250,62167,62190,3,3,0,0,14
260,62455,62361,0,6,0,0,1
270,62500,62231,0,6,0,0,0
280,62500,62158,0,9,0,0,0
290,62500,62077,0,15,0,0,0
300,62500,61709,0,21,0,0,0
310,62500,61479,0,31,0,0,0
320,62500,60942,0,38,0,0,0
330,62500,60559,0,57,0,0,0
340,62500,59701,0,80,0,0,0
350,62500,58594,0,113,0,0,0
360,62500,56795,0,159,0,0,0
370,62500,54634,0,216,0,0,0
380,62500,51640,0,305,0,0,0
390,62500,47431,0,433,0,0,0
400,62500,41052,0,603,0,0,0
410,62500,32385,0,872,0,0,0
420,62500,21120,0,1134,0,0,0
430,62500,12992,0,1411,0,0,0
440,62500,5681,0,1661,0,0,0
450,62500,2573,0,1656,0,0,0
460,62500,2593,0,1644,0,0,0
470,62500,3055,0,1617,0,0,0
480,62500,3106,0,1655,0,0,0
490,62500,3532,0,1633,0,0,0
500,62500,3041,0,1673,0,0,0
510,62500,2732,0,1667,0,0,0
520,62500,2516,0,1627,0,0,0
530,62500,3062,0,1666,0,0,0
540,62500,2475,0,1641,0,0,0
550,62500,2976,0,1637,0,0,0
560,62500,2666,0,1679,0,0,0
570,62500,2719,0,1639,0,0,0
580,62500,2875,0,1696,0,0,0
590,62500,2558,0,1596,0,0,0
600,62500,3693,0,1671,0,0,0
610,62500,2970,0,1631,0,0,0
620,62500,3171,0,1651,0,0,0
630,62500,2969,0,1643,0,0,0
640,62500,2955,0,1651,0,0,0
650,62500,2915,0,1614,0,0,0
660,62500,3417,0,1672,0,0,0
670,62500,2843,0,1662,0,0,0
680,62500,2443,0,1695,0,0,0
690,62500,3137,0,1630,0,0,0
700,62500,3201,0,1613,0,0,0
710,62500,3016,0,1615,0,0,0
720,62500,3309,0,1640,0,0,0
730,62500,3205,0,1650,0,0,0
740,62500,3146,0,1680,0,0,0
750,62500,2868,0,1643,0,0,0
760,62500,3303,0,1616,0,0,0
770,62500,3371,0,1635,0,0,0
780,62500,3565,0,1640,0,0,0
790,62500,3260,0,1668,0,0,0
800,62500,2596,0,1645,0,0,0
810,62500,3064,0,1618,0,0,0
820,62500,2766,0,1649,0,0,0
830,62500,2219,0,1672,0,0,0
840,62500,2965,0,1630,0,0,0
850,62500,3286,0,1625,0,0,0
860,62500,2799,0,1684,0,0,0
870,62500,2661,0,1640,0,0,0
880,62500,2904,0,1605,0,0,0
890,62500,3362,0,1634,0,0,0
900,62500,2797,0,1695,0,0,0
910,62500,2362,0,1672,0,0,0
920,62500,2756,0,1638,0,0,0
930,62500,2638,0,1647,0,0,0
940,62500,3040,0,1654,0,0,0
950,62500,2528,0,1677,0,0,0
960,62500,2333,0,1633,0,0,0
970,62500,2817,0,1680,0,0,0
980,62500,2564,0,1669,0,0,0
990,62500,3082,0,1626,0,0,0
1000,62500,2958,0,1657,0,0,0
