"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57471.9666666667,57439.6666666667,57500.4333333333,57514.2,57485.9333333333,57539.0333333333,99.5333333333333,98.1666666666667,100.866666666667,98.7666666666667,97.5666666666667,99.9666666666667,0,0,0,0,0,0,0,0,0,-0.466666666666667,-1.8,0.933333333333333,-1.23333333333333,-2.46666666666667,0,0,0,0
20,30,57515.8333333333,57433.1666666667,57595.6666666667,57552.9666666667,57489.8666666667,57618.4333333333,141.733333333333,139.666666666667,144.1,144.466666666667,140.033333333333,148.766666666667,0,0,0,0,0,0,0,0,0,42.4888065876684,40.2967376203088,44.7788950277457,46.3095619874071,42.113356240598,50.883241626925,0,0,0
30,30,55432.1333333333,55305.2,55549.0333333333,55288.1333333333,55040.0666666667,55506.7666666667,200.033333333333,196.033333333333,203.766666666667,201.166666666667,196.733333333333,205.666666666667,0,0,0,0,0,0,0,0,0,41.3174165204246,38.4035452237458,44.3414618225002,39.7287122162157,36.9485988468766,42.8366467382685,0,0,0
40,30,52485.4333333333,52255.5666666667,52670.7666666667,52487.9666666667,52262.8,52731.4666666667,279.433333333333,273.633333333333,285.266666666667,280.266666666667,274.866666666667,285.766666666667,0,0,0,0,0,0,0,0,0,39.8182315637047,37.5162599189042,42.2166070849304,39.5148067165436,37.4584191425181,41.7943016915024,0,0,0
50,30,48515.6666666667,48224.1333333333,48801.6,48560.3666666667,48270.5333333333,48823.1666666667,396.666666666667,389.866666666667,403.8,395.233333333333,384.933333333333,405.933333333333,0,0,0,0,0,0,0,0,0,42.1511096875072,39.857922308901,44.3587231572594,40.9662915760936,38.9884976623735,42.7654055897831,0,0,0
60,30,42733.6,42363.2666666667,43076,42783.1,42273.3,43248.2,554.133333333333,544.4,564.566666666667,557.266666666667,541.633333333333,572.733333333333,0,0,0,0,0,0,0,0,0,39.7049656601345,38.1943213012997,41.1041808263721,41.0489914479948,39.270819707932,42.8448569925951,0,0,0
70,30,34934.6333333333,34423.3666666667,35463.9333333333,34895.0333333333,34186.0333333333,35634.7333333333,783.133333333333,768.633333333333,796.266666666667,776.8,758.366666666667,795.5,0,0,0,0,0,0,0,0,0,41.4194809415737,40.1095159635334,42.8214142320577,39.471151232318,38.2008516215968,40.7167988885582,0,0,0
80,30,24582.7333333333,23986.7666666667,25134.3333333333,24948.2333333333,24101.4,25783.7,1069.6,1051.16666666667,1087.23333333333,1061.7,1034,1087.7,0,0,0,0,0,0,0,0,0,36.6403386834991,35.3626518954686,37.8325192517549,36.7558194254082,35.6507514080924,37.8372835733726,0,0,0
90,30,14215.4333333333,13581.0333333333,14816.3666666667,14561.6666666667,13713.0666666667,15378.2666666667,1378.2,1358.1,1395.83333333333,1373.03333333333,1350.66666666667,1396.06666666667,0,0,0,0,0,0,0,0,0,28.9418289203315,27.8048554260784,30.1409115916077,29.5315556518129,28.1580649246852,31.0789405106582,0,0,0
