"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,62500,62500,62500,57492.4333333333,57456.7,57529,0,0,0,98.7,97.5,99.9,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,-2.5,-0.0666666666666667,0,0,0
20,30,62500,62500,62500,57558.5333333333,57495.1333333333,57626.7666666667,0,0,0,144.166666666667,140.733333333333,147.3,0,0,0,0,0,0,0,0,0,0,0,0,46.0447128074354,43.3978654321597,48.6770719943202,0,0,0
30,30,62500,62500,62500,55308.2666666667,55151.8333333333,55466.7333333333,0,0,0,202.4,197.866666666667,206.433333333333,0,0,0,0,0,0,0,0,0,0,0,0,40.5944798573972,38.1354571803239,43.2152386280032,0,0,0
40,30,62500,62500,62500,52376.8333333333,52173.3,52599.3666666667,0,0,0,284.766666666667,278.133333333333,291.866666666667,0,0,0,0,0,0,0,0,0,0,0,0,40.7208891902326,38.7772600293186,42.6237211370326,0,0,0
50,30,62500,62500,62500,48250.8,47893.9666666667,48604.8,0,0,0,398.766666666667,388.433333333333,409,0,0,0,0,0,0,0,0,0,0,0,0,40.0569469597212,38.6035317207016,41.3594084113395,0,0,0
60,30,62500,62500,62500,42583.0333333333,42053.1,43127.3666666667,0,0,0,566.266666666667,549.966666666667,581.9,0,0,0,0,0,0,0,0,0,0,0,0,42.0328070954993,40.2051053021396,43.7908918521361,0,0,0
70,30,62500,62500,62500,34374.5333333333,33516.9333333333,35156.7,0,0,0,788.433333333333,765.1,809.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,39.3078059077077,37.9111665140966,40.636353349309,0,0,0
80,30,62500,62500,62500,24460.5,23616.6,25325.6333333333,0,0,0,1079.8,1051.86666666667,1107.26666666667,0,0,0,0,0,0,0,0,0,0,0,0,37.0736007268026,36.161935445083,38.1591170169182,0,0,0
90,30,62500,62500,62500,14020.7333333333,13243.4666666667,14802.7,0,0,0,1377.83333333333,1354.33333333333,1400.13333333333,0,0,0,0,0,0,0,0,0,0,0,0,27.8528207018033,26.4021796235822,29.2294410519624,0,0,0
