"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57502.9666666667,57463.4,57540.4666666667,57508.1,57471.5666666667,57544.6333333333,99.2333333333333,98.1333333333333,100.3,99.0333333333333,97.8666666666667,100.166666666667,0,0,0,0,0,0,0,0,0,-0.766666666666667,-1.83333333333333,0.2,-0.966666666666667,-2.16666666666667,0.2,0,0,0
20,30,57537.6333333333,57478.8,57593.6666666667,57529.3333333333,57461.9666666667,57602.5666666667,142.7,139.9,145.2,142.266666666667,139.033333333333,145.166666666667,0,0,0,0,0,0,0,0,0,43.8658006688507,41.1289241235364,46.7699900741226,43.6427524336728,41.1916383361078,46.0966022176497,0,0,0
30,30,55334.0333333333,55178.1666666667,55483.2333333333,55415.2666666667,55246.9666666667,55590.4666666667,201.6,196.9,206,198.533333333333,194.233333333333,203.066666666667,0,0,0,0,0,0,0,0,0,41.3696493245404,38.755936204586,43.7833747254827,39.6516637475385,37.4000006830523,41.7680550845637,0,0,0
40,30,52420.9666666667,52187.1,52641.1666666667,52577.9,52357,52815.6333333333,279.333333333333,272.7,285.3,280.366666666667,274.233333333333,287.033333333333,0,0,0,0,0,0,0,0,0,38.6776890410293,36.545845964116,41.1598154313023,41.3177257005106,39.4141371029771,43.3061788769096,0,0,0
50,30,48531.4666666667,48185.2,48878.1,48483.0333333333,48138.5333333333,48836.0666666667,393.4,386.066666666667,400.6,396.966666666667,388.533333333333,405.933333333333,0,0,0,0,0,0,0,0,0,41.0756969896061,39.1706958118217,43.1126646992901,41.6756481383442,39.8245145460451,43.3490864345087,0,0,0
60,30,42848.8666666667,42467.5666666667,43207.7666666667,42706.6333333333,42216.1333333333,43152.6,561.333333333333,549.5,573.166666666667,561.266666666667,546.666666666667,575,0,0,0,0,0,0,0,0,0,42.7085927791382,40.6492733822181,44.4953260314637,41.3740961940107,39.8967029212069,42.8700311385126,0,0,0
70,30,34702.4666666667,34062.3666666667,35325.4666666667,34590.2,33892.3,35307.7666666667,779.433333333333,763.366666666667,794.666666666667,785.033333333333,766,805.566666666667,0,0,0,0,0,0,0,0,0,38.9372540017344,37.3998684904412,40.5041371230155,39.937369194286,38.7727434859735,41.1052032171391,0,0,0
80,30,24829.1,24068.5,25507.3666666667,24555.1333333333,23699.0333333333,25399.8333333333,1073.93333333333,1054.86666666667,1090.26666666667,1076.76666666667,1055.2,1096.66666666667,0,0,0,0,0,0,0,0,0,37.9039376571355,36.7631938533826,39.1887677978124,37.3179944485468,36.0573222643454,38.5591418379377,0,0,0
90,30,14129.1666666667,13495.8,14780.1,13955.6333333333,13311.6666666667,14612.0666666667,1372.3,1354.13333333333,1390.26666666667,1385.73333333333,1362.56666666667,1407.36666666667,0,0,0,0,0,0,0,0,0,27.8649309610434,26.9862541838953,28.8196582566453,28.7927192734142,27.6438078998108,29.8408252810904,0,0,0
100,30,7035.2,6682.13333333333,7354.66666666667,6736.8,6298.2,7176.66666666667,1588.5,1573.93333333333,1603.76666666667,1590.96666666667,1576.23333333333,1605.56666666667,0,0,0,0,0,0,0,0,0,15.8719965229514,14.4985778986776,17.285107375389,14.9929715972605,13.3345120387517,16.5953513351812,0,0,0
110,30,3599.83333333333,3362.43333333333,3833.86666666667,3633.56666666667,3431.73333333333,3871.73333333333,1651.66666666667,1642.86666666667,1662.06666666667,1652.7,1643.03333333333,1662.2,0,0,0,0,0,0,0,0,0,4.04025339689345,3.04947009125495,5.07030473610137,3.95231072371204,2.80348152467126,5.0463472342307,0,0,0
120,30,2913.6,2791.36666666667,3028.6,2939.36666666667,2813.13333333333,3075.83333333333,1658.66666666667,1648.86666666667,1667.8,1649.8,1639.16666666667,1660.6,0,0,0,0,0,0,0,0,0,0.449973564465104,-0.345236686470759,1.28849779198758,-0.14505852521533,-1.12627710194987,0.886871479291981,0,0,0
130,30,2817.2,2701.16666666667,2930.1,2930.76666666667,2825.8,3031.36666666667,1646.36666666667,1637,1655.3,1645.5,1636.26666666667,1654.8,0,0,0,0,0,0,0,0,0,-0.71016600710729,-1.62114353472586,0.17157664774424,-0.216080625984435,-1.27592680572444,0.831958499458283,0,0,0
140,30,2967.3,2855.8,3083.5,2943.86666666667,2803.16666666667,3088.83333333333,1651.73333333333,1644.1,1658.2,1643.46666666667,1633.6,1653.56666666667,0,0,0,0,0,0,0,0,0,0.353565878358868,-0.417168748330941,1.10937960748488,-0.0861066065913063,-1.0632420072124,0.968153695192774,0,0,0
150,30,2877.53333333333,2785.1,2964.2,2977.43333333333,2854.6,3099.3,1645.83333333333,1636.36666666667,1654.93333333333,1650.33333333333,1643.36666666667,1657.96666666667,0,0,0,0,0,0,0,0,0,-0.341664076606356,-1.0737496614966,0.363354336893532,0.454786233158221,-0.44223270794946,1.31401270997185,0,0,0
160,30,2946.4,2839,3049.1,2895.13333333333,2813.86666666667,2978.53333333333,1639.46666666667,1631.8,1646.7,1647.03333333333,1637.43333333333,1656.76666666667,0,0,0,0,0,0,0,0,0,-0.358416378794493,-1.12764734345264,0.445015870910797,-0.176346343725424,-0.999542672173614,0.713865835773403,0,0,0
170,30,3016.93333333333,2862.16666666667,3161.83333333333,2933.03333333333,2791.36666666667,3067.23333333333,1651.73333333333,1643.43333333333,1660.63333333333,1647.46666666667,1638.43333333333,1655.6,0,0,0,0,0,0,0,0,0,0.759861885661796,0.200517303339146,1.28735509550729,0.0603923766928862,-0.864213967553725,0.896367801498812,0,0,0
