timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57622,57436,93,94,0,0,0
20,57782,57873,130,137,0,0,0
30,55818,55696,197,188,0,0,0
40,52829,53230,278,258,0,0,0
50,48412,49671,388,363,0,0,0
60,43218,44213,575,494,0,0,0
70,34469,38174,774,679,0,0,0
80,25219,29269,1083,940,0,0,0
90,13323,18713,1377,1220,0,0,0
100,6466,10349,1580,1522,0,0,0
110,3566,4340,1620,1648,0,0,0
120,3041,2982,1708,1669,0,0,0
130,2061,2323,1667,1657,0,0,0
140,2661,3007,1669,1688,0,0,0
150,2906,2649,1628,1622,0,0,0
160,4463,2912,1599,1658,0,0,0
170,3420,3260,1633,1631,0,0,0
180,3031,3409,1622,1653,0,0,0
190,3437,3710,1668,1626,0,0,0
200,2780,3468,1667,1614,0,0,0
210,2658,3801,1590,1586,11,11,83
220,3248,3853,1617,1574,4,5,90
230,3599,4349,1631,1558,4,6,117
240,4058,4220,1519,1586,4,10,152
250,4996,3141,1491,1566,9,4,211
260,4843,4989,1486,1540,24,17,278
270,6405,5935,1413,1392,16,16,400
280,7745,8389,1346,1279,31,34,453
290,10090,11998,1245,1273,36,24,517
300,13990,12264,1107,1155,31,23,602
310,18744,17185,1014,1018,23,27,667
320,22786,22528,825,794,39,33,718
330,31030,32517,566,569,33,36,729
340,41613,42988,368,339,28,26,618
350,49677,50493,229,193,17,20,392
360,53671,55170,193,146,5,9,200
370,54399,56022,177,167,7,2,88
380,54315,54469,205,195,0,4,43
390,52539,52841,275,267,1,0,16
400,48652,49391,399,359,0,0,9
410,42783,44897,542,494,1,1,8
420,35583,37458,781,734,1,0,8
430,24773,26644,1024,1019,0,0,8
440,15375,15420,1336,1330,0,0,8
450,8461,7804,1537,1600,0,1,14
460,4337,3700,1654,1584,0,1,18
470,2709,3555,1670,1656,2,2,20
480,3129,3076,1636,1695,1,0,21
490,3084,2656,1590,1595,0,1,26
500,3513,3250,1600,1624,3,0,31
510,3086,2934,1663,1665,3,3,48
520,2971,2606,1666,1643,6,3,59
530,2973,3166,1618,1627,5,1,66
540,3270,3675,1565,1598,6,3,77
550,4319,3690,1622,1575,3,5,96
560,3431,3639,1579,1587,7,9,117
570,3941,3819,1576,1554,8,5,143
580,3862,4305,1523,1523,10,11,180
590,4592,4678,1557,1571,16,11,223
600,4512,5271,1490,1521,17,11,283
610,6239,6189,1407,1392,10,22,383
620,8502,8323,1364,1328,24,21,449
630,9505,10332,1284,1225,18,28,586
640,13349,14966,1070,1054,31,29,670
650,21019,21130,876,885,35,36,728
660,28944,28654,625,653,33,33,757
670,40270,39043,384,377,23,29,641
680,48609,49173,254,251,18,16,442
690,53117,53043,176,183,6,7,253
700,54802,54905,183,148,3,6,116
710,53856,55522,242,175,1,1,44
720,50601,53824,308,255,1,4,19
730,47673,49801,431,334,2,1,11
740,41159,45735,593,491,1,1,9
750,33885,38190,827,690,1,0,10
760,22779,28920,1129,937,3,1,13
770,12397,19035,1425,1218,2,0,17
780,6243,10420,1579,1479,0,1,23
790,3533,5336,1653,1578,1,0,26
800,2805,4346,1657,1651,2,2,26
810,2740,2470,1645,1658,3,2,42
820,2964,2258,1586,1673,3,3,55
830,3655,2831,1616,1603,1,4,67
840,4176,3797,1564,1597,4,5,100
850,4356,3295,1583,1581,7,10,148
860,3981,3892,1556,1549,10,9,173
870,4488,4343,1571,1545,9,17,210
880,3978,5610,1512,1470,14,9,284
890,6235,6667,1424,1398,25,17,370
900,8131,8068,1345,1358,21,14,426
910,10082,9873,1267,1310,24,12,537
920,12752,11296,1133,1159,33,23,596
930,17383,17430,995,1017,31,30,689
940,24652,23222,773,809,35,28,748
950,34227,32600,532,563,33,19,737
960,42906,41740,345,384,18,28,580
970,50107,48465,238,243,12,24,384
980,52579,52823,195,190,5,7,207
990,53884,54085,207,204,8,0,78
1000,52616,52758,252,278,2,4,51
