timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,29363,0,24,0,0,0
20,31250,29471,0,35,0,0,0
30,31250,28719,0,47,0,0,0
40,31250,27755,0,63,0,0,0
50,31250,26588,0,83,0,0,0
60,31250,25415,0,116,0,0,0
70,31250,22515,0,172,0,0,0
80,31250,18953,0,225,0,0,0
90,31250,15777,0,312,0,0,0
100,31250,11006,0,389,0,0,0
110,31250,7831,0,469,0,0,0
120,31250,5977,0,463,0,0,0
130,31250,6037,0,491,0,0,0
140,31250,4868,0,479,0,0,0
150,31250,4973,0,512,0,0,0
160,31250,4169,0,492,0,0,0
170,31250,4956,0,501,0,0,0
180,31250,4582,0,490,0,0,0
190,31250,4377,0,526,0,0,0
200,31250,3915,0,502,0,0,0
210,31250,8449,0,254,0,15,251
220,31250,17403,0,171,0,14,156
230,31250,21135,0,145,0,6,100
240,31250,22023,0,142,0,3,51
250,31250,21385,0,162,0,4,35
260,31250,20188,0,199,0,2,20
270,31250,17250,0,267,0,1,14
280,31250,13441,0,335,0,1,14
290,31250,10198,0,395,0,1,10
300,31250,7241,0,457,0,0,7
310,31250,5855,0,486,0,1,7
320,31250,5199,0,473,0,0,10
330,31250,5413,0,515,0,0,8
340,31250,4397,0,471,0,1,8
350,31250,5337,0,493,0,0,8
360,31250,5012,0,468,0,3,9
370,31250,5652,0,486,0,0,10
380,31250,4801,0,513,0,0,3
390,31250,3999,0,507,0,0,5
400,31250,4845,0,471,0,0,5
410,31250,5232,0,509,0,1,3
420,31250,4478,0,508,0,0,3
430,31250,4252,0,490,0,1,10
440,31250,4644,0,479,0,4,17
450,31250,4931,0,498,0,1,18
460,31250,4735,0,500,0,3,18
470,31250,4897,0,482,0,2,17
480,31250,5026,0,479,0,0,21
490,31250,5676,0,474,0,2,23
500,31250,5425,0,489,0,1,24
510,31250,4954,0,457,0,3,32
520,31250,6619,0,455,0,2,41
530,31250,6481,0,446,0,1,37
540,31250,6233,0,456,0,3,37
550,31250,5807,0,482,0,1,44
560,31250,5491,0,431,0,4,56
570,31250,7390,0,438,0,3,66
580,31250,6642,0,412,0,5,59
590,31250,7759,0,420,0,4,55
600,31250,8001,0,412,0,2,66
