timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,29399,0,26,0,0,0
20,31250,29309,0,34,0,0,0
30,31250,28803,0,46,0,0,0
40,31250,27768,0,64,0,0,0
50,31250,26291,0,108,0,0,0
60,31250,23012,0,144,0,0,0
70,31250,20603,0,201,0,0,0
80,31250,17114,0,274,0,0,0
90,31250,13119,0,350,0,0,0
100,31250,10086,0,433,0,0,0
110,31250,6069,0,474,0,0,0
120,31250,4881,0,510,0,0,0
130,31250,4364,0,493,0,0,0
140,31250,4488,0,518,0,0,0
150,31250,3998,0,503,0,0,0
160,31250,4756,0,505,0,0,0
170,31250,4897,0,487,0,0,0
180,31250,5076,0,494,0,0,0
190,31250,5133,0,479,0,0,0
200,31250,4905,0,511,0,0,0
210,31250,5176,0,440,0,6,77
220,31250,6074,0,428,0,4,53
230,31250,6615,0,464,0,4,29
240,31250,5654,0,477,0,1,19
250,31250,5077,0,467,0,0,14
260,31250,5494,0,494,0,1,6
270,31250,4925,0,532,0,0,1
280,31250,3378,0,527,0,0,1
290,31250,3621,0,513,0,0,0
300,31250,4157,0,484,0,0,0
310,31250,4478,0,504,0,0,0
320,31250,5070,0,504,0,0,0
330,31250,4397,0,486,0,0,0
340,31250,4960,0,527,0,0,0
350,31250,4010,0,517,0,0,0
360,31250,3965,0,519,0,0,0
370,31250,4312,0,490,0,0,0
380,31250,4379,0,511,0,0,0
390,31250,4400,0,498,0,0,0
400,31250,4678,0,507,0,0,0
410,31250,4418,0,480,0,0,0
420,31250,5058,0,507,0,0,0
430,31250,4942,0,479,0,0,0
440,31250,5143,0,471,0,0,0
450,31250,5464,0,467,0,0,0
460,31250,5339,0,511,0,0,0
470,31250,4130,0,513,0,0,0
480,31250,4363,0,500,0,0,0
490,31250,4741,0,492,0,0,0
500,31250,4686,0,530,0,0,0
510,31250,3975,0,495,0,0,0
520,31250,4631,0,485,0,0,0
530,31250,4609,0,497,0,0,0
540,31250,5015,0,517,0,0,0
550,31250,4486,0,477,0,0,0
560,31250,4979,0,509,0,0,0
570,31250,4020,0,492,0,0,0
580,31250,4512,0,517,0,0,0
590,31250,4236,0,513,0,0,0
600,31250,4395,0,500,0,0,0
