timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29435,29379,24,25,0,0,0
20,29469,29481,38,36,0,0,0
30,28427,28471,55,47,0,0,0
40,27006,27634,79,75,0,0,0
50,25164,25631,119,104,0,0,0
60,22452,23248,166,144,0,0,0
70,19495,20477,237,203,0,0,0
80,14563,16662,308,296,0,0,0
90,11190,12141,373,390,0,0,0
100,8025,8068,455,427,0,0,0
110,5107,6191,522,480,0,0,0
120,4116,5098,499,506,0,0,0
130,4404,4751,506,508,0,0,0
140,4375,3914,507,494,0,0,0
150,3888,4493,492,526,0,0,0
160,4660,3554,529,511,0,0,0
170,3628,4277,495,486,0,0,0
180,4388,4719,498,491,0,0,0
190,4315,4396,529,516,0,0,0
200,4269,4449,492,495,0,0,0
210,7426,7254,318,321,14,13,353
220,15210,15580,177,165,15,9,422
230,22901,24005,74,48,6,14,365
240,27365,28747,39,28,1,1,119
250,28662,29448,51,29,1,1,27
260,27664,29240,69,37,1,0,10
270,25971,28441,108,60,0,0,1
280,23349,26824,135,89,0,0,1
290,21242,24555,212,118,0,0,0
300,16394,22561,261,172,0,0,0
310,13383,18524,372,240,0,0,0
320,8717,14683,414,337,0,0,0
330,7138,9825,461,423,0,0,0
340,5854,6786,489,477,0,0,0
350,4653,5142,509,485,0,0,0
360,4554,5299,511,501,0,0,0
370,4365,4448,487,497,0,0,0
380,4390,4782,496,488,0,0,0
390,4460,4751,530,486,0,0,0
400,3991,4735,520,516,0,0,0
410,3588,4206,512,484,0,0,0
420,4752,4694,492,513,0,0,0
430,5080,3936,502,517,0,0,0
440,4814,4186,513,503,0,0,0
450,4329,4606,484,498,0,0,0
460,5129,4247,513,518,0,0,0
470,4401,4230,495,519,0,0,0
480,5073,4246,501,502,0,0,0
490,4547,4759,504,497,0,0,0
500,4591,4460,492,491,0,0,0
510,4537,4263,483,502,0,0,0
520,5282,4676,511,512,0,0,0
530,4367,4324,479,498,0,0,0
540,5066,4561,491,478,0,0,0
550,5104,5135,486,467,0,0,0
560,6064,5029,476,513,0,0,0
570,5702,4158,488,527,0,0,0
580,4779,4188,493,497,0,0,0
590,4901,4824,511,496,0,0,0
600,4595,4963,498,468,0,0,0
