timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57573,57511,98,103,0,0,0
20,57621,57491,143,139,0,0,0
30,55401,55783,194,206,0,0,0
40,53033,52255,269,257,0,0,0
50,49067,49728,390,399,0,0,0
60,43238,42297,532,554,0,0,0
70,35819,35007,769,780,0,0,0
80,25562,24730,1026,1058,0,0,0
90,15727,15124,1347,1371,0,0,0
100,7514,7453,1531,1554,0,0,0
110,4199,3904,1672,1639,0,0,0
120,2763,3037,1647,1701,0,0,0
130,2329,2071,1672,1652,0,0,0
140,2490,2527,1658,1644,0,0,0
150,2772,3255,1639,1675,0,0,0
160,2344,2886,1702,1642,0,0,0
170,1802,3428,1666,1630,0,0,0
180,2966,3360,1630,1619,0,0,0
190,2992,2913,1611,1672,0,0,0
200,3706,2896,1642,1653,0,0,0
210,3778,3420,1547,1485,22,25,48
220,3823,5174,1581,1536,11,3,51
230,4010,5485,1605,1579,11,4,38
240,3536,3825,1549,1587,5,5,35
250,4346,3409,1595,1624,7,6,39
260,3692,2859,1574,1604,9,3,32
270,4676,3334,1575,1620,3,4,31
280,3959,3608,1603,1656,7,6,32
290,3440,2434,1613,1612,5,4,38
300,3386,3367,1630,1603,4,6,35
310,3161,3818,1603,1574,5,6,31
320,3106,3691,1604,1604,7,3,22
330,3519,3876,1611,1584,2,5,31
340,3289,3366,1641,1621,4,5,23
350,3127,3207,1623,1630,4,4,17
360,3383,2880,1606,1650,5,2,16
370,2982,2616,1637,1630,3,3,15
380,2939,2879,1652,1607,5,2,13
390,2484,3375,1646,1651,3,6,12
400,2685,3367,1650,1631,1,4,12
410,2206,3689,1686,1592,1,1,12
420,2566,3702,1621,1624,2,2,11
430,2799,3140,1648,1625,1,1,11
440,2871,3361,1661,1685,2,1,12
450,2797,2682,1611,1625,2,1,18
460,2869,3475,1626,1593,2,3,18
470,3125,3694,1628,1617,1,3,14
480,2405,3492,1614,1601,4,2,14
490,3644,3519,1679,1667,1,2,14
500,2627,2657,1641,1619,2,2,8
510,3126,3522,1612,1605,0,1,5
520,2941,3512,1679,1680,0,0,3
530,2810,2314,1641,1681,0,2,4
540,2618,2155,1628,1648,0,0,3
550,2933,2996,1651,1645,0,0,1
560,2912,2798,1641,1647,0,0,2
570,3371,3333,1622,1609,0,0,0
580,3925,3114,1656,1652,0,0,0
590,3224,3374,1626,1625,0,0,0
600,3300,2959,1653,1676,0,0,0
610,2781,2653,1626,1635,0,0,0
620,3315,3349,1660,1614,0,0,0
630,2670,3248,1655,1657,0,0,0
640,2852,2711,1655,1664,0,0,0
650,2395,3032,1661,1658,0,0,0
660,2337,2670,1692,1619,0,0,0
670,2346,3065,1636,1646,0,0,0
680,2556,2518,1622,1632,0,0,0
690,3533,3232,1663,1714,0,0,0
700,2806,2215,1651,1621,0,0,0
710,2694,3529,1641,1665,0,0,0
720,2454,2961,1637,1640,0,0,0
730,3094,2841,1682,1638,0,0,0
740,2159,3184,1656,1655,0,0,0
750,2692,2950,1638,1642,0,0,0
760,2989,2765,1674,1686,0,0,0
770,2204,2573,1635,1623,0,0,0
780,3081,3098,1689,1630,0,0,0
790,2367,2588,1649,1707,0,0,0
800,3190,2399,1642,1654,0,0,0
810,2461,2783,1699,1622,0,0,0
820,2526,3164,1653,1665,0,0,0
830,2953,2423,1608,1622,0,0,0
840,2747,3153,1664,1663,0,0,0
850,2438,2664,1654,1663,0,0,0
860,2313,2981,1665,1601,0,0,0
870,2668,3387,1658,1656,0,0,0
880,2903,2368,1643,1653,0,0,0
890,2838,2725,1708,1669,0,0,0
900,2551,2470,1599,1659,0,0,0
910,3633,2724,1615,1653,0,0,0
920,3646,2691,1625,1655,0,0,0
930,3372,3052,1654,1630,0,0,0
940,2982,2563,1664,1646,0,0,0
950,2827,2808,1644,1684,0,0,0
960,3263,2499,1643,1623,0,0,0
970,3099,3412,1627,1688,0,0,0
980,3431,2031,1639,1662,0,0,0
990,3156,2448,1615,1625,0,0,0
1000,2998,2717,1651,1700,0,0,0
