"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57479,57364,101,101,0,0,0,1,1,0
1,20,57532,57551,138,149,0,0,0,36.6336633663366,47.5247524752475,0
1,30,55642,55014,187,205,0,0,0,35.5072463768116,37.5838926174497,0
1,40,53212,52100,261,298,0,0,0,39.572192513369,45.3658536585366,0
1,50,49633,47389,375,408,0,0,0,43.6781609195402,36.9127516778523,0
1,60,43893,41965,498,591,0,0,0,32.8,44.8529411764706,0
1,70,37515,33440,744,821,0,0,0,49.3975903614458,38.917089678511,0
1,80,26572,22976,1000,1113,0,0,0,34.4086021505376,35.5663824604141,0
1,90,16456,12656,1275,1407,0,0,0,27.5,26.4150943396226,0
1,100,8721,6355,1538,1576,0,0,0,20.6274509803922,12.0113717128642,0
1,110,4896,4014,1666,1697,0,0,0,8.32249674902471,7.67766497461929,0
1,120,3105,2744,1635,1665,0,0,0,-1.86074429771909,-1.8856806128462,0
1,130,3814,3012,1587,1625,0,0,0,-2.93577981651376,-2.4024024024024,0
1,140,3417,3096,1680,1635,0,0,0,5.86011342155009,0.615384615384615,0
1,150,2503,3099,1646,1648,0,0,0,-2.02380952380952,0.795107033639144,0
1,160,2871,2858,1647,1617,0,0,0,0.0607533414337789,-1.88106796116505,0
1,170,3607,3017,1655,1694,0,0,0,0.485731633272617,4.76190476190476,0
1,180,3114,2388,1642,1665,0,0,0,-0.785498489425982,-1.71192443919717,0
1,190,2920,2520,1610,1624,0,0,0,-1.94884287454324,-2.46246246246246,0
1,200,3394,2748,1605,1663,0,0,0,-0.31055900621118,2.40147783251232,0
1,210,4413,3819,1525,1535,16,15,48,-4.98442367601246,-7.69693325315695,0
1,220,4584,4361,1540,1552,8,5,53,0.983606557377049,1.10749185667752,10.4166666666667
1,230,3900,4017,1587,1566,8,10,44,3.05194805194805,0.902061855670103,-16.9811320754717
1,240,3623,4152,1598,1584,5,10,43,0.693131695022054,1.14942528735632,-2.27272727272727
1,250,3970,4156,1575,1576,8,7,34,-1.43929912390488,-0.505050505050505,-20.9302325581395
1,260,3629,3964,1590,1596,4,5,31,0.952380952380952,1.26903553299492,-8.82352941176471
1,270,3535,3283,1614,1653,6,2,30,1.50943396226415,3.57142857142857,-3.2258064516129
1,280,3316,2882,1607,1601,8,4,30,-0.433705080545229,-3.14579552329099,0
1,290,3750,3670,1613,1620,6,7,27,0.373366521468575,1.18675827607745,-10
1,300,3189,3229,1609,1625,4,3,23,-0.247985120892746,0.308641975308642,-14.8148148148148
1,310,3079,3442,1577,1615,5,3,21,-1.98881292728403,-0.615384615384615,-8.69565217391304
1,320,3581,2999,1674,1631,3,5,20,6.15091946734306,0.990712074303406,-4.76190476190476
1,330,3163,3222,1608,1617,5,2,18,-3.9426523297491,-0.858369098712446,-10
1,340,2912,4176,1621,1600,1,8,14,0.808457711442786,-1.05132962275819,-22.2222222222222
1,350,2748,3115,1629,1677,3,5,12,0.493522516964837,4.8125,-14.2857142857143
1,360,3222,2562,1633,1640,4,2,15,0.245549416820135,-2.20632081097197,25
1,370,3631,3421,1663,1619,2,4,15,1.83710961420698,-1.28048780487805,0
1,380,2759,3282,1586,1568,3,1,9,-4.63018641010223,-3.15009264978382,-40
1,390,3184,3837,1641,1615,0,3,13,3.46784363177806,2.99744897959184,44.4444444444444
1,400,2726,4005,1661,1633,3,3,8,1.2187690432663,1.11455108359133,-38.4615384615385
1,410,2625,3048,1674,1654,2,0,10,0.78266104756171,1.28597672994489,25
1,420,2787,2720,1664,1600,0,2,8,-0.597371565113501,-3.26481257557437,-20
1,430,2218,3673,1643,1641,0,3,6,-1.26201923076923,2.5625,-25
1,440,3007,2882,1643,1689,0,2,7,0,2.92504570383912,16.6666666666667
1,450,2539,2671,1678,1680,0,2,8,2.13024954351796,-0.532859680284192,14.2857142857143
1,460,2779,2469,1612,1601,1,4,3,-3.93325387365912,-4.70238095238095,-62.5
1,470,3453,2996,1661,1642,0,2,3,3.03970223325062,2.56089943785134,0
1,480,3236,3096,1647,1631,0,1,1,-0.842865743527995,-0.669914738124239,-66.6666666666667
1,490,3289,3032,1618,1633,0,0,0,-1.76077717061324,0.122624156958921,-100
1,500,2887,3023,1645,1627,0,0,0,1.66872682323857,-0.367421922841396,0
