"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,57494.35,57457.7,57527.3,57500.2,57470,57532.45,100.05,98.5,101.55,98.75,97.25,100.15,0,0,0,0,0,0,0,0,0,0.05,-1.5,1.55,-1.25,-2.7,0.05,0,0,0
20,20,57503.75,57394.3,57610.5,57563.65,57485.15,57645.3,140.2,135.9,144.1,141.95,139.25,144.9,0,0,0,0,0,0,0,0,0,40.1568050668166,36.6100102443964,43.9520666794751,43.8577121307165,40.9265409935329,47.1918215805477,0,0,0
30,20,55484.9,55292.9,55685.75,55392.85,55240.35,55539.2,199.5,193,205.25,195.2,191.2,199.15,0,0,0,0,0,0,0,0,0,42.4327401683061,39.1803309425076,45.3611791222479,37.6157375981867,35.0524169350732,40.0064374774431,0,0,0
40,20,52556.85,52249.9,52843.1,52742.35,52540.8,52972.15,278,268.35,286.1,276.2,269.5,282.85,0,0,0,0,0,0,0,0,0,39.5623417428709,36.337936965466,42.8699036567738,41.6108590749045,38.319325884876,44.2530000919388,0,0,0
50,20,48580.65,48168.95,48987.05,48711.45,48346.4,49057.55,395.2,383.05,408.25,392.2,381.85,402.35,0,0,0,0,0,0,0,0,0,42.29701291586,39.4914090596523,44.9569091981152,42.1355215691277,39.4008326468935,45.1873078678065,0,0,0
60,20,42802.1,42189.15,43405.5,42914.45,42381.6,43435.85,552.55,538,567.75,555.1,540.45,569.4,0,0,0,0,0,0,0,0,0,39.9753679468128,37.7337782910491,42.0158762125661,41.5656810135601,39.8399996049103,43.1794831203901,0,0,0
70,20,35139.7,34445.65,35857.65,35041.6,34294.5,35760.3,772.35,750.35,792.45,775.9,755.75,797.05,0,0,0,0,0,0,0,0,0,39.8394212188594,38.2489044083332,41.3265574478313,39.8437917355379,38.0892182556412,41.5676807135452,0,0,0
80,20,25030.95,24178.3,25960,24958.2,24155.55,25749.8,1060.75,1033.3,1086.8,1059.8,1034.25,1086.1,0,0,0,0,0,0,0,0,0,37.409616572818,36.0651277870765,38.7527225961042,36.6735632169234,34.8943815770208,38.6248942443267,0,0,0
90,20,14505.6,13717.05,15274.35,14659.3,13759.1,15512.55,1363.65,1338.55,1386.75,1355.85,1334.2,1376.85,0,0,0,0,0,0,0,0,0,28.7019582974285,27.0852529471373,30.2590566993428,28.11245076886,26.4970973172253,29.7153722523577,0,0,0
100,20,7189,6751.8,7609.15,7173.8,6783.35,7592.9,1570.25,1555.2,1584.95,1579.6,1565.4,1595,0,0,0,0,0,0,0,0,0,15.3073618268087,13.2742483153704,17.2627137785887,16.619768203861,15.0054847764478,18.3091381585775,0,0,0
110,20,3936.6,3669.6,4217.2,3815.35,3557.35,4070.3,1659.7,1647.55,1672.55,1659.05,1646.9,1669.85,0,0,0,0,0,0,0,0,0,5.73453668852719,4.66546168113398,6.67099992068751,5.07012848485108,4.06443892060288,6.17949000054595,0,0,0
120,20,2836.1,2696.2,2948.55,2824,2690.95,2947.9,1651.85,1640.1,1664.8,1654.7,1641.7,1667.45,0,0,0,0,0,0,0,0,0,-0.432473762105967,-1.73927398787959,0.847601852950418,-0.227069938384515,-1.44157691358647,0.925584714352068,0,0,0
130,20,2904.95,2659.85,3158.7,2836.05,2667.3,3000.15,1645.75,1633.3,1658.8,1656.45,1645.7,1666.35,0,0,0,0,0,0,0,0,0,-0.348085461407114,-1.30687232094941,0.68010235366028,0.132668246050693,-0.782830471384913,1.06872034912189,0,0,0
140,20,2873.8,2687.55,3046.95,2764.35,2602.95,2923.2,1647.55,1637.4,1658,1648.8,1640.05,1657.5,0,0,0,0,0,0,0,0,0,0.152275758840453,-1.01317757343824,1.32492438456373,-0.441274213248733,-1.29473167024307,0.33162094359722,0,0,0
150,20,2954.1,2817.4,3117.65,2938.15,2783.3,3107.5,1653.2,1642.05,1663.2,1648.1,1635.05,1662.5,0,0,0,0,0,0,0,0,0,0.364948404955997,-0.624319146240176,1.28383765332295,-0.0380520027227994,-0.76835355648973,0.741828756491866,0,0,0
160,20,2741.55,2572,2912.25,3066.55,2931.85,3194.95,1657.9,1648.2,1667.25,1644.65,1634,1655,0,0,0,0,0,0,0,0,0,0.315085767892213,-0.701533461823055,1.34602230766457,-0.164784799673684,-1.36611913292007,1.02099877485136,0,0,0
170,20,2770.3,2577.75,2958.7,2907.45,2792.2,3018.8,1656.1,1642.95,1669.15,1656.75,1642.15,1670.35,0,0,0,0,0,0,0,0,0,-0.0966530775625292,-0.907610339615969,0.756575492976647,0.7703202987377,-0.410516425106206,2.06855815980919,0,0,0
180,20,2760.15,2622.5,2897,2883.1,2683.85,3086.2,1654.9,1642.65,1666.25,1650.95,1639.6,1662.25,0,0,0,0,0,0,0,0,0,-0.0334958087402784,-1.1759369112419,1.22285083852703,-0.303436629995869,-1.54327081254954,0.913976464193724,0,0,0
190,20,2768.85,2609.6,2915.6,2873.25,2718.3,3050.75,1643.1,1632.5,1654.65,1638.4,1628.95,1646.6,0,0,0,0,0,0,0,0,0,-0.688403091351192,-1.64614899404967,0.240344740596146,-0.739474764705935,-1.52991605911441,0.0636593664490677,0,0,0
200,20,2920.5,2769.05,3073.8,2920.05,2759.7,3083.2,1649,1636.05,1662,1649.35,1636.6,1660.6,0,0,0,0,0,0,0,0,0,0.377354990419988,-0.499322049492146,1.26708478644207,0.686811375343488,-0.29652756484596,1.59432057517,0,0,0
210,20,3703.85,3512.8,3904.7,3624.05,3416.75,3807.05,1518.7,1510.15,1526.9,1522.15,1512.4,1531.85,15.9,14.6,17.15,17.45,15.4,19.6,47.15,44.05,49.85,-7.87597551913308,-8.71810242444059,-6.99674272305341,-7.690170494531,-8.48863969457247,-6.83120462241767,0,0,0
220,20,4670.6,4482.5,4872.6,4599.1,4411,4776.95,1562.15,1550.45,1572.15,1558.85,1547.85,1569.1,8.95,7.65,10.4,6.9,5.8,7.9,44.8,41.25,48.4,2.87213147760623,2.17539213992478,3.65333715348092,2.42352866535607,1.6114658887097,3.15500906541445,-5.10257169199447,-9.58428539980214,-0.910535950298493
230,20,4040.5,3844.55,4252.3,4191.8,4003.75,4452.65,1587.9,1574,1600.9,1593.1,1580.6,1604.9,6.9,5.85,7.95,6.65,5.8,7.45,38.15,35.35,41.1,1.67182141693744,0.594377737113991,2.77584881250875,2.22025044837258,1.1322170530032,3.2357827346257,-13.8322613958969,-19.100188090379,-8.36359137423133
240,20,3862.55,3671.5,4075.05,3760.75,3558,3970.15,1592,1581.25,1603.6,1594.15,1581,1606.3,6.6,5.55,7.85,5.9,4.85,6.9,35.75,32.65,38.6,0.295945050441257,-0.865532605750404,1.35761004463824,0.105303215228248,-1.10475751886498,1.38395354576695,-6.0337824687122,-11.1602038693197,-0.822704981326209
