"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57477.5666666667,57444.3666666667,57509.1333333333,57483.4666666667,57449.6666666667,57518.9333333333,99.4,98.3333333333333,100.666666666667,100.7,99.5,101.833333333333,0,0,0,0,0,0,0,0,0,-0.6,-1.63333333333333,0.6,0.7,-0.466666666666667,1.9,0,0,0
20,30,57511.3333333333,57415.8333333333,57590.2,57471.7333333333,57405.6333333333,57542.6333333333,142.566666666667,138.8,145.9,142.066666666667,138.7,144.933333333333,0,0,0,0,0,0,0,0,0,43.4501278649187,40.1417006939054,46.5023155961249,41.0974461205466,38.0914900605621,43.8864379413268,0,0,0
30,30,55396.6666666667,55224.5,55582.5,55381.5666666667,55219.2666666667,55562.6666666667,197.1,192.3,202.433333333333,197.6,193.266666666667,201.4,0,0,0,0,0,0,0,0,0,38.4958520675245,35.5382720839435,41.3941698151792,39.3388209084244,36.7715044201608,42.3137893973106,0,0,0
40,30,52612.7333333333,52355,52855.0333333333,52628.8333333333,52401.8333333333,52832.4333333333,275.2,269.2,281.366666666667,276.266666666667,271.3,280.5,0,0,0,0,0,0,0,0,0,39.7923121030199,37.6725768976784,41.8526055959913,39.9898313947968,38.0622743752621,42.0334614527645,0,0,0
50,30,48723,48408.8666666667,49036.1,48700.1666666667,48463.7333333333,48957.4,389.1,381.133333333333,397.333333333333,383.5,375.9,390.533333333333,0,0,0,0,0,0,0,0,0,41.5007171691521,39.7199704026083,43.380996390506,38.833585418775,37.377159436188,40.3281480086222,0,0,0
60,30,43046.1,42624.4666666667,43446.8,43363.8,42963,43798.9,546.466666666667,534.3,559.3,535.266666666667,523.966666666667,546.3,0,0,0,0,0,0,0,0,0,40.4421373282046,39.2798499188181,41.6493557764773,39.5858349396223,38.2960346904194,40.8921699729629,0,0,0
70,30,35358.3333333333,34751.2,35951.8666666667,35848.8,35234.5,36402.0666666667,759.466666666667,743.066666666667,775.8,755.766666666667,741.366666666667,770.333333333333,0,0,0,0,0,0,0,0,0,39.0287604898512,37.891125949316,40.2097501112886,41.2768350554096,39.9469502503031,42.6467314397818,0,0,0
80,30,25796.0666666667,25073.4666666667,26539.2,25778.3333333333,25170.7666666667,26438.4333333333,1028.33333333333,1007.8,1048.53333333333,1032.53333333333,1012.2,1051.7,0,0,0,0,0,0,0,0,0,35.4875505389247,34.2580531568069,36.666009761847,36.7178872305356,35.3360603756923,37.9539554690639,0,0,0
90,30,15582.8333333333,14938.0333333333,16265.4666666667,15408.9333333333,14828.8666666667,15944.4,1355.1,1333.66666666667,1374.3,1350.8,1331.4,1369.13333333333,0,0,0,0,0,0,0,0,0,31.9164757821238,30.8067998703237,33.0348577326718,30.9276178726377,29.7867212442058,31.975685478377,0,0,0
