"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,57436,0,95,0,0,0,0,-5,0
1,20,62500,57743,0,151,0,0,0,0,58.9473684210526,0
1,30,62500,54809,0,203,0,0,0,0,34.4370860927152,0
1,40,62500,52233,0,288,0,0,0,0,41.871921182266,0
1,50,62500,48074,0,404,0,0,0,0,40.2777777777778,0
1,60,62500,42682,0,543,0,0,0,0,34.4059405940594,0
1,70,62500,35293,0,759,0,0,0,0,39.7790055248619,0
1,80,62500,26117,0,1016,0,0,0,0,33.8603425559947,0
1,90,62500,16321,0,1338,0,0,0,0,31.6929133858268,0
1,100,62500,7114,0,1620,0,0,0,0,21.0762331838565,0
1,110,62500,3691,0,1765,0,0,0,0,8.95061728395062,0
1,120,62500,2453,0,1843,0,0,0,0,4.41926345609065,0
1,130,62500,1958,0,1874,0,0,0,0,1.68204015192621,0
1,140,62500,1593,0,1841,0,0,0,0,-1.76093916755603,0
1,150,62500,2215,0,1806,0,0,0,0,-1.90114068441065,0
1,160,62500,2198,0,1793,0,0,0,0,-0.719822812846069,0
1,170,62500,2066,0,1783,0,0,0,0,-0.557724484104852,0
1,180,62500,1817,0,1769,0,0,0,0,-0.785193494111049,0
1,190,62500,1896,0,1796,0,0,0,0,1.52628603730921,0
1,200,62500,2080,0,1786,0,0,0,0,-0.556792873051225,0
1,210,62500,3120,0,1523,0,21,74,0,-14.7256438969765,0
1,220,62500,5468,0,1451,0,13,61,0,-4.72751149047932,-17.5675675675676
1,230,62500,7190,0,1418,0,19,59,0,-2.27429359062715,-3.27868852459016
1,240,62500,7432,0,1465,0,18,55,0,3.31452750352609,-6.77966101694915
1,250,62500,5873,0,1537,0,13,45,0,4.91467576791809,-18.1818181818182
1,260,62500,5119,0,1619,0,10,38,0,5.33506831489915,-15.5555555555556
1,270,62500,4093,0,1657,0,7,32,0,2.34712785670167,-15.7894736842105
1,280,62500,2932,0,1701,0,5,24,0,2.65540132770066,-25
1,290,62500,2703,0,1744,0,8,23,0,2.52792475014697,-4.16666666666667
1,300,62500,2571,0,1757,0,2,20,0,0.745412844036697,-13.0434782608696
1,310,62500,2079,0,1754,0,4,20,0,-0.170745589072282,0
1,320,62500,2542,0,1739,0,4,19,0,-0.855188141391106,-5
1,330,62500,3145,0,1697,0,7,16,0,-2.41518113858539,-15.7894736842105
1,340,62500,3138,0,1686,0,4,11,0,-0.648202710665881,-31.25
1,350,62500,2122,0,1735,0,7,11,0,2.90628706998814,0
1,360,62500,1725,0,1750,0,4,11,0,0.864553314121037,0
1,370,62500,2499,0,1731,0,4,10,0,-1.08571428571429,-9.09090909090909
