"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57535.8333333333,57500.1,57574.7333333333,57518.7333333333,57486.2333333333,57550.1666666667,99.2,98.0666666666667,100.433333333333,99.1,97.9333333333333,100.466666666667,0,0,0,0,0,0,0,0,0,-0.8,-2.06666666666667,0.466666666666667,-0.9,-2.1,0.433333333333333,0,0,0
20,30,57550.2,57470.3333333333,57629.4666666667,57538.6666666667,57470.0666666667,57610.2,140.466666666667,137.2,144.033333333333,141.733333333333,137.666666666667,145.233333333333,0,0,0,0,0,0,0,0,0,41.6977704948987,38.1271626184152,44.9988040569466,42.9673910759551,39.9949255416391,45.7328672512673,0,0,0
30,30,55482.6666666667,55310.9,55634.8666666667,55412.4,55215.5,55616.7666666667,195.333333333333,189.966666666667,200.6,198.766666666667,193.866666666667,204.233333333333,0,0,0,0,0,0,0,0,0,39.1520724274049,36.6949869174093,41.4823839715617,40.4928999566494,38.0089270475297,43.108477364196,0,0,0
40,30,52700.6333333333,52421.5333333333,52980.3666666667,52565.8666666667,52325.2333333333,52796.1666666667,273.966666666667,266.4,281.4,272.833333333333,266.366666666667,279.266666666667,0,0,0,0,0,0,0,0,0,40.4312638746737,38.1666723451634,42.527723688392,37.3602642823728,35.4579583818034,39.2268764304003,0,0,0
50,30,48795.1666666667,48429.1666666667,49137.5666666667,48858.6,48494.3666666667,49178.1666666667,383.966666666667,374.833333333333,392.833333333333,386.033333333333,376.066666666667,396.866666666667,0,0,0,0,0,0,0,0,0,40.3121305484862,38.1376966192448,42.4740420652906,41.529780713613,39.5606959815255,43.6565329793394,0,0,0
60,30,43334.7333333333,42864.2,43812.5666666667,43225.2,42661.5666666667,43775.6,536,520.633333333333,551.566666666667,534.166666666667,519.166666666667,549.366666666667,0,0,0,0,0,0,0,0,0,39.542804208341,37.535048250989,41.8080003385668,38.4223454356675,36.8937606940742,39.7817631615939,0,0,0
70,30,35816.8,34948.8333333333,36557.4333333333,35945.3666666667,35196.0333333333,36587.7333333333,746.533333333333,726.033333333333,769.1,748.233333333333,727.066666666667,768.3,0,0,0,0,0,0,0,0,0,39.4096419526315,37.9795385943333,40.8538422617494,40.1301932558502,38.9008831714183,41.4708761349251,0,0,0
80,30,26211.4,25352.8,27119.2333333333,26130.5333333333,25275.3666666667,26958.2,1017.86666666667,990.533333333333,1042.9,1023.73333333333,998.566666666667,1050.46666666667,0,0,0,0,0,0,0,0,0,36.4212295602814,35.2826467436639,37.6480937126768,36.9011663571107,35.8588207562679,38.0440055875217,0,0,0
90,30,15883.1,14966.5,16764.8333333333,15809.5333333333,14993.3666666667,16634.2,1335.23333333333,1308.1,1362.7,1340.4,1311.2,1369.2,0,0,0,0,0,0,0,0,0,31.408438921961,30.071818698869,32.8436922015417,31.0743244168581,29.8838518148767,32.1620733695462,0,0,0
