timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57505,57693,95,97,0,0,0
20,57758,57696,148,144,0,0,0
30,55034,55268,187,198,0,0,0
40,53355,52286,266,265,0,0,0
50,48997,49309,363,348,0,0,0
60,44448,44964,503,508,0,0,0
70,37186,37353,723,690,0,0,0
80,27734,28229,991,979,0,0,0
90,16522,17797,1298,1262,0,0,0
100,8592,8855,1588,1535,0,0,0
110,3999,3923,1800,1777,0,0,0
120,2526,2389,1867,1863,0,0,0
130,1975,1691,1901,1877,0,0,0
140,1827,1514,1841,1856,0,0,0
150,1780,1153,1756,1821,0,0,0
160,2825,1845,1746,1767,0,0,0
170,2540,2319,1742,1781,0,0,0
180,2660,1964,1741,1778,0,0,0
190,2216,1938,1744,1761,0,0,0
200,2488,2453,1771,1758,0,0,0
210,2941,2647,1553,1585,14,27,161
220,6124,5809,1369,1368,26,22,275
230,12091,12601,1061,1030,32,47,483
240,29027,30124,445,418,45,50,697
250,53466,53407,43,35,13,8,659
260,61648,61706,7,5,2,0,246
270,62226,62437,7,0,0,0,41
280,62146,62500,7,0,1,0,2
290,62147,62500,15,0,0,0,0
300,61786,62500,18,0,0,0,0
310,61559,62500,28,0,0,0,0
320,61128,62500,40,0,0,0,0
330,60495,62500,49,0,0,0,0
340,60084,62500,67,0,0,0,0
350,59048,62500,104,0,0,0,0
360,57280,62500,143,0,0,0,0
370,55343,62500,198,0,0,0,0
380,52662,62500,276,0,0,0,0
390,49026,62500,353,0,0,0,0
400,44993,62500,531,0,0,0,0
410,36138,62500,711,0,0,0,0
420,27779,62500,993,0,0,0,0
430,16943,62500,1282,0,0,0,0
440,8646,62500,1608,0,0,0,0
450,3353,62500,1794,0,0,0,0
460,2568,62500,1847,0,0,0,0
470,1902,62500,1842,0,0,0,0
480,1358,62500,1861,0,0,0,0
490,1374,62500,1801,0,0,0,0
500,2366,62500,1777,0,0,0,0
510,2137,62500,1806,0,0,0,0
520,1983,62500,1767,0,0,0,0
530,1732,62500,1764,0,0,0,0
540,2033,62500,1762,0,0,0,0
550,2104,62500,1758,0,0,0,0
560,2289,62500,1753,0,0,0,0
570,2677,62500,1751,0,0,0,0
580,2087,62500,1778,0,0,0,0
590,2050,62500,1791,0,0,0,0
600,2054,62500,1777,0,0,0,0
610,2366,62500,1774,0,0,0,0
620,2632,62500,1776,0,0,0,0
630,2199,62500,1790,0,0,0,0
640,1732,62500,1767,0,0,0,0
650,1959,62500,1784,0,0,0,0
660,2149,62500,1788,0,0,0,0
670,2097,62500,1799,0,0,0,0
680,2444,62500,1774,0,0,0,0
690,2305,62500,1763,0,0,0,0
700,1946,62500,1806,0,0,0,0
710,1788,62500,1781,0,0,0,0
720,2100,62500,1785,0,0,0,0
730,2046,62500,1769,0,0,0,0
740,2101,62500,1783,0,0,0,0
750,2201,62500,1749,0,0,0,0
760,2275,62500,1743,0,0,0,0
770,2340,62500,1763,0,0,0,0
780,2428,62500,1762,0,0,0,0
790,2379,62500,1745,0,0,0,0
800,2787,62500,1780,0,0,0,0
810,1986,62500,1783,0,0,0,0
820,1948,62500,1796,0,0,0,0
830,2361,62500,1760,0,0,0,0
840,2287,62500,1776,0,0,0,0
850,2328,62500,1767,0,0,0,0
860,1894,62500,1786,0,0,0,0
870,1973,62500,1780,0,0,0,0
880,2051,62500,1818,0,0,0,0
890,1564,62500,1784,0,0,0,0
900,1674,62500,1770,0,0,0,0
910,2095,62500,1797,0,0,0,0
920,2044,62500,1767,0,0,0,0
930,2449,62500,1764,0,0,0,0
940,2039,62500,1794,0,0,0,0
950,2059,62500,1780,0,0,0,0
960,2223,62500,1760,0,0,0,0
970,2243,62500,1763,0,0,0,0
980,2365,62500,1768,0,0,0,0
990,2445,62500,1750,0,0,0,0
1000,2348,62500,1756,0,0,0,0
