"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29363.65,29333.55,29390.5,29361.8,29331,29390.45,26,25,26.95,26.6,25.2,28.05,0,0,0,0,0,0,0,0,0,4,0.2,8,6.4,0.6,12.2,0,0,0
20,20,29298.25,29200.4,29394.25,29249.2,29121.9,29363.75,50.8,47.2,54.15,49.45,46.8,51.7,0,0,0,0,0,0,0,0,0,95.2964074124071,82.4904420042726,107.831303990862,87.7045758491411,76.0520913770914,98.7857142857143,0,0,0
30,20,27444.7,27177.7,27712.6,27554.95,27367.85,27751.8,79.7,74.1,84.85,78.9,74.2,83.5,0,0,0,0,0,0,0,0,0,58.3163451640786,50.2098938246002,65.7696338966402,60.0586688555166,53.6523865986034,66.8145554091737,0,0,0
40,20,25340.7,24989.5,25696,25351.45,25024.25,25685,129.7,122.25,136.25,131.4,121.8,140.65,0,0,0,0,0,0,0,0,0,63.9388999302183,57.4041171484847,70.4386429862234,66.5359883427314,60.1714906100252,73.051691178421,0,0,0
50,20,21698.3,21219.85,22194.4,21537.65,20847.3,22194.9,208.05,196,218.8,212.4,201.05,223.15,0,0,0,0,0,0,0,0,0,60.9203587117965,55.7260386892946,67.1899007010188,62.8690613627855,57.7844445292324,68.1508904808932,0,0,0
60,20,16561.35,15913.95,17359.85,16320.75,15591.95,17111,319.9,305.95,333.95,324.1,307.25,339.55,0,0,0,0,0,0,0,0,0,54.5428719980615,50.0923963747061,58.8725534782119,53.0724459957813,49.883402775505,56.5644457469231,0,0,0
70,20,10689.05,9990.1,11441.15,10487.75,9762.1,11269.3,425.2,407.85,439.95,432,419.95,443.85,0,0,0,0,0,0,0,0,0,33.3926286538806,29.7695591579714,36.6540848762068,34.1265374176586,30.5107555060441,37.7991731773009,0,0,0
80,20,6773.95,6279,7369.2,6483,6101.65,6883,491.05,479.05,501.05,485.95,477.25,494.15,0,0,0,0,0,0,0,0,0,16.0369803046237,12.6151606323648,19.7068220883972,12.8420466366654,10.1652683598818,15.600557440813,0,0,0
90,20,4917.25,4702,5152.35,4890.6,4687.5,5083.1,508.8,499.9,516.7,508.6,501.7,515.85,0,0,0,0,0,0,0,0,0,4.01787198003714,0.0379330732408435,7.66894639702552,4.85397727432741,2.39658163873584,7.47319564428962,0,0,0
100,20,4457.95,4250.25,4664.55,4389.3,4226.45,4566.2,510.4,504.25,517,517.35,507.65,529.65,0,0,0,0,0,0,0,0,0,0.495989717005568,-1.8551876340257,3.13476778555779,1.92939572970164,-1.12559441101371,5.42923419482712,0,0,0
110,20,4462.25,4290.95,4629.55,4126.85,3857.2,4360.5,523.15,515.2,531,525.2,515.85,534.25,0,0,0,0,0,0,0,0,0,2.63888437620579,0.0174682361017548,5.0096135391214,1.83328906627083,-1.70365936705292,5.19150676849049,0,0,0
120,20,4011.1,3819.3,4211.65,4026.15,3811.95,4216.3,512.45,504.1,520.85,517.8,508.3,527.6,0,0,0,0,0,0,0,0,0,-1.8962866046977,-4.44050467068044,0.538862318595241,-1.15173847708436,-4.09635271715803,2.19585625398064,0,0,0
130,20,4212.95,4044.65,4396.15,4115.75,3855.45,4362.4,522.6,514.4,530.7,526.55,518.55,534.4,0,0,0,0,0,0,0,0,0,2.13893634707785,-0.499351908225756,4.333908282861,1.92194348241428,-0.764678440966448,4.43581791764496,0,0,0
140,20,4139.7,3934.25,4333.6,4085.35,3874.15,4303.3,517.55,508.95,526.2,518.3,508.2,528.75,0,0,0,0,0,0,0,0,0,-0.800270241837002,-3.4167749017383,1.73822176638854,-1.41689535496577,-4.09429292906057,1.23737748703616,0,0,0
150,20,4188.2,3998.65,4386.5,4215.95,3926.9,4506.65,521.65,514.9,527.5,518.55,510.8,526.25,0,0,0,0,0,0,0,0,0,0.967912904710223,-1.52785187931709,3.18447178109741,0.318419100745173,-2.64708498059804,3.62433292779078,0,0,0
160,20,4029,3870,4183.25,4101.05,3880.6,4322.75,523.2,515.65,531,517.55,511.45,523.25,0,0,0,0,0,0,0,0,0,0.403898623855014,-1.93356118040748,2.59627298418167,-0.0688182465866235,-1.96938441212665,1.7988377852361,0,0,0
170,20,4024.25,3823.15,4222.55,4165.95,3970.35,4376.95,526.55,520.8,532.05,520.85,514.05,527.1,0,0,0,0,0,0,0,0,0,0.813321372875114,-1.60323024525546,2.99175929544272,0.721759371371302,-1.1897614775338,2.4628854288397,0,0,0
180,20,4006,3851.65,4159.95,4196.3,4023.6,4354.35,514.35,507.05,521.05,527.9,517.9,538.45,0,0,0,0,0,0,0,0,0,-2.23838200541291,-4.12640318394853,-0.439986913334449,1.4953078667979,-1.30424272826092,4.27094381601006,0,0,0
190,20,4261.6,4063,4453.6,4048.4,3855.3,4232.2,520.5,512.35,527.55,517.35,509.3,525.75,0,0,0,0,0,0,0,0,0,1.28965338495472,-0.869906623080371,3.03906249392524,-1.77757545624558,-4.54223776820321,0.931292057390325,0,0,0
200,20,4195,3988.1,4414.15,4159.95,3978.8,4340.95,516.9,507.85,525.8,519.6,511.15,527.55,0,0,0,0,0,0,0,0,0,-0.509272897385576,-3.36628311504361,2.31920210570949,0.607964200131316,-2.1111031662078,3.43357918249948,0,0,0
210,20,4360.15,4125.6,4568.65,4418.55,4199.2,4612.45,501.95,493.75,509.75,500.8,494.65,506.95,1.15,0.75,1.55,1.65,1.1,2.25,38.7,36.9,40.3,-2.67058556399441,-5.40766020951866,0.0830032794157616,-3.46757502849026,-5.87489218626731,-1.38335795215837,0,0,0
220,20,4921.3,4704.55,5162.3,4867.05,4718,5018.85,493.1,486.4,500.05,496.3,488,504.25,2.1,1.65,2.55,2.15,1.45,2.9,64.6,60.3,68.85,-1.62349120153587,-3.82118354429998,0.30075823129789,-0.774990906333542,-3.23562124387556,1.71674523630079,66.9221236494094,57.6202641086583,74.2586992386326
230,20,5288.25,5037.4,5554.5,5222.95,4956.45,5456.15,473.35,465.85,481,480.55,471.8,490.45,3.75,3,4.4,3.85,3.3,4.45,107.4,99.95,114.65,-3.9193885946648,-5.85056836654612,-1.86670183078069,-3.07977320413988,-5.21084078147908,-0.802653518449044,66.5713060962241,59.8798284279902,73.0894320916204
