timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29318,29315,28,27,0,0,0
20,29096,29238,52,54,0,0,0
30,27395,27177,87,83,0,0,0
40,24834,24956,135,164,0,0,0
50,21066,19177,224,235,0,0,0
60,15438,15172,353,355,0,0,0
70,9175,8851,448,483,0,0,0
80,6225,4898,499,473,0,0,0
90,4717,5184,538,525,0,0,0
100,3909,3908,498,499,0,0,0
110,4848,4694,497,512,0,0,0
120,5002,4481,503,545,0,0,0
130,4125,3217,535,513,0,0,0
140,3875,4341,520,503,0,0,0
150,3922,4553,525,508,0,0,0
160,4168,4846,495,508,0,0,0
170,4882,4244,532,521,0,0,0
180,3736,4180,517,514,0,0,0
190,4290,4341,523,526,0,0,0
200,4014,3874,510,521,0,0,0
210,5208,4320,464,526,0,4,39
220,5893,4441,492,477,2,0,67
230,5121,5703,470,488,5,5,103
240,6203,5702,466,459,5,7,162
250,7268,6439,417,412,13,8,256
260,10638,10172,302,301,14,14,384
270,16668,16695,179,193,12,16,433
280,23190,22039,80,76,6,11,334
290,27140,27342,53,47,2,4,173
300,28119,28363,41,43,4,2,61
310,28362,28386,64,65,0,0,14
320,26360,26472,116,99,0,0,3
330,22906,23944,192,165,0,0,1
340,17539,19361,290,282,0,0,2
350,11809,12659,389,355,0,0,1
360,8248,9689,489,440,0,0,2
370,4685,6435,502,504,0,0,2
380,4156,4872,505,511,0,0,5
390,4579,3967,469,516,0,0,7
400,5374,3836,553,528,3,0,10
410,3574,4076,505,507,1,0,15
420,4574,4502,516,499,1,1,30
430,4761,4852,488,516,1,0,53
440,5654,4708,465,483,5,5,77
450,6262,5545,483,493,5,1,120
460,6197,5633,409,413,8,6,195
470,9899,9001,357,379,13,12,283
480,13120,11180,225,298,11,11,406
490,20229,16553,143,186,6,5,405
500,24599,22227,81,103,1,5,312
510,27571,25572,31,67,2,3,161
520,29470,27052,31,72,0,1,55
530,29101,26482,43,83,2,3,28
540,28218,25500,54,124,1,1,14
550,27061,22349,87,212,1,0,8
560,24909,16426,146,323,1,0,5
570,20831,10878,220,410,0,1,5
580,15949,7419,326,480,0,0,7
590,10213,4980,442,508,0,1,9
600,6114,4848,474,498,0,0,15
610,5031,4544,492,535,1,0,26
620,5569,3985,481,468,3,1,40
630,5184,5293,489,507,3,2,65
640,5222,4845,479,513,3,2,111
650,6197,5411,452,432,7,8,189
660,7892,8384,388,395,8,6,311
670,11960,11329,274,260,10,17,426
680,18722,19590,109,119,13,10,459
690,26101,26043,80,40,1,6,275
700,27268,29009,42,25,5,1,96
710,28614,29482,39,25,1,0,28
720,28462,29522,65,43,0,0,9
730,26594,28030,83,82,0,0,6
740,24990,25279,156,129,0,0,5
750,20180,21834,210,185,0,0,6
760,16245,18032,341,291,0,0,4
770,10072,12047,417,398,1,0,3
780,6784,7154,487,484,0,0,5
790,4733,5157,504,498,1,1,12
800,4623,4720,516,483,0,3,16
810,4187,4684,521,496,1,1,26
820,4945,4777,454,535,4,0,47
830,6004,4359,536,510,2,1,75
840,4646,5240,464,449,3,5,132
850,7196,7206,423,423,2,10,209
860,9317,9775,352,338,7,10,294
870,13403,12911,232,273,11,13,379
880,19481,18039,152,125,9,9,388
890,24143,25328,63,61,4,2,291
900,28386,27856,36,55,3,1,109
910,28937,27625,45,60,1,2,29
920,27989,26906,72,92,0,0,10
930,26050,24308,118,155,0,0,9
940,22515,20239,168,208,0,1,6
950,19353,16952,267,306,0,0,10
960,13282,11407,362,419,0,0,18
970,9233,7430,449,455,0,2,26
980,6614,5679,471,470,1,2,35
990,5443,5140,493,503,0,2,56
1000,4846,4697,491,512,4,3,103
