"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29346.65,29318.65,29376.8,29402.25,29364.5,29442.65,28.8,27.3,30.4,27.45,26.1,28.75,0,0,0,0,0,0,0,0,0,15.2,8.8,21.8,9.8,4.4,15.2,0,0,0
20,20,29085.15,28967.25,29196.95,29189.1,29083.05,29289.55,66.2,61.9,70.25,62.15,59.05,64.85,0,0,0,0,0,0,0,0,0,131.090187630006,115.886596072611,145.554613665389,129.488708901612,114.058262279511,146.245333452066,0,0,0
30,20,26331.55,26014.65,26649.55,26582.95,26369.25,26791.6,112.25,105.85,118.4,106.1,101.65,110.6,0,0,0,0,0,0,0,0,0,71.6847475404094,62.1034071655329,80.2995003929084,72.2191096755658,62.8929802184644,81.855940644014,0,0,0
40,20,22961.5,22544.85,23425.4,23416.25,23081.35,23741.95,204.55,192.15,215.85,203.45,196.35,211.75,0,0,0,0,0,0,0,0,0,82.8955593973587,75.5965038734828,89.8767076526631,92.7532991834802,85.6415235203707,99.8492675661951,0,0,0
50,20,16897.15,16254.9,17578.8,16919.8,16425.55,17341.85,338.5,323.6,352.95,325,316.25,334.35,0,0,0,0,0,0,0,0,0,66.539243989379,61.5718637881768,72.3670935330391,60.3383980632681,55.9860516894165,64.4395401018797,0,0,0
60,20,9936.45,9350.35,10562.7,10571.5,10219.35,10952.7,473.15,460.15,484.4,470.8,457.45,484.05,0,0,0,0,0,0,0,0,0,40.8506371891904,35.4057040882281,46.9475992222799,45.3585046639115,39.8578867386397,50.5883367364162,0,0,0
70,20,5350.85,5025.25,5673.1,5423.35,5058,5802.5,513.95,504.75,524.15,510.5,498.25,524.25,0,0,0,0,0,0,0,0,0,8.9879866738199,5.78679237809866,12.3424640475673,9.11585789851524,4.23445450071175,14.1735243381399,0,0,0
80,20,4277.65,4068,4490.15,4468.45,4135.9,4801.55,526.7,516.15,536.3,533,522.45,543.2,0,0,0,0,0,0,0,0,0,2.77627700316216,-0.605636881443035,6.14600083321424,4.83706457820621,0.949481263197171,8.19221161803497,0,0,0
90,20,3928,3684.75,4193.1,3809.85,3598.25,4022.4,529.15,522.65,535.25,528.05,517.65,538.55,0,0,0,0,0,0,0,0,0,0.728508683677033,-1.87686525634226,3.58835111515523,-0.642995850948973,-4.22562655190957,2.43861789363975,0,0,0
100,20,3939.85,3727.8,4149.3,3977.1,3744.25,4212,543.35,534.05,553.2,540.65,530,551.05,0,0,0,0,0,0,0,0,0,2.79964269484354,0.373542784196087,5.24092816426439,2.74738103740775,-1.01207693055216,6.93550966747926,0,0,0
110,20,3600.65,3388.6,3815.4,3724.35,3547.6,3884.75,537.15,527.1,549.1,529.1,520.45,537.5,0,0,0,0,0,0,0,0,0,-0.890017374264147,-3.68078852993066,2.37454224181951,-1.87728183562865,-4.88841067516686,0.944498887349887,0,0,0
120,20,3759.05,3522.8,3993.5,3852.5,3653.7,4064.25,533.9,524.9,542.9,537.7,526.95,547.45,0,0,0,0,0,0,0,0,0,-0.30259126534945,-3.2772431121305,2.79013666948863,1.81281847979042,-1.17301276359594,4.80506950989724,0,0,0
130,20,3812.3,3637.3,3981.65,3710.35,3473.9,3997.4,543.25,533.6,552.85,539.1,530.5,550.1,0,0,0,0,0,0,0,0,0,1.94775339962071,-1.04703136691496,4.64564126201802,0.567631791041418,-2.79157098313706,4.18891829710226,0,0,0
140,20,3784.5,3553.7,3989.4,3617.8,3363.15,3814.85,535.75,526.95,545,541.15,532.2,549.65,0,0,0,0,0,0,0,0,0,-1.17647181448007,-3.85095959045687,1.49889045581099,0.641989656029479,-2.5836457064552,3.65314540844245,0,0,0
150,20,3705.75,3512.4,3879.7,3693.8,3498.45,3872.35,543.25,532.6,554,534,520.95,547.6,0,0,0,0,0,0,0,0,0,1.61363422895923,-1.55967119522636,4.38802506436738,-1.10077140499401,-4.2667865644474,2.7046079512075,0,0,0
160,20,3676.75,3448.15,3928.8,3815.4,3556.55,4096.5,527,518.6,535.8,539.1,528.15,550.25,0,0,0,0,0,0,0,0,0,-2.72928058576821,-5.44588657405602,0.230395063170032,1.42201761454598,-2.73442059392698,5.21329916339592,0,0,0
170,20,3911.8,3705.9,4103.3,3738.8,3497.75,3976.8,536.6,523.95,548.05,536.1,523.65,548.3,0,0,0,0,0,0,0,0,0,2.06282197385791,-1.158717808055,5.47809833817628,-0.220717955348846,-3.88916924902952,3.56113437546353,0,0,0
180,20,3840.9,3604.05,4092.15,3665.55,3398.6,3914.55,534.4,525.25,543.85,536.65,526.75,547,0,0,0,0,0,0,0,0,0,-0.0850548129832573,-3.36369080451105,3.29289412964703,0.536245374336557,-3.18242610155123,4.21572085685723,0,0,0
190,20,3966.95,3777.55,4126.9,3827.85,3632.2,4025.25,546.85,534.45,557.6,537.5,526.65,549.4,0,0,0,0,0,0,0,0,0,2.61903930280215,-0.856600883533262,6.077968193438,0.384646089595177,-2.71338434165337,3.12446530332909,0,0,0
200,20,3599.1,3360.45,3827.4,3775.6,3547.25,3990.35,533.55,525.55,541.5,530.45,522.4,539.05,0,0,0,0,0,0,0,0,0,-2.0924505048999,-5.29282615862189,1.33040955574285,-0.994884932001643,-4.18505634302666,2.21758888878953,0,0,0
210,20,4091.65,3883.35,4290.4,4139.1,3946.3,4321.45,520.5,509.35,531.9,531.75,519.75,544.55,1.6,1.1,2.1,1.85,1.35,2.4,40.1,38.35,41.85,-2.25807218081393,-5.5505407510606,0.687669340124156,0.464850527022632,-2.88373748659935,3.92141900472233,0,0,0
220,20,4474.3,4203.55,4756.45,4375.5,4056.2,4698.75,509.9,500.45,519.7,506.55,493.2,520.25,2.35,1.75,3.05,1.85,1.3,2.5,67.8,63.45,71.95,-1.70066035166092,-4.9802711855505,1.98040594317569,-4.33079287463425,-8.19869886225414,-0.0409236922051784,68.8295851713138,61.1557743443976,76.3936943524138
230,20,5033.2,4758.85,5284.35,5097.1,4753.55,5428.55,500.95,490.3,511.85,488.6,476.95,500.2,4.2,3.65,4.75,3.4,2.55,4.2,115.85,107.5,124,-1.50153824159735,-5.05177335587138,1.6775343609317,-3.12444261231254,-6.97950092703273,0.833135593849941,70.8898104968635,66.0713693730482,75.5801670863087
240,20,5790.85,5473.4,6101.75,5936.4,5508.7,6322.95,456.75,448.15,466.8,467.95,459.15,476.85,6.4,5.1,7.8,7,6,7.95,194.9,182.25,208.15,-8.63038996172743,-11.3011454979039,-6.32010385937164,-3.94876836478042,-6.87541078878624,-0.922331436126153,68.7377747338641,64.8384740426692,72.4900633526465
250,20,7890.9,7499.85,8237.2,7580.6,7192.2,7948.6,401.4,385.75,417.8,407.55,389.2,423.95,10.15,8.75,11.65,10.3,9.15,11.4,302.8,284.7,320.55,-11.9901115499326,-15.5288452650263,-8.51256335179004,-12.8174648148628,-16.620881866498,-9.18402290985793,55.9291030990887,52.0547192532211,59.2579180433392
260,20,11233.8,10352.45,12053.5,11254.05,10291.25,12120.65,305.3,284.2,322.7,296.5,271.55,317.15,13.3,11.6,15.25,12.15,10.95,13.35,423.9,403.05,443.15,-24.0765337233281,-27.6613664422172,-20.8244391141229,-27.4559772595682,-31.8658002729623,-23.212835329074,40.6876263294715,37.6161942223155,43.794462074268
270,20,17063.2,16056.7,18162.8,17325.95,16163.65,18518.8,179.25,160.25,199.6,190.1,164.95,215.95,12.05,10.8,13.45,11.25,9.95,12.35,477.1,465.2,487.5,-42.0370275003639,-45.9053263378409,-38.1996432265861,-36.6520704834719,-41.2611325530175,-32.1593408359535,14.0488471813877,7.60989391569399,20.3077036748866
280,20,23431.7,22578.35,24354.9,22774.9,21605.3,23801.35,85,72.55,97.15,92.4,78.5,107.45,6.6,5.35,8.05,7.1,6.05,8.15,375,343.15,404.7,-53.330270180889,-56.6357993060718,-50.4061464061585,-51.3612516849098,-56.4747505578935,-46.2595536416444,-21.516264411043,-28.3782709416783,-15.8052317776771
290,20,27230.35,26714.6,27715.8,26897.1,26201.1,27542.9,49.85,44.95,55,54.9,43.95,65.9,3.4,2.65,4.15,3.35,2.35,4.35,174.15,146.25,203.85,-35.2178764707525,-44.9961434104171,-23.5710970396698,-39.674961504344,-47.9885324719371,-29.4808822118545,-55.1977008004856,-59.9544216134134,-50.6197456563626
300,20,28342.15,28031.55,28645.5,28052.25,27455.6,28575.05,53.15,46.5,59.5,61,52.6,69.9,1.15,0.7,1.65,2,1.25,2.7,60.2,47.15,76.15,9.49470969211746,-5.50503980430793,23.1734084532889,22.9749693225466,7.25148311036615,41.4141370885,-66.4667355722498,-69.6428740239922,-63.7066132545973
310,20,27615.35,27137.85,28116.55,27055.9,26370.75,27642.45,81.2,70,92.4,92.7,77.7,111.25,0.5,0.25,0.75,1.05,0.6,1.55,25.05,18.8,31.7,51.2681276120805,40.5332784211283,62.6810690656709,54.2270277735698,39.2650068443458,69.5656519468321,-59.5771419645596,-63.2839305620976,-55.7862983005067
320,20,25410.95,24511.15,26253.15,24684.4,23484.6,25780.55,139.6,120,157.95,151.2,130.5,177.15,0.15,0,0.3,0.65,0.3,1,13.5,9.6,16.95,74.364912604382,65.7482529299772,83.2823596542261,67.4116244368791,57.2373825347122,77.5481807742264,-45.8016760980259,-57.2694743006752,-34.5320512820513
330,20,21248.25,19945.5,22669.75,20519.55,18978,21880.35,235.95,205.75,264.95,248.2,215.25,284.75,0.6,0.3,0.95,0.55,0.25,0.8,11.5,8.2,14.9,71.3681160396652,63.5215354599378,79.69183551819,65.9485422432857,60.6436638757036,71.0626704269218,-5.53420851179473,-25.396834774421,23.0074144246558
340,20,15427.55,13695.1,17148.9,14846.25,13158.85,16410.75,358.6,322.2,397.75,375.45,344.05,400.3,0.35,0.1,0.6,0.95,0.55,1.45,14.25,9.9,18.9,56.2579917148961,47.2631637166779,67.0813719609452,58.0454358782717,46.6023183502855,68.7636961543236,21.4999137336094,0.661490683229803,42.3856107660456
350,20,9724.55,8040.45,11363.65,8903.55,7804.2,10102.9,464.7,431.95,494.35,460.85,441.85,476.75,0.95,0.6,1.35,1.05,0.5,1.75,20.95,14.5,28.25,33.5810556821889,25.3289733830657,41.691793532395,25.0899613033951,18.4780199826217,32.4153354938409,50.6312905416321,36.119701350726,66.5170613700026
360,20,5972.95,5047.05,7040.35,5874.85,5391.65,6403.35,492.15,478.55,504.9,509.6,498.55,519.55,1.4,0.8,2.05,1.55,0.8,2.35,34.55,23.7,46.35,8.3493491651016,1.6978433802694,15.97291005884,11.4647401945358,6.34134473515732,16.6908545226187,62.6562132503022,45.2319798878303,80.6035263046132
370,20,5190.6,4832,5544.85,4704.1,4421.45,4973.75,496.3,482.15,510.6,508.15,499.8,517.3,2.15,1.4,3,2.3,1.45,3.3,57.35,39.4,80.2,1.35561342843345,-3.60652518240172,5.74760522908239,-0.00757936826038194,-2.88561453502989,3.19080247192215,59.0702604315418,46.8471428350103,68.1472129114005
380,20,5219.75,4721.1,5753.5,4940,4652.8,5219.9,499.6,478.05,518.5,502.45,484.3,519.55,3.3,2.1,4.6,2.95,2,4.05,93.5,63.65,128.9,1.00657980673268,-3.67017422723269,6.06113568416719,-0.97272155980903,-5.10513351513873,2.63108034014202,66.7210681056601,51.3364998273289,83.0435831479714
390,20,5615.85,4870.6,6534.3,5562.05,4779.05,6508.6,474.6,446.35,497.95,474.45,445.6,495.65,5.85,4.35,7.4,5,3.45,6.7,148.05,106.35,196.1,-4.9272411093441,-8.46332830242974,-1.41116530386559,-5.76438685224178,-10.3121875616647,-2.03241410969431,64.1430122339203,53.5670055921907,74.1109614421214
400,20,7041.15,5850.15,8470.6,6971.5,5760.05,8502.8,439.15,396.55,475.3,439.1,393.4,477.45,7.2,4.95,9.5,7.7,5.25,10.2,222.75,166.35,277.75,-8.21745706795645,-14.3697118244115,-3.26272895959101,-8.51958357489029,-14.018779667264,-3.59376674507803,56.1222252837473,47.2180394988981,64.2064882103232
410,20,9331.85,7439.1,11601,9272.95,7219.5,11529.3,368,319.7,412.65,369,318.55,419.35,9.25,6.85,11.75,9.45,7.3,11.6,305.85,235.2,365.4,-18.4463268326576,-24.9808980563008,-12.4997408945057,-17.8859853000096,-23.8208059153593,-12.5238059743631,48.4480909120557,34.3177795188295,62.5267907019112
420,20,13273.75,10608.2,16187.1,13120.35,10368.3,16046.6,281.45,216.5,351.8,290.3,225.5,354.65,10.1,7.85,12.2,9.6,7.3,11.75,357.85,281.1,431.4,-28.3795425261087,-36.6139241152158,-19.7864512814751,-26.1021065440324,-35.2676976567873,-17.1382631465211,25.6999354991836,11.7511222193364,38.9719645527083
430,20,17833.9,14193.85,21511.95,17424.3,13492.9,20629.15,198.3,131.05,271.1,199.05,134.45,270.95,8.15,6.15,10.05,8.55,6.35,10.8,337,265.2,404.3,-37.2125303306078,-45.6233238953877,-27.6717214674357,-34.77627174879,-46.1341582945816,-22.2631018585762,2.98362507111886,-13.5738401479261,20.857448907438
440,20,21633.55,18072.7,24774.95,21417.05,17422.75,24669.6,148.5,77.65,227.35,157.25,89,232.3,5.2,3.1,7.55,4.75,2.95,6.55,242.8,176.05,308.2,-28.8126779933736,-44.3160066579361,-9.88131175982742,-27.0045480735616,-39.2200264300992,-14.472731813474,-23.158054074767,-41.2613074050694,-2.80046706022659
450,20,23800.75,19992.95,27082.1,23231.25,19377.45,26488.8,117.4,54.25,184.15,125.2,68.3,198.95,3.05,1.65,4.5,3.75,2.2,5.55,148.4,93.8,214.65,-13.2097180224616,-29.1024625281712,4.9615782197691,-12.2459550242773,-31.3154021861492,8.44830222753785,-39.0420456897488,-56.4003393563525,-20.2969311962953
460,20,24710.9,20976.4,27628.4,24317.35,20887.65,27088.85,126.3,71.95,193.8,132.9,79.9,192.95,2.95,1,5.2,1.95,0.9,3.15,91.15,40.25,156,26.7985388242286,3.62196596593161,48.1076444024358,31.2275377346107,8.68384345834444,53.8156659446141,-49.0632324599297,-62.9026144528157,-30.3333772722374
470,20,23854.65,20739.9,26658.9,23323.2,20145.8,25990.7,145.2,95.7,211.05,164.25,109.5,227.75,1.6,0.2,3.5,1.55,0.5,2.85,67.45,17.7,137.75,38.8831001751544,19.1041168216961,58.5469551259794,43.2510834209904,25.1868463397392,59.831929439051,-33.0124077444464,-48.2726884280185,-16.2990160769904
480,20,22395.2,19340.35,24959.05,21167.1,17818.3,23841.15,191.05,141.05,253.4,212.35,157.45,268.9,1.1,0.2,2.25,1.05,0.25,2.25,50.85,9.75,105.35,57.181936164427,31.3912007977137,79.1421056403394,49.136393105239,27.9042165954244,69.5832448715255,-29.6288919117776,-45.0499718552259,-14.5097537800545
490,20,19039.75,15767.75,21908.9,17773.5,14718.3,20710.9,263.25,200.25,327.65,294.65,225.75,365.25,0.9,0.25,1.8,1.35,0.65,2.25,34.85,8.85,76.65,46.6926435402102,28.5096731962499,62.1872490761653,45.8529277927898,29.6597047362911,61.1793966360922,-5.61436276770894,-25.1524416042952,14.0029137529137
500,20,15146.9,11561.65,18468.75,13598.5,10519.15,17026.5,345.45,277.6,410.7,371.95,299.75,425.15,1.15,0.3,2.35,0.7,0.2,1.3,24,9.75,43.65,39.371714552741,23.2390842440868,55.5470692290931,34.7509069912253,20.5324373152811,48.1018448457861,15.8404263584772,-11.2818699847388,42.5532378491938
