"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57476.0333333333,57443.4666666667,57509.5,57509.8333333333,57472.7666666667,57546.1333333333,99.8666666666667,98.4333333333333,101.333333333333,99.8,98.4333333333333,101.166666666667,0,0,0,0,0,0,0,0,0,-0.133333333333333,-1.53333333333333,1.46666666666667,-0.2,-1.7,1.16666666666667,0,0,0
20,30,57496.8,57396.4666666667,57592.3,57508.3666666667,57428.0666666667,57590.0666666667,142.5,139.366666666667,145.4,141.166666666667,137.866666666667,144.4,0,0,0,0,0,0,0,0,0,42.6803511136539,40.4529085037403,44.9543235078536,41.4489571450153,39.0055844634449,44.0483604611949,0,0,0
30,30,55393.3333333333,55243.2666666667,55536.9666666667,55404.3666666667,55216.1,55564.5333333333,199.133333333333,194.5,203.966666666667,200.833333333333,196.033333333333,205.666666666667,0,0,0,0,0,0,0,0,0,39.8588663073359,37.5829446323468,42.2236990489272,42.475832452472,39.9041249017351,45.3471921754139,0,0,0
40,30,52507.7,52257.2,52746.9,52466.2,52238.1333333333,52677.3666666667,278.566666666667,271.3,285.766666666667,281.4,274.7,288.833333333333,0,0,0,0,0,0,0,0,0,39.9190604692749,38.0613285219282,41.7516758541,40.2970414308005,37.5554128591929,43.2234805586965,0,0,0
50,30,48574.9333333333,48198.2333333333,48927.7,48426.5,48079.8333333333,48787.2,393.566666666667,383.533333333333,402.833333333333,399.1,389.166666666667,409.266666666667,0,0,0,0,0,0,0,0,0,41.3806353753929,39.6585572359822,43.0190683499163,41.9159823328009,40.2795069446621,43.590514634963,0,0,0
60,30,42822.2,42312.6,43258.4666666667,42649.1,42157.3,43158.9333333333,552.066666666667,538.833333333333,565.766666666667,559.066666666667,545.366666666667,573.633333333333,0,0,0,0,0,0,0,0,0,40.3761876979187,38.7243120261594,42.3161050393671,40.1300600426294,38.6760237385013,41.4476677719504,0,0,0
70,30,35152.7,34516.0666666667,35836.7666666667,34692.8333333333,34013.1333333333,35349.2333333333,774,754.566666666667,794.633333333333,778.133333333333,759.266666666667,794.8,0,0,0,0,0,0,0,0,0,40.2581238086889,38.7691207824728,41.8146527023179,39.2464543997406,38.3217247355894,40.2559083712784,0,0,0
80,30,25076.3,24197.0666666667,25884.9666666667,24759.5666666667,23994.0333333333,25573.4,1057.26666666667,1032.3,1080.06666666667,1066.76666666667,1039.73333333333,1091.8,0,0,0,0,0,0,0,0,0,36.7232814918072,35.327722329441,37.9528558306328,37.1126115913583,35.9421567033079,38.1134038407179,0,0,0
90,30,14711.7,13931.7666666667,15517.0333333333,14477.8,13714.5333333333,15266.1333333333,1356.1,1333.6,1377.76666666667,1380.23333333333,1357.53333333333,1400.4,0,0,0,0,0,0,0,0,0,28.4452420701404,27.07640052222,29.8000515958403,29.6321046333757,27.9661476698107,31.2045729502512,0,0,0
100,30,7199.03333333333,6678.56666666667,7706.4,6851.56666666667,6425.93333333333,7286.3,1583.56666666667,1567.4,1597.76666666667,1578.66666666667,1565.4,1594.76666666667,0,0,0,0,0,0,0,0,0,16.907563744898,15.6037526875386,18.1425752134123,14.5458751191048,12.841625710902,16.1495030003182,0,0,0
110,30,3739.46666666667,3509.9,3966.36666666667,3749.33333333333,3523.86666666667,3948.23333333333,1642.9,1630.76666666667,1654.93333333333,1653.36666666667,1641.8,1664.63333333333,0,0,0,0,0,0,0,0,0,3.81546107614532,2.66108194386674,4.95244477489171,4.77799509427358,3.82710286134088,5.65935697738457,0,0,0
120,30,3009.93333333333,2859.83333333333,3170.2,2872.93333333333,2757.73333333333,2997.26666666667,1660.33333333333,1651.66666666667,1670,1652.16666666667,1643.13333333333,1661.6,0,0,0,0,0,0,0,0,0,1.10249860206133,0.187631159951691,2.06547880100115,-0.0266120292715326,-1.01377111180038,0.96004703991518,0,0,0
130,30,2741.16666666667,2603.86666666667,2867.53333333333,2864.03333333333,2748.43333333333,2984.5,1658.63333333333,1650.2,1666.83333333333,1657.86666666667,1649.16666666667,1666.4,0,0,0,0,0,0,0,0,0,-0.0741105872513526,-0.815128014999056,0.776778981287362,0.369188856506459,-0.359692162097987,1.06679468387804,0,0,0
140,30,2905.26666666667,2765.43333333333,3029.83333333333,2764.83333333333,2635.33333333333,2880.66666666667,1649.4,1640.66666666667,1657.63333333333,1653,1645.4,1661.36666666667,0,0,0,0,0,0,0,0,0,-0.535084903942428,-1.284406645943,0.167858344394351,-0.26946349330747,-1.0415858201451,0.461836702316505,0,0,0
150,30,2865.16666666667,2750.06666666667,2972.53333333333,2834.53333333333,2715.06666666667,2960.96666666667,1648.73333333333,1639.86666666667,1657.36666666667,1648.16666666667,1639.6,1656.13333333333,0,0,0,0,0,0,0,0,0,-0.015235568514425,-0.852305451712867,0.670030112918937,-0.273170117703349,-0.987162075075672,0.345752346124357,0,0,0
160,30,2898.13333333333,2745.36666666667,3051.5,2907.33333333333,2772.7,3042.43333333333,1646.03333333333,1636.76666666667,1654.56666666667,1648.2,1640.16666666667,1655.46666666667,0,0,0,0,0,0,0,0,0,-0.144913539752508,-0.858076396580833,0.588409846824385,0.0206798258591446,-0.667669717327675,0.741929366278721,0,0,0
170,30,2928,2808.43333333333,3068.83333333333,2946.53333333333,2814.2,3069.36666666667,1646.6,1637.03333333333,1655.5,1650.9,1642.5,1659.16666666667,0,0,0,0,0,0,0,0,0,0.0651979312817096,-0.879734635376339,0.906233951590319,0.185670774465505,-0.602018346897413,0.961424783835678,0,0,0
180,30,2975.4,2864.46666666667,3091.06666666667,2829.56666666667,2714.26666666667,2936.5,1651.26666666667,1642,1660.06666666667,1643.86666666667,1636.56666666667,1650.5,0,0,0,0,0,0,0,0,0,0.312435160586548,-0.530693179531773,1.14868678523443,-0.403717758707512,-1.13628517241833,0.256451273204818,0,0,0
190,30,2941.53333333333,2805.76666666667,3083.6,2980.73333333333,2883.7,3075.83333333333,1652.83333333333,1643.03333333333,1662.03333333333,1652.96666666667,1645.26666666667,1660.4,0,0,0,0,0,0,0,0,0,0.119331879248295,-0.668704706009953,0.887210401333083,0.570948511203809,-0.132204245895057,1.24147700108371,0,0,0
200,30,2832.5,2712.8,2950.2,2826.53333333333,2706.83333333333,2938.53333333333,1643.63333333333,1635.43333333333,1651.2,1646.23333333333,1637.53333333333,1654.7,0,0,0,0,0,0,0,0,0,-0.532399491824798,-1.23727364331567,0.197450825389797,-0.390854303984769,-1.13159811681141,0.290871130343244,0,0,0
210,30,5133.86666666667,4944.5,5332.76666666667,5164.3,4973.53333333333,5345.8,1299.93333333333,1291.66666666667,1308.33333333333,1300.83333333333,1292.2,1310.23333333333,41.6333333333333,39.9333333333333,43.3333333333333,42.4333333333333,41.5,43.4,39.4,37.5333333333333,41.1666666666667,-20.9059435493009,-21.3469413604691,-20.4641390424174,-20.9638410005348,-21.6563184897904,-20.2379844683883,0,0,0
