timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,0,100,0,0,0
10,62500,57391,0,97,0,0,0
20,62500,57628,0,146,0,0,0
30,62500,55196,0,203,0,0,0
40,62500,52258,0,278,0,0,0
50,62500,48680,0,418,0,0,0
60,62500,41551,0,560,0,0,0
70,62500,34157,0,800,0,0,0
80,62500,23665,0,1081,0,0,0
90,62500,14074,0,1400,0,0,0
100,62500,6130,0,1652,0,0,0
110,62500,2894,0,1645,0,0,0
120,62500,2909,0,1671,0,0,0
130,62500,2701,0,1650,0,0,0
140,62500,3058,0,1620,0,0,0
150,62500,3509,0,1657,0,0,0
160,62500,2656,0,1641,0,0,0
170,62500,3045,0,1625,0,0,0
180,62500,2898,0,1666,0,0,0
190,62500,3024,0,1654,0,0,0
200,62500,3072,0,1633,0,0,0
210,62500,3982,0,1510,0,11,142
220,62500,5389,0,1460,0,16,246
230,62500,8786,0,1273,0,25,380
240,62500,15134,0,937,0,32,575
250,62500,31629,0,470,0,35,706
260,62500,50339,0,93,0,15,567
270,62500,60260,0,22,0,0,170
280,62500,61741,0,14,0,2,25
290,62500,61991,0,12,0,0,6
300,62500,61851,0,16,0,0,0
310,62500,61639,0,22,0,0,0
320,62500,61442,0,33,0,0,0
330,62500,60841,0,47,0,0,0
340,62500,60101,0,68,0,0,0
350,62500,59111,0,83,0,0,0
360,62500,58239,0,132,0,0,0
370,62500,55986,0,178,0,0,0
380,62500,53591,0,252,0,0,0
390,62500,49766,0,373,0,0,0
400,62500,43438,0,508,0,0,0
410,62500,37359,0,722,0,0,0
420,62500,26866,0,1038,0,0,0
430,62500,14711,0,1304,0,0,0
440,62500,7889,0,1606,0,0,0
450,62500,3671,0,1635,0,0,0
460,62500,2943,0,1661,0,0,0
470,62500,2871,0,1665,0,0,0
480,62500,2429,0,1693,0,0,0
490,62500,2359,0,1641,0,0,0
500,62500,2696,0,1643,0,0,0
510,62500,2667,0,1652,0,0,0
520,62500,3079,0,1659,0,0,0
530,62500,3150,0,1653,0,0,0
540,62500,2877,0,1648,0,0,0
550,62500,3072,0,1662,0,0,0
560,62500,2565,0,1621,0,0,0
570,62500,2709,0,1702,0,0,0
580,62500,2004,0,1680,0,0,0
590,62500,2737,0,1651,0,0,0
600,62500,2826,0,1661,0,0,0
610,62500,2701,0,1621,0,0,0
620,62500,3105,0,1621,0,0,0
630,62500,3218,0,1661,0,0,0
640,62500,2304,0,1644,0,0,0
650,62500,3677,0,1615,0,0,0
660,62500,3054,0,1664,0,0,0
670,62500,2829,0,1634,0,0,0
680,62500,3358,0,1665,0,0,0
690,62500,2599,0,1645,0,0,0
700,62500,2948,0,1639,0,0,0
710,62500,3159,0,1635,0,0,0
720,62500,2795,0,1642,0,0,0
730,62500,2680,0,1693,0,0,0
740,62500,2602,0,1650,0,0,0
750,62500,2503,0,1666,0,0,0
760,62500,2736,0,1642,0,0,0
770,62500,3258,0,1630,0,0,0
780,62500,3246,0,1617,0,0,0
790,62500,3707,0,1673,0,0,0
800,62500,2445,0,1639,0,0,0
810,62500,2906,0,1653,0,0,0
820,62500,2869,0,1619,0,0,0
830,62500,2782,0,1664,0,0,0
840,62500,2669,0,1673,0,0,0
850,62500,2753,0,1637,0,0,0
860,62500,2685,0,1612,0,0,0
870,62500,2941,0,1687,0,0,0
880,62500,2744,0,1653,0,0,0
890,62500,2625,0,1619,0,0,0
900,62500,3780,0,1618,0,0,0
910,62500,3392,0,1669,0,0,0
920,62500,2565,0,1640,0,0,0
930,62500,2937,0,1655,0,0,0
940,62500,2838,0,1657,0,0,0
950,62500,3082,0,1651,0,0,0
960,62500,3581,0,1645,0,0,0
970,62500,2162,0,1650,0,0,0
980,62500,2604,0,1701,0,0,0
990,62500,2185,0,1635,0,0,0
1000,62500,2564,0,1640,0,0,0
