"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,57519,0,100,0,0,0,0,0,0
1,20,62500,57551,0,145,0,0,0,0,45,0
1,30,62500,55060,0,184,0,0,0,0,26.8965517241379,0
1,40,62500,53215,0,291,0,0,0,0,58.1521739130435,0
1,50,62500,47576,0,399,0,0,0,0,37.1134020618557,0
1,60,62500,42676,0,568,0,0,0,0,42.3558897243108,0
1,70,62500,34784,0,771,0,0,0,0,35.7394366197183,0
1,80,62500,25068,0,1087,0,0,0,0,40.9857328145266,0
1,90,62500,14318,0,1415,0,0,0,0,30.1747930082797,0
1,100,62500,5772,0,1557,0,0,0,0,10.0353356890459,0
1,110,62500,3123,0,1677,0,0,0,0,7.70712909441233,0
1,120,62500,2392,0,1653,0,0,0,0,-1.43112701252236,0
1,130,62500,2343,0,1687,0,0,0,0,2.05686630369026,0
1,140,62500,2337,0,1614,0,0,0,0,-4.3272080616479,0
1,150,62500,2926,0,1690,0,0,0,0,4.7087980173482,0
1,160,62500,2773,0,1645,0,0,0,0,-2.66272189349112,0
1,170,62500,2283,0,1664,0,0,0,0,1.15501519756839,0
1,180,62500,3005,0,1677,0,0,0,0,0.78125,0
1,190,62500,2594,0,1601,0,0,0,0,-4.53190220632081,0
1,200,62500,2971,0,1668,0,0,0,0,4.18488444722049,0
1,210,62500,4332,0,1410,0,36,0,0,-15.4676258992806,0
1,220,62500,5584,0,1565,0,0,0,0,10.9929078014184,0
1,230,62500,3765,0,1763,0,0,0,0,12.6517571884984,0
1,240,62500,2009,0,1626,0,0,0,0,-7.77084515031197,0
1,250,62500,3257,0,1583,0,0,0,0,-2.64452644526445,0
1,260,62500,3381,0,1664,0,0,0,0,5.1168667087808,0
1,270,62500,2933,0,1638,0,0,0,0,-1.5625,0
1,280,62500,2867,0,1654,0,0,0,0,0.976800976800977,0
1,290,62500,2617,0,1662,0,0,0,0,0.483675937122128,0
1,300,62500,2862,0,1618,0,0,0,0,-2.647412755716,0
1,310,62500,3395,0,1649,0,0,0,0,1.9159456118665,0
1,320,62500,2600,0,1669,0,0,0,0,1.21285627653123,0
1,330,62500,2813,0,1669,0,0,0,0,0,0
1,340,62500,2249,0,1689,0,0,0,0,1.1983223487118,0
1,350,62500,2523,0,1654,0,0,0,0,-2.07223208999408,0
