"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57548.8666666667,57506.3666666667,57590.9666666667,57510.2666666667,57471,57550.3,98.1,96.6666666666667,99.5666666666667,99.1666666666667,97.9333333333333,100.4,0,0,0,0,0,0,0,0,0,-1.9,-3.3,-0.5,-0.833333333333333,-2.16666666666667,0.4,0,0,0
20,30,57586.0333333333,57511.8333333333,57663.3333333333,57550.7666666667,57484.0666666667,57621.8333333333,142,138.666666666667,145.466666666667,143.166666666667,140.266666666667,146.533333333333,0,0,0,0,0,0,0,0,0,44.7437937068846,42.070231032112,47.7637770751646,44.3665375512005,41.8065492198566,46.8135897222062,0,0,0
30,30,55387.8666666667,55180.6,55567.5,55355.8333333333,55183.8333333333,55514.0666666667,199,194.333333333333,203.6,198.933333333333,195.3,202.9,0,0,0,0,0,0,0,0,0,40.3942391733529,37.6537151835147,43.0959974618164,39.1499500553847,36.9862671215019,41.4286879869895,0,0,0
40,30,52553,52335.8333333333,52779.5333333333,52527.3,52341.2333333333,52718.0333333333,274.1,267.2,280.133333333333,280.066666666667,273.866666666667,285.866666666667,0,0,0,0,0,0,0,0,0,37.8304571794322,35.83768690888,39.9519102575289,40.8600350644596,38.7976643741972,43.0807540701515,0,0,0
50,30,48774.3666666667,48468.9333333333,49086.0666666667,48516.1666666667,48204.4666666667,48824.4666666667,387.733333333333,379.2,395.566666666667,392.766666666667,384.433333333333,401.133333333333,0,0,0,0,0,0,0,0,0,41.5704942179994,39.918635432261,43.1810711085516,40.3887117791381,38.0252354774304,42.5394567596551,0,0,0
60,30,43196.4,42777.1333333333,43622.7333333333,42909.6,42499.1,43340.4333333333,544.866666666667,533.1,557.166666666667,554.133333333333,543.5,565.333333333333,0,0,0,0,0,0,0,0,0,40.5581133776989,39.2969468032885,41.7616315139877,41.1731238384121,39.5920679203364,42.7123893486048,0,0,0
70,30,35321.8666666667,34736.5333333333,35912.5,34980.8333333333,34468.1,35517.5333333333,767.3,751.533333333333,784.933333333333,777.6,763.233333333333,793.233333333333,0,0,0,0,0,0,0,0,0,40.8888260340183,39.5796582306267,42.1474942134642,40.4056275328795,38.8063738957448,41.7292696899999,0,0,0
80,30,25265.1333333333,24533.1666666667,25990,24878.2,24279.4,25472.9333333333,1053.83333333333,1034.86666666667,1071.2,1074.26666666667,1055.4,1090.86666666667,0,0,0,0,0,0,0,0,0,37.4816956540619,36.0882477548453,38.7962903191271,38.2657252612708,36.9205725477333,39.6471832058795,0,0,0
90,30,14741.8,14149.8666666667,15337.9,14128.7333333333,13585.7,14722.1,1360.33333333333,1339.43333333333,1378.33333333333,1369.26666666667,1350.6,1386.66666666667,0,0,0,0,0,0,0,0,0,29.1597281257507,27.9953659862626,30.3115748779087,27.549318798643,26.4615008868324,28.7095503835451,0,0,0
