"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29388.2,29352.5,29427.5,0,0,0,30.95,27.5,35.15,0,0,0,0,0,0,0,0,0,0,0,0,23.8,9.6,41,0,0,0
20,20,31250,31250,31250,28927.7,28613.4,29204.55,0,0,0,107.35,100.7,114.35,0,0,0,0,0,0,0,0,0,0,0,0,263.238454486479,231.915633269969,292.742608098741,0,0,0
30,20,31250,31250,31250,23251.5,22700.6,23785.5,0,0,0,236.55,215.6,258.55,0,0,0,0,0,0,0,0,0,0,0,0,122.16742188324,105.124882879646,141.309493822874,0,0,0
40,20,31250,31250,31250,15181.05,14000.4,16188.5,0,0,0,503.05,474.3,529.55,0,0,0,0,0,0,0,0,0,0,0,0,119.218573652735,100.100454806661,138.801905494434,0,0,0
50,20,31250,31250,31250,4902.95,4265.3,5607.8,0,0,0,551.9,526.95,579.6,0,0,0,0,0,0,0,0,0,0,0,0,13.0541356900503,1.33681674289327,27.1096904900782,0,0,0
60,20,31250,31250,31250,3591.8,3165.4,3990,0,0,0,557.2,530.55,581.55,0,0,0,0,0,0,0,0,0,0,0,0,2.8099817659598,-5.75445290663914,10.8924830044885,0,0,0
70,20,31250,31250,31250,3574.3,3084.7,4116.2,0,0,0,588.2,567.15,611.45,0,0,0,0,0,0,0,0,0,0,0,0,7.64298301181343,-1.27276454163562,16.842936146618,0,0,0
80,20,31250,31250,31250,3021.05,2666,3392.85,0,0,0,575.05,557.75,592.9,0,0,0,0,0,0,0,0,0,0,0,0,-1.11264490639601,-7.15017994300609,5.13769332570333,0,0,0
90,20,31250,31250,31250,3142,2843.3,3443.3,0,0,0,579.3,559.1,597.3,0,0,0,0,0,0,0,0,0,0,0,0,1.47054675527181,-3.62017524296558,6.23284325759561,0,0,0
