"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,29375,0,26,0,0,0,0,4,0
1,20,31250,29263,0,39,0,0,0,0,50,0
1,30,31250,28517,0,51,0,0,0,0,30.7692307692308,0
1,40,31250,27390,0,69,0,0,0,0,35.2941176470588,0
1,50,31250,26073,0,95,0,0,0,0,37.6811594202899,0
1,60,31250,24085,0,144,0,0,0,0,51.5789473684211,0
1,70,31250,20732,0,197,0,0,0,0,36.8055555555556,0
1,80,31250,17036,0,278,0,0,0,0,41.1167512690355,0
1,90,31250,12625,0,353,0,0,0,0,26.9784172661871,0
1,100,31250,9609,0,413,0,0,0,0,16.9971671388102,0
1,110,31250,7147,0,470,0,0,0,0,13.8014527845036,0
1,120,31250,5279,0,504,0,0,0,0,7.23404255319149,0
1,130,31250,4633,0,509,0,0,0,0,0.992063492063492,0
1,140,31250,4006,0,501,0,0,0,0,-1.57170923379175,0
1,150,31250,4568,0,493,0,0,0,0,-1.59680638722555,0
1,160,31250,4697,0,493,0,0,0,0,0,0
1,170,31250,4386,0,525,0,0,0,0,6.49087221095335,0
1,180,31250,3731,0,506,0,0,0,0,-3.61904761904762,0
1,190,31250,4186,0,512,0,0,0,0,1.18577075098814,0
1,200,31250,4700,0,484,0,0,0,0,-5.46875,0
1,210,31250,5938,0,463,0,3,25,0,-4.33884297520661,0
1,220,31250,6114,0,449,0,1,26,0,-3.02375809935205,4
1,230,31250,6476,0,437,0,7,36,0,-2.67260579064588,38.4615384615385
1,240,31250,6325,0,488,0,2,25,0,11.6704805491991,-30.5555555555556
1,250,31250,5063,0,491,0,1,34,0,0.614754098360656,36
1,260,31250,5310,0,457,0,3,32,0,-6.92464358452138,-5.88235294117647
1,270,31250,5907,0,439,0,2,31,0,-3.93873085339168,-3.125
