"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,29381,0,30,0,0,0,0,20,0
1,20,31250,29046,0,52,0,0,0,0,73.3333333333333,0
1,30,31250,27342,0,121,0,0,0,0,132.692307692308,0
1,40,31250,22341,0,196,0,0,0,0,61.9834710743802,0
1,50,31250,17208,0,332,0,0,0,0,69.3877551020408,0
1,60,31250,9831,0,512,0,0,0,0,54.2168674698795,0
1,70,31250,4510,0,505,0,0,0,0,-1.3671875,0
1,80,31250,4119,0,549,0,0,0,0,8.71287128712871,0
1,90,31250,3561,0,505,0,0,0,0,-8.01457194899818,0
1,100,31250,4472,0,566,0,0,0,0,12.0792079207921,0
1,110,31250,3136,0,512,0,0,0,0,-9.54063604240283,0
1,120,31250,4065,0,546,0,0,0,0,6.640625,0
1,130,31250,3393,0,547,0,0,0,0,0.183150183150183,0
1,140,31250,3236,0,539,0,0,0,0,-1.46252285191956,0
1,150,31250,3566,0,537,0,0,0,0,-0.371057513914657,0
1,160,31250,4137,0,519,0,0,0,0,-3.35195530726257,0
1,170,31250,4229,0,548,0,0,0,0,5.58766859344894,0
1,180,31250,3535,0,489,0,0,0,0,-10.7664233576642,0
1,190,31250,4989,0,586,0,0,0,0,19.8364008179959,0
1,200,31250,3073,0,504,0,0,0,0,-13.9931740614334,0
1,210,31250,4625,0,516,0,2,22,0,2.38095238095238,0
1,220,31250,4348,0,551,0,2,28,0,6.78294573643411,27.2727272727273
1,230,31250,3944,0,510,0,1,38,0,-7.44101633393829,35.7142857142857
1,240,31250,4605,0,492,0,9,45,0,-3.52941176470588,18.4210526315789
1,250,31250,5671,0,466,0,5,48,0,-5.28455284552845,6.66666666666667
1,260,31250,5723,0,502,0,5,60,0,7.72532188841202,25
1,270,31250,5407,0,477,0,6,63,0,-4.9800796812749,5
1,280,31250,5843,0,490,0,3,70,0,2.72536687631027,11.1111111111111
1,290,31250,5564,0,468,0,10,77,0,-4.48979591836735,10
1,300,31250,6183,0,504,0,5,84,0,7.69230769230769,9.09090909090909
1,310,31250,5522,0,454,0,7,98,0,-9.92063492063492,16.6666666666667
1,320,31250,7437,0,406,0,8,115,0,-10.5726872246696,17.3469387755102
1,330,31250,8717,0,443,0,6,116,0,9.11330049261084,0.869565217391304
1,340,31250,7671,0,431,0,9,112,0,-2.70880361173815,-3.44827586206897
1,350,31250,7674,0,405,0,11,109,0,-6.03248259860789,-2.67857142857143
1,360,31250,8648,0,414,0,6,120,0,2.22222222222222,10.0917431192661
1,370,31250,8467,0,458,0,7,105,0,10.6280193236715,-12.5
1,380,31250,6828,0,468,0,10,89,0,2.18340611353712,-15.2380952380952
1,390,31250,6299,0,459,0,10,97,0,-1.92307692307692,8.98876404494382
1,400,31250,6587,0,417,0,7,106,0,-9.15032679738562,9.27835051546392
1,410,31250,7831,0,474,0,7,111,0,13.6690647482014,4.71698113207547
1,420,31250,6509,0,454,0,6,113,0,-4.21940928270042,1.8018018018018
1,430,31250,6981,0,402,0,15,124,0,-11.4537444933921,9.73451327433628
1,440,31250,9226,0,471,0,7,116,0,17.1641791044776,-6.45161290322581
1,450,31250,6794,0,392,0,7,132,0,-16.7728237791932,13.7931034482759
1,460,31250,9596,0,401,0,10,122,0,2.29591836734694,-7.57575757575758
1,470,31250,9500,0,425,0,11,115,0,5.98503740648379,-5.73770491803279
1,480,31250,7549,0,454,0,9,125,0,6.82352941176471,8.69565217391304
1,490,31250,7137,0,406,0,17,142,0,-10.5726872246696,13.6
1,500,31250,9778,0,374,0,7,149,0,-7.88177339901478,4.92957746478873
1,510,31250,10684,0,370,0,12,172,0,-1.06951871657754,15.4362416107383
1,520,31250,10515,0,331,0,10,156,0,-10.5405405405405,-9.30232558139535
1,530,31250,12378,0,361,0,8,119,0,9.06344410876133,-23.7179487179487
1,540,31250,10739,0,380,0,8,105,0,5.26315789473684,-11.7647058823529
1,550,31250,9836,0,411,0,7,95,0,8.1578947368421,-9.52380952380952
1,560,31250,8208,0,452,0,10,79,0,9.97566909975669,-16.8421052631579
1,570,31250,6637,0,441,0,9,96,0,-2.43362831858407,21.5189873417722
1,580,31250,7228,0,460,0,6,105,0,4.30839002267574,9.375
1,590,31250,6934,0,455,0,8,103,0,-1.08695652173913,-1.9047619047619
1,600,31250,6520,0,473,0,7,97,0,3.95604395604396,-5.8252427184466
1,610,31250,5923,0,450,0,9,107,0,-4.86257928118393,10.3092783505155
1,620,31250,7617,0,463,0,7,114,0,2.88888888888889,6.54205607476636
1,630,31250,7243,0,383,0,10,119,0,-17.2786177105832,4.3859649122807
1,640,31250,9751,0,398,0,11,117,0,3.91644908616188,-1.68067226890756
1,650,31250,8797,0,454,0,8,90,0,14.070351758794,-23.0769230769231
1,660,31250,6596,0,463,0,6,84,0,1.98237885462555,-6.66666666666667
1,670,31250,6482,0,433,0,9,92,0,-6.47948164146868,9.52380952380952
1,680,31250,7495,0,478,0,2,115,0,10.3926096997691,25
1,690,31250,6222,0,439,0,8,124,0,-8.15899581589958,7.82608695652174
1,700,31250,7953,0,432,0,7,141,0,-1.59453302961276,13.7096774193548
1,710,31250,8711,0,395,0,10,128,0,-8.56481481481481,-9.21985815602837
1,720,31250,9806,0,403,0,7,130,0,2.0253164556962,1.5625
1,730,31250,9373,0,416,0,10,129,0,3.2258064516129,-0.769230769230769
1,740,31250,8193,0,406,0,7,121,0,-2.40384615384615,-6.2015503875969
1,750,31250,8947,0,372,0,11,131,0,-8.3743842364532,8.26446280991735
1,760,31250,10587,0,361,0,13,108,0,-2.95698924731183,-17.5572519083969
1,770,31250,10812,0,397,0,8,103,0,9.97229916897507,-4.62962962962963
1,780,31250,9022,0,390,0,7,90,0,-1.7632241813602,-12.621359223301
1,790,31250,8707,0,430,0,6,87,0,10.2564102564103,-3.33333333333333
1,800,31250,7739,0,447,0,7,93,0,3.95348837209302,6.89655172413793
1,810,31250,6893,0,466,0,4,92,0,4.25055928411633,-1.0752688172043
1,820,31250,6442,0,462,0,7,85,0,-0.858369098712446,-7.60869565217391
1,830,31250,6885,0,432,0,6,89,0,-6.49350649350649,4.70588235294118
1,840,31250,7784,0,467,0,6,84,0,8.10185185185185,-5.61797752808989
1,850,31250,6658,0,480,0,7,106,0,2.78372591006424,26.1904761904762
1,860,31250,6245,0,464,0,4,89,0,-3.33333333333333,-16.0377358490566
1,870,31250,6251,0,490,0,7,114,0,5.60344827586207,28.0898876404494
1,880,31250,6519,0,410,0,13,115,0,-16.3265306122449,0.87719298245614
1,890,31250,9125,0,398,0,5,129,0,-2.92682926829268,12.1739130434783
1,900,31250,9133,0,410,0,7,118,0,3.01507537688442,-8.52713178294574
1,910,31250,8545,0,387,0,6,100,0,-5.60975609756098,-15.2542372881356
1,920,31250,9744,0,399,0,7,107,0,3.10077519379845,7
1,930,31250,8599,0,413,0,5,102,0,3.50877192982456,-4.67289719626168
1,940,31250,8942,0,409,0,8,109,0,-0.968523002421308,6.86274509803922
1,950,31250,8038,0,444,0,4,89,0,8.55745721271394,-18.348623853211
1,960,31250,7382,0,467,0,1,85,0,5.18018018018018,-4.49438202247191
1,970,31250,6386,0,426,0,10,116,0,-8.77944325481799,36.4705882352941
1,980,31250,8125,0,434,0,9,108,0,1.87793427230047,-6.89655172413793
1,990,31250,7941,0,426,0,8,108,0,-1.84331797235023,0
1,1000,31250,8126,0,410,0,2,121,0,-3.75586854460094,12.037037037037
2,0,31250,31250,0,25,0,0,0,0,0,0
2,10,31250,29457,0,29,0,0,0,0,16,0
2,20,31250,29092,0,55,0,0,0,0,89.6551724137931,0
2,30,31250,27266,0,100,0,0,0,0,81.8181818181818,0
2,40,31250,24051,0,157,0,0,0,0,57,0
2,50,31250,20014,0,305,0,0,0,0,94.2675159235669,0
2,60,31250,11348,0,439,0,0,0,0,43.9344262295082,0
2,70,31250,6389,0,509,0,0,0,0,15.9453302961276,0
2,80,31250,4386,0,524,0,0,0,0,2.94695481335953,0
2,90,31250,3731,0,573,0,0,0,0,9.35114503816794,0
2,100,31250,3145,0,517,0,0,0,0,-9.77312390924956,0
2,110,31250,3878,0,538,0,0,0,0,4.06189555125725,0
2,120,31250,3747,0,540,0,0,0,0,0.371747211895911,0
2,130,31250,3476,0,552,0,0,0,0,2.22222222222222,0
2,140,31250,3215,0,556,0,0,0,0,0.72463768115942,0
2,150,31250,3542,0,512,0,0,0,0,-7.9136690647482,0
2,160,31250,3884,0,581,0,0,0,0,13.4765625,0
2,170,31250,3269,0,495,0,0,0,0,-14.802065404475,0
2,180,31250,4752,0,549,0,0,0,0,10.9090909090909,0
2,190,31250,3758,0,507,0,0,0,0,-7.65027322404372,0
2,200,31250,4328,0,547,0,0,0,0,7.88954635108481,0
2,210,31250,3574,0,501,0,4,22,0,-8.40950639853748,0
2,220,31250,4934,0,521,0,2,31,0,3.99201596806387,40.9090909090909
2,230,31250,4279,0,518,0,1,32,0,-0.575815738963532,3.2258064516129
2,240,31250,4485,0,540,0,2,35,0,4.24710424710425,9.375
2,250,31250,3593,0,487,0,2,51,0,-9.81481481481481,45.7142857142857
2,260,31250,5191,0,544,0,5,52,0,11.7043121149897,1.96078431372549
2,270,31250,4168,0,480,0,4,62,0,-11.7647058823529,19.2307692307692
2,280,31250,5463,0,504,0,7,64,0,5,3.2258064516129
2,290,31250,4830,0,466,0,4,68,0,-7.53968253968254,6.25
2,300,31250,5676,0,482,0,6,75,0,3.43347639484979,10.2941176470588
2,310,31250,5625,0,455,0,7,82,0,-5.60165975103734,9.33333333333333
2,320,31250,6927,0,462,0,6,81,0,1.53846153846154,-1.21951219512195
2,330,31250,6026,0,475,0,9,96,0,2.81385281385281,18.5185185185185
2,340,31250,6538,0,424,0,7,106,0,-10.7368421052632,10.4166666666667
2,350,31250,8344,0,436,0,9,116,0,2.83018867924528,9.43396226415094
2,360,31250,7984,0,465,0,6,123,0,6.65137614678899,6.03448275862069
2,370,31250,7175,0,408,0,11,125,0,-12.258064516129,1.6260162601626
2,380,31250,8821,0,424,0,6,123,0,3.92156862745098,-1.6
2,390,31250,8119,0,423,0,11,115,0,-0.235849056603774,-6.50406504065041
2,400,31250,8170,0,430,0,7,110,0,1.6548463356974,-4.34782608695652
2,410,31250,7814,0,412,0,5,128,0,-4.18604651162791,16.3636363636364
2,420,31250,9141,0,420,0,8,109,0,1.94174757281553,-14.84375
2,430,31250,7839,0,440,0,6,104,0,4.76190476190476,-4.58715596330275
2,440,31250,6979,0,434,0,8,120,0,-1.36363636363636,15.3846153846154
2,450,31250,7717,0,439,0,9,137,0,1.15207373271889,14.1666666666667
2,460,31250,7811,0,433,0,14,121,0,-1.36674259681093,-11.6788321167883
2,470,31250,7953,0,415,0,8,135,0,-4.15704387990762,11.5702479338843
2,480,31250,8385,0,454,0,11,123,0,9.39759036144578,-8.88888888888889
2,490,31250,6910,0,447,0,8,125,0,-1.54185022026432,1.6260162601626
2,500,31250,7397,0,414,0,11,123,0,-7.38255033557047,-1.6
2,510,31250,8838,0,459,0,5,104,0,10.8695652173913,-15.4471544715447
2,520,31250,6395,0,467,0,7,90,0,1.74291938997821,-13.4615384615385
2,530,31250,7048,0,431,0,7,99,0,-7.70877944325482,10
2,540,31250,7579,0,446,0,9,96,0,3.48027842227378,-3.03030303030303
2,550,31250,7446,0,420,0,5,106,0,-5.82959641255605,10.4166666666667
2,560,31250,7951,0,406,0,10,110,0,-3.33333333333333,3.77358490566038
2,570,31250,8274,0,450,0,7,93,0,10.8374384236453,-15.4545454545455
2,580,31250,6896,0,491,0,10,102,0,9.11111111111111,9.67741935483871
2,590,31250,5934,0,379,0,12,124,0,-22.8105906313646,21.5686274509804
2,600,31250,9731,0,425,0,5,110,0,12.1372031662269,-11.2903225806452
2,610,31250,8126,0,436,0,9,120,0,2.58823529411765,9.09090909090909
2,620,31250,7236,0,425,0,9,101,0,-2.52293577981651,-15.8333333333333
2,630,31250,7872,0,459,0,6,95,0,8,-5.94059405940594
2,640,31250,6457,0,430,0,11,112,0,-6.31808278867102,17.8947368421053
2,650,31250,7379,0,446,0,7,110,0,3.72093023255814,-1.78571428571429
2,660,31250,7404,0,475,0,5,121,0,6.50224215246637,10
2,670,31250,6592,0,415,0,8,102,0,-12.6315789473684,-15.702479338843
2,680,31250,8149,0,407,0,9,116,0,-1.92771084337349,13.7254901960784
2,690,31250,8761,0,407,0,8,115,0,0,-0.862068965517241
2,700,31250,8541,0,418,0,12,114,0,2.7027027027027,-0.869565217391304
2,710,31250,7881,0,428,0,5,101,0,2.39234449760766,-11.4035087719298
2,720,31250,8089,0,401,0,2,85,0,-6.30841121495327,-15.8415841584158
2,730,31250,8546,0,485,0,6,84,0,20.9476309226933,-1.17647058823529
2,740,31250,5647,0,448,0,8,100,0,-7.62886597938144,19.047619047619
2,750,31250,7473,0,450,0,10,105,0,0.446428571428571,5
2,760,31250,7270,0,453,0,11,108,0,0.666666666666667,2.85714285714286
2,770,31250,7218,0,423,0,9,113,0,-6.62251655629139,4.62962962962963
2,780,31250,8007,0,416,0,8,116,0,-1.6548463356974,2.65486725663717
2,790,31250,8685,0,427,0,3,102,0,2.64423076923077,-12.0689655172414
2,800,31250,7962,0,447,0,6,94,0,4.68384074941452,-7.84313725490196
2,810,31250,6664,0,444,0,8,93,0,-0.671140939597315,-1.06382978723404
2,820,31250,7053,0,445,0,7,113,0,0.225225225225225,21.505376344086
2,830,31250,7292,0,479,0,16,96,0,7.64044943820225,-15.0442477876106
2,840,31250,6035,0,449,0,11,107,0,-6.26304801670146,11.4583333333333
2,850,31250,7810,0,461,0,2,104,0,2.67260579064588,-2.80373831775701
2,860,31250,7021,0,410,0,10,112,0,-11.0629067245119,7.69230769230769
2,870,31250,8327,0,403,0,11,125,0,-1.70731707317073,11.6071428571429
2,880,31250,8944,0,442,0,9,113,0,9.67741935483871,-9.6
2,890,31250,7745,0,407,0,7,126,0,-7.9185520361991,11.5044247787611
2,900,31250,9166,0,389,0,6,134,0,-4.42260442260442,6.34920634920635
2,910,31250,9798,0,428,0,11,128,0,10.025706940874,-4.47761194029851
2,920,31250,8492,0,377,0,9,148,0,-11.9158878504673,15.625
2,930,31250,10907,0,381,0,11,147,0,1.06100795755968,-0.675675675675676
2,940,31250,10803,0,360,0,9,137,0,-5.51181102362205,-6.80272108843537
2,950,31250,11525,0,380,0,10,137,0,5.55555555555556,0
2,960,31250,9841,0,391,0,13,126,0,2.89473684210526,-8.02919708029197
2,970,31250,9875,0,368,0,13,129,0,-5.88235294117647,2.38095238095238
2,980,31250,10128,0,438,0,7,134,0,19.0217391304348,3.87596899224806
2,990,31250,7872,0,383,0,8,121,0,-12.5570776255708,-9.70149253731343
2,1000,31250,10241,0,406,0,8,128,0,6.00522193211488,5.78512396694215
3,0,31250,31250,0,25,0,0,0,0,0,0
3,10,31250,29444,0,24,0,0,0,0,-4,0
3,20,31250,29462,0,54,0,0,0,0,125,0
3,30,31250,27003,0,113,0,0,0,0,109.259259259259,0
3,40,31250,22960,0,219,0,0,0,0,93.8053097345133,0
3,50,31250,15696,0,376,0,0,0,0,71.689497716895,0
3,60,31250,8332,0,482,0,0,0,0,28.1914893617021,0
3,70,31250,5077,0,527,0,0,0,0,9.33609958506224,0
3,80,31250,3746,0,523,0,0,0,0,-0.759013282732448,0
