"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29407.95,29385.15,29428.45,0,0,0,26.7,25.45,28.1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,1.6,12.4,0,0,0
20,20,31250,31250,31250,29246.25,29132.75,29349.25,0,0,0,59.5,56.5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,125.76202096844,111.26551662737,141.631644305567,0,0,0
30,20,31250,31250,31250,26762.9,26527.1,26984.85,0,0,0,107.1,101.65,113.4,0,0,0,0,0,0,0,0,0,0,0,0,81.0048560217835,71.6972738593858,90.6646574182873,0,0,0
40,20,31250,31250,31250,23296.75,22839.25,23683.65,0,0,0,195.45,184.55,206.2,0,0,0,0,0,0,0,0,0,0,0,0,83.2194198899192,76.1042136586321,90.4915197269098,0,0,0
50,20,31250,31250,31250,17396.8,16765.1,18032.95,0,0,0,337.25,324.2,352.1,0,0,0,0,0,0,0,0,0,0,0,0,74.0732085858756,66.5785023332533,81.3051246525954,0,0,0
60,20,31250,31250,31250,10016.55,9389,10606.3,0,0,0,459.55,443.3,474.4,0,0,0,0,0,0,0,0,0,0,0,0,36.869626303432,32.1656871632146,41.4196351170931,0,0,0
70,20,31250,31250,31250,5748.75,5243.85,6236.6,0,0,0,520.7,511.35,530.6,0,0,0,0,0,0,0,0,0,0,0,0,14.0914991965981,9.44352674987367,19.1062374644165,0,0,0
80,20,31250,31250,31250,4105.2,3895.4,4315.75,0,0,0,522.6,508.6,535.55,0,0,0,0,0,0,0,0,0,0,0,0,0.726316723195622,-3.7065968972816,4.5431456357896,0,0,0
90,20,31250,31250,31250,3963.6,3651.2,4272.25,0,0,0,536.4,527.15,545.5,0,0,0,0,0,0,0,0,0,0,0,0,3.09032153577867,-0.513872999406913,6.73706995371723,0,0,0
100,20,31250,31250,31250,3828.55,3645.45,4006.3,0,0,0,539.5,529.45,549.6,0,0,0,0,0,0,0,0,0,0,0,0,0.837001988871935,-2.3735517454158,3.95651482412912,0,0,0
110,20,31250,31250,31250,3704.35,3523.75,3884.4,0,0,0,532.15,521.55,543.8,0,0,0,0,0,0,0,0,0,0,0,0,-1.06250842907469,-4.60977478466417,2.75912338757656,0,0,0
120,20,31250,31250,31250,3838.2,3570.95,4077.35,0,0,0,537.8,527.3,550.65,0,0,0,0,0,0,0,0,0,0,0,0,1.36657416844342,-2.04452609558786,5.07302489503486,0,0,0
