"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29390.2,29359.7,29422.4,0,0,0,25.25,24.6,25.95,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4,3.6,0,0,0
20,20,31250,31250,31250,29358.35,29302.45,29408.9,0,0,0,36.3,34.15,38.45,0,0,0,0,0,0,0,0,0,0,0,0,43.8396475907346,35.9300286669852,52.0603674505848,0,0,0
30,20,31250,31250,31250,28523.15,28346.8,28692.7,0,0,0,52.3,49.75,55.15,0,0,0,0,0,0,0,0,0,0,0,0,44.8284386198048,39.6364842398499,50.0350460741955,0,0,0
40,20,31250,31250,31250,27354.1,27152.1,27553.2,0,0,0,77,72.3,81.55,0,0,0,0,0,0,0,0,0,0,0,0,47.3207002804076,42.6916541813564,51.1916376961397,0,0,0
50,20,31250,31250,31250,25475.9,25105.45,25822.95,0,0,0,105.5,100.1,110.9,0,0,0,0,0,0,0,0,0,0,0,0,37.490001008657,33.7490694238871,41.2150832412407,0,0,0
60,20,31250,31250,31250,23386.2,23019.7,23776.4,0,0,0,151.25,143.95,158.85,0,0,0,0,0,0,0,0,0,0,0,0,43.584613909099,40.7472337865987,46.7160884166021,0,0,0
70,20,31250,31250,31250,20267.15,19715.9,20776.45,0,0,0,208.15,197.5,218.1,0,0,0,0,0,0,0,0,0,0,0,0,37.869390904361,34.5895513746063,41.012562328729,0,0,0
80,20,31250,31250,31250,16546.85,15975.75,17148.95,0,0,0,285.65,271.8,296.85,0,0,0,0,0,0,0,0,0,0,0,0,37.5765535119105,34.759633518968,40.4564631962492,0,0,0
90,20,31250,31250,31250,12408.15,11766.2,13016.75,0,0,0,360.95,346.95,373.5,0,0,0,0,0,0,0,0,0,0,0,0,26.7462042704169,24.1848232910564,29.6049064005367,0,0,0
100,20,31250,31250,31250,8945.5,8429.45,9519.35,0,0,0,434.3,424,444.05,0,0,0,0,0,0,0,0,0,0,0,0,20.7164026851974,18.1989068902643,23.1955870225166,0,0,0
