"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29398.4,29371,29425.45,0,0,0,25.85,24.9,26.75,0,0,0,0,0,0,0,0,0,0,0,0,3.4,-0.6,7.2,0,0,0
20,20,31250,31250,31250,29302.6,29228.05,29380.1,0,0,0,36.75,34.5,38.65,0,0,0,0,0,0,0,0,0,0,0,0,42.2216143523865,35.7959298045505,48.7202426564496,0,0,0
30,20,31250,31250,31250,28472.6,28307.05,28645.95,0,0,0,53.75,50.55,56.65,0,0,0,0,0,0,0,0,0,0,0,0,46.840688896918,41.7094300562669,52.0355581160265,0,0,0
40,20,31250,31250,31250,27264.35,27062.15,27479.15,0,0,0,72.6,68.55,76.7,0,0,0,0,0,0,0,0,0,0,0,0,35.2847278191905,30.8418237616922,39.4135617996268,0,0,0
50,20,31250,31250,31250,25830.25,25541.2,26150.4,0,0,0,104.9,98.95,110.65,0,0,0,0,0,0,0,0,0,0,0,0,44.9189154703763,40.9127519972728,48.9772282939239,0,0,0
60,20,31250,31250,31250,23464.85,23021.8,23896.45,0,0,0,150.35,142.45,157.95,0,0,0,0,0,0,0,0,0,0,0,0,43.5877632683729,40.8264185691901,46.3861962430339,0,0,0
70,20,31250,31250,31250,20295.45,19741.9,20866.2,0,0,0,207.6,195.4,218.05,0,0,0,0,0,0,0,0,0,0,0,0,38.12136360782,35.237019478803,41.1195579422673,0,0,0
80,20,31250,31250,31250,16625.35,15936.1,17329.35,0,0,0,282.85,268.3,294.5,0,0,0,0,0,0,0,0,0,0,0,0,36.8706554409896,33.5575268618932,40.261501841357,0,0,0
90,20,31250,31250,31250,12389.95,11802.1,13091.9,0,0,0,364,349.15,377.05,0,0,0,0,0,0,0,0,0,0,0,0,29.0712139470146,26.1438627166005,31.9950604855033,0,0,0
100,20,31250,31250,31250,8795.95,8234.6,9353.3,0,0,0,436.6,424.35,447.85,0,0,0,0,0,0,0,0,0,0,0,0,20.3127187857696,18.084180790526,22.3583353522983,0,0,0
110,20,31250,31250,31250,6270.7,5896.8,6712.7,0,0,0,477.7,469.9,484.2,0,0,0,0,0,0,0,0,0,0,0,0,9.70073266039319,7.51130508797684,12.1864885084328,0,0,0
120,20,31250,31250,31250,5112.25,4870.45,5348.7,0,0,0,493.5,485.55,500.65,0,0,0,0,0,0,0,0,0,0,0,0,3.39152305245623,1.47697276573715,5.34937065440991,0,0,0
130,20,31250,31250,31250,4676.45,4505.1,4857.9,0,0,0,504.7,499.4,509.85,0,0,0,0,0,0,0,0,0,0,0,0,2.38247794944128,0.614575358412641,4.08577222396294,0,0,0
140,20,31250,31250,31250,4432.7,4303.3,4581.4,0,0,0,503.8,496.95,510.05,0,0,0,0,0,0,0,0,0,0,0,0,-0.106324432560971,-1.85239557674299,1.70903902898443,0,0,0
150,20,31250,31250,31250,4424.4,4238.35,4596.85,0,0,0,504.4,498.3,510.45,0,0,0,0,0,0,0,0,0,0,0,0,0.197015981307869,-1.44968342594845,1.92806545074897,0,0,0
160,20,31250,31250,31250,4401.3,4242.55,4565.8,0,0,0,508.1,501.3,516.2,0,0,0,0,0,0,0,0,0,0,0,0,0.836412131003853,-1.48400334725431,2.79263463656151,0,0,0
170,20,31250,31250,31250,4342.6,4139.05,4538.3,0,0,0,507.1,501,513.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0581433644207354,-2.35259701065581,2.09109893327156,0,0,0
180,20,31250,31250,31250,4398.95,4220.65,4596.9,0,0,0,504.05,499.2,508.4,0,0,0,0,0,0,0,0,0,0,0,0,-0.557376958503955,-1.70146559281089,0.572645437917867,0,0,0
190,20,31250,31250,31250,4572.05,4442.8,4729.55,0,0,0,499.2,494.55,503.95,0,0,0,0,0,0,0,0,0,0,0,0,-0.906085879037956,-2.23821538198127,0.471601991724917,0,0,0
200,20,31250,31250,31250,4655.65,4483.05,4807.05,0,0,0,503.8,498.5,509.45,0,0,0,0,0,0,0,0,0,0,0,0,0.957522187098674,-0.448253943425537,2.27921230355327,0,0,0
210,20,31250,31250,31250,5440.25,5252.4,5636.7,0,0,0,446.25,440.3,452.8,0,0,0,1.8,1.3,2.3,48.5,46.15,50.9,0,0,0,-11.3701447704264,-12.8744408660121,-9.92584424437536,0,0,0
220,20,31250,31250,31250,7805,7495.6,8084.55,0,0,0,386.65,378.35,394.95,0,0,0,3.6,2.7,4.5,93.8,88.65,99.1,0,0,0,-13.3267690456234,-15.1363451814438,-11.6632740381565,93.3876193992934,87.8077543873152,98.9799127610031
230,20,31250,31250,31250,12322,11758.35,12913.7,0,0,0,262.55,246.05,278.05,0,0,0,7.5,6.65,8.35,175.85,165.05,187.25,0,0,0,-32.2848162593785,-35.742449043997,-29.2548835184806,87.6225454555578,82.8550641742159,92.4761320078707
240,20,31250,31250,31250,21317.4,20268,22360.4,0,0,0,73.35,59.95,86,0,0,0,7.5,5.9,8.9,247.6,241.75,253.25,0,0,0,-73.1400864266297,-76.8208807701629,-69.3403733722521,42.9764108275929,34.6459079142231,50.1649479505371
250,20,31250,31250,31250,29119.8,28642.6,29544.5,0,0,0,5.9,3.85,8.1,0,0,0,1.9,1.3,2.45,150.9,133.85,166.35,0,0,0,-92.6993302575281,-94.8146142717198,-90.2336982072857,-38.5448790045337,-45.7074655659633,-31.4158952256092
260,20,31250,31250,31250,31048.75,30975.8,31112.85,0,0,0,1,0.5,1.6,0,0,0,0.25,0.05,0.45,26.8,20.8,32.8,0,0,0,-73.3729522111875,-88.0752695017401,-57.1843434343434,-83.1009760567096,-85.7068283695787,-80.4603657014009
