"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,29351,0,25,0,0,0,0,0,0
1,20,31250,29414,0,32,0,0,0,0,28,0
1,30,31250,28740,0,49,0,0,0,0,53.125,0
1,40,31250,27668,0,61,0,0,0,0,24.4897959183673,0
1,50,31250,26659,0,99,0,0,0,0,62.2950819672131,0
1,60,31250,23942,0,127,0,0,0,0,28.2828282828283,0
1,70,31250,21436,0,199,0,0,0,0,56.6929133858268,0
1,80,31250,17089,0,295,0,0,0,0,48.2412060301508,0
1,90,31250,11521,0,352,0,0,0,0,19.3220338983051,0
1,100,31250,8731,0,473,0,0,0,0,34.375,0
1,110,31250,4664,0,489,0,0,0,0,3.38266384778013,0
1,120,31250,4831,0,513,0,0,0,0,4.9079754601227,0
1,130,31250,4484,0,508,0,0,0,0,-0.974658869395711,0
1,140,31250,4267,0,498,0,0,0,0,-1.96850393700787,0
1,150,31250,4821,0,482,0,0,0,0,-3.21285140562249,0
1,160,31250,5116,0,503,0,0,0,0,4.35684647302905,0
1,170,31250,4430,0,497,0,0,0,0,-1.19284294234592,0
1,180,31250,4752,0,496,0,0,0,0,-0.201207243460765,0
1,190,31250,4860,0,513,0,0,0,0,3.42741935483871,0
1,200,31250,4638,0,494,0,0,0,0,-3.7037037037037,0
1,210,31250,5283,0,472,0,6,37,0,-4.45344129554656,0
1,220,31250,6029,0,436,0,4,69,0,-7.6271186440678,86.4864864864865
1,230,31250,8860,0,353,0,3,102,0,-19.0366972477064,47.8260869565217
1,240,31250,13261,0,254,0,10,165,0,-28.0453257790368,61.7647058823529
1,250,31250,19204,0,122,0,7,209,0,-51.9685039370079,26.6666666666667
1,260,31250,26201,0,35,0,3,140,0,-71.3114754098361,-33.0143540669856
1,270,31250,29553,0,21,0,1,44,0,-40,-68.5714285714286
1,280,31250,30029,0,13,0,0,8,0,-38.0952380952381,-81.8181818181818
