timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,29333,0,25,0,0,0
20,31250,29379,0,37,0,0,0
30,31250,28580,0,53,0,0,0
40,31250,27313,0,85,0,0,0
50,31250,24993,0,101,0,0,0
60,31250,23900,0,149,0,0,0
70,31250,20444,0,213,0,0,0
80,31250,16176,0,292,0,0,0
90,31250,11589,0,390,0,0,0
100,31250,8132,0,442,0,0,0
110,31250,5880,0,473,0,0,0
120,31250,5401,0,478,0,0,0
130,31250,5283,0,511,0,0,0
140,31250,4415,0,491,0,0,0
150,31250,4981,0,519,0,0,0
160,31250,3757,0,500,0,0,0
170,31250,4657,0,503,0,0,0
180,31250,4476,0,535,0,0,0
190,31250,3598,0,494,0,0,0
200,31250,4255,0,538,0,0,0
210,31250,4121,0,464,0,6,36
220,31250,6339,0,426,0,3,58
230,31250,8218,0,375,0,6,84
240,31250,10377,0,318,0,6,143
250,31250,14922,0,211,0,9,181
260,31250,20693,0,96,0,14,169
270,31250,26060,0,75,0,4,79
280,31250,26811,0,56,0,2,45
290,31250,27565,0,51,0,1,21
300,31250,27770,0,55,0,1,12
310,31250,27333,0,74,0,0,5
320,31250,25964,0,96,0,0,2
330,31250,24032,0,134,0,0,2
340,31250,21381,0,186,0,0,0
350,31250,17951,0,253,0,0,0
360,31250,13508,0,354,0,0,0
370,31250,8968,0,443,0,0,0
380,31250,5825,0,470,0,0,0
390,31250,5139,0,480,0,0,0
400,31250,4905,0,518,0,0,0
410,31250,4123,0,522,0,0,0
420,31250,3747,0,520,0,0,0
430,31250,4771,0,477,0,0,0
440,31250,5001,0,478,0,0,0
450,31250,5009,0,491,0,0,0
460,31250,4876,0,508,0,0,0
470,31250,4430,0,487,0,0,0
480,31250,4684,0,507,0,0,0
490,31250,4363,0,513,0,0,0
500,31250,4241,0,513,0,0,0
510,31250,3872,0,516,0,0,0
520,31250,3975,0,501,0,0,0
530,31250,4433,0,497,0,0,0
540,31250,5024,0,503,0,0,0
550,31250,4786,0,500,0,0,0
560,31250,4534,0,493,0,0,0
570,31250,4796,0,509,0,0,0
580,31250,4461,0,515,0,0,0
590,31250,3975,0,514,0,0,0
600,31250,4780,0,473,0,0,0
610,31250,5529,0,500,0,0,0
620,31250,4618,0,492,0,0,0
630,31250,5193,0,472,0,0,0
640,31250,5151,0,501,0,0,0
650,31250,5194,0,486,0,0,0
660,31250,5525,0,477,0,0,0
670,31250,4901,0,517,0,0,0
680,31250,3789,0,485,0,0,0
690,31250,4353,0,538,0,0,0
700,31250,3674,0,512,0,0,0
710,31250,4455,0,502,0,0,0
720,31250,4085,0,488,0,0,0
730,31250,4913,0,498,0,0,0
740,31250,4111,0,502,0,0,0
750,31250,4599,0,520,0,0,0
760,31250,4245,0,504,0,0,0
770,31250,4595,0,489,0,0,0
780,31250,4666,0,493,0,0,0
790,31250,4479,0,499,0,0,0
800,31250,4885,0,497,0,0,0
810,31250,4774,0,502,0,0,0
820,31250,4955,0,493,0,0,0
830,31250,4992,0,494,0,0,0
840,31250,4826,0,490,0,0,0
850,31250,4824,0,518,0,0,0
860,31250,4289,0,503,0,0,0
870,31250,4688,0,478,0,0,0
880,31250,5519,0,479,0,0,0
890,31250,5326,0,506,0,0,0
900,31250,4355,0,517,0,0,0
910,31250,3901,0,492,0,0,0
920,31250,4932,0,509,0,0,0
930,31250,4714,0,495,0,0,0
940,31250,4667,0,473,0,0,0
950,31250,4820,0,510,0,0,0
960,31250,4039,0,512,0,0,0
970,31250,4416,0,517,0,0,0
980,31250,4598,0,491,0,0,0
990,31250,4627,0,515,0,0,0
1000,31250,4132,0,502,0,0,0
