timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,29436,0,23,0,0,0
20,31250,29369,0,48,0,0,0
30,31250,27589,0,61,0,0,0
40,31250,26596,0,98,0,0,0
50,31250,23932,0,129,0,0,0
60,31250,21684,0,205,0,0,0
70,31250,16502,0,264,0,0,0
80,31250,13546,0,368,0,0,0
90,31250,8921,0,414,0,0,0
100,31250,7064,0,468,0,0,0
110,31250,5245,0,496,0,0,0
120,31250,4604,0,501,0,0,0
130,31250,4582,0,496,0,0,0
140,31250,4604,0,500,0,0,0
150,31250,4224,0,532,0,0,0
160,31250,3758,0,508,0,0,0
170,31250,4082,0,515,0,0,0
180,31250,4033,0,517,0,0,0
190,31250,4114,0,505,0,0,0
200,31250,4216,0,514,0,0,0
210,31250,5538,0,453,0,0,54
220,31250,8205,0,378,0,3,113
230,31250,13533,0,231,0,12,209
240,31250,23801,0,31,0,8,271
250,31250,30626,0,3,0,0,100
260,31250,31166,0,2,0,0,16
270,31250,31063,0,5,0,0,1
280,31250,30827,0,6,0,0,0
290,31250,30787,0,8,0,0,0
300,31250,30626,0,11,0,0,0
310,31250,30392,0,17,0,0,0
320,31250,29922,0,30,0,0,0
330,31250,28980,0,37,0,0,0
340,31250,28491,0,53,0,0,0
350,31250,27098,0,73,0,0,0
360,31250,25833,0,111,0,0,0
370,31250,23142,0,151,0,0,0
380,31250,20216,0,199,0,0,0
390,31250,16905,0,280,0,0,0
400,31250,12043,0,366,0,0,0
410,31250,8781,0,434,0,0,0
420,31250,6532,0,466,0,0,0
430,31250,6049,0,491,0,0,0
440,31250,4826,0,492,0,0,0
450,31250,4785,0,503,0,0,0
460,31250,4867,0,529,0,0,0
470,31250,3623,0,506,0,0,0
480,31250,3800,0,518,0,0,0
490,31250,4153,0,508,0,0,0
500,31250,4592,0,504,0,0,0
510,31250,4765,0,492,0,0,0
520,31250,4806,0,498,0,0,0
530,31250,4303,0,509,0,0,0
540,31250,3940,0,509,0,0,0
550,31250,4502,0,508,0,0,0
560,31250,4647,0,476,0,0,0
570,31250,5121,0,500,0,0,0
580,31250,4488,0,499,0,0,0
590,31250,4963,0,524,0,0,0
600,31250,3813,0,487,0,0,0
610,31250,5019,0,491,0,0,0
620,31250,4784,0,509,0,0,0
630,31250,4386,0,501,0,0,0
640,31250,4588,0,508,0,0,0
650,31250,4115,0,495,0,0,0
660,31250,4347,0,530,0,0,0
670,31250,3975,0,490,0,0,0
680,31250,4720,0,501,0,0,0
690,31250,4585,0,517,0,0,0
700,31250,4370,0,500,0,0,0
710,31250,4875,0,488,0,0,0
720,31250,5199,0,486,0,0,0
730,31250,5004,0,486,0,0,0
740,31250,4397,0,540,0,0,0
750,31250,3166,0,518,0,0,0
760,31250,3746,0,511,0,0,0
770,31250,3963,0,503,0,0,0
780,31250,4609,0,503,0,0,0
790,31250,4541,0,504,0,0,0
800,31250,4539,0,500,0,0,0
810,31250,4669,0,488,0,0,0
820,31250,4950,0,505,0,0,0
830,31250,5106,0,481,0,0,0
840,31250,5431,0,475,0,0,0
850,31250,4997,0,511,0,0,0
860,31250,4365,0,497,0,0,0
870,31250,4907,0,481,0,0,0
880,31250,5071,0,504,0,0,0
890,31250,4043,0,517,0,0,0
900,31250,3834,0,519,0,0,0
910,31250,4307,0,483,0,0,0
920,31250,5074,0,513,0,0,0
930,31250,4495,0,491,0,0,0
940,31250,4742,0,513,0,0,0
950,31250,4406,0,512,0,0,0
960,31250,4267,0,510,0,0,0
970,31250,4368,0,498,0,0,0
980,31250,4308,0,535,0,0,0
990,31250,4153,0,484,0,0,0
1000,31250,5111,0,492,0,0,0
