"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29373,29336.2,29406.05,0,0,0,25.8,25,26.7,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,6.8,0,0,0
20,20,31250,31250,31250,29306.6,29240.1,29372.8,0,0,0,39.1,36.95,41.35,0,0,0,0,0,0,0,0,0,0,0,0,52.4505226019469,42.9441433129589,63.453870927784,0,0,0
30,20,31250,31250,31250,28308.65,28152.55,28457.45,0,0,0,54.65,52,57.3,0,0,0,0,0,0,0,0,0,0,0,0,40.3799938872138,36.0995130820612,44.3502918864761,0,0,0
40,20,31250,31250,31250,27141.25,26926.75,27332.8,0,0,0,78.4,73.35,83.3,0,0,0,0,0,0,0,0,0,0,0,0,43.329033172242,38.8407594410813,47.9189902171675,0,0,0
50,20,31250,31250,31250,25409.1,24989.1,25757.55,0,0,0,109,103,115.15,0,0,0,0,0,0,0,0,0,0,0,0,39.5303193083225,35.4535368929272,43.514920803331,0,0,0
60,20,31250,31250,31250,23155.95,22726.65,23612.35,0,0,0,157.3,147.2,167.2,0,0,0,0,0,0,0,0,0,0,0,0,44.2875735618479,40.5992225539529,48.0111539533805,0,0,0
70,20,31250,31250,31250,19781.1,19103.25,20432.3,0,0,0,217.7,206.95,229.9,0,0,0,0,0,0,0,0,0,0,0,0,39.0534952873797,35.5867392352268,42.470059461545,0,0,0
80,20,31250,31250,31250,16025.15,15291,16649.25,0,0,0,297.1,283.55,312.05,0,0,0,0,0,0,0,0,0,0,0,0,36.8017669586205,33.8552779604662,39.7024270668233,0,0,0
90,20,31250,31250,31250,11788.75,11135.4,12507.3,0,0,0,377.4,363.85,390.25,0,0,0,0,0,0,0,0,0,0,0,0,27.5061648761775,24.5446973947782,30.2904422857665,0,0,0
100,20,31250,31250,31250,8295.1,7766.25,8904.7,0,0,0,441.9,431.35,451.35,0,0,0,0,0,0,0,0,0,0,0,0,17.462136248539,15.282678636945,19.9430330491989,0,0,0
110,20,31250,31250,31250,6130,5803.8,6450.05,0,0,0,485.2,478.4,492.15,0,0,0,0,0,0,0,0,0,0,0,0,9.97836577177847,8.07463143982876,12.0000229613803,0,0,0
120,20,31250,31250,31250,5003.45,4811.75,5190.9,0,0,0,499.9,492.7,507.15,0,0,0,0,0,0,0,0,0,0,0,0,3.18652252839939,0.668146379412883,5.30891935680192,0,0,0
130,20,31250,31250,31250,4676.1,4483.65,4879.7,0,0,0,497.25,491.85,502.75,0,0,0,0,0,0,0,0,0,0,0,0,-0.449470250389045,-2.1241512391469,1.01791445841569,0,0,0
140,20,31250,31250,31250,4613.15,4422.65,4787.15,0,0,0,498.7,493.6,503.7,0,0,0,0,0,0,0,0,0,0,0,0,0.359260918991616,-1.13166817715862,1.87364684699253,0,0,0
150,20,31250,31250,31250,4497.7,4371,4647.2,0,0,0,508.45,502.8,514.35,0,0,0,0,0,0,0,0,0,0,0,0,2.02089209472373,0.256829046768923,3.60109182578701,0,0,0
160,20,31250,31250,31250,4333.9,4150.45,4508.65,0,0,0,506.5,499.95,512.85,0,0,0,0,0,0,0,0,0,0,0,0,-0.323209343957735,-1.81692416659306,1.22977552840218,0,0,0
170,20,31250,31250,31250,4454.2,4265.15,4636.25,0,0,0,505.05,500.45,509.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.216750959711447,-1.61708311939308,1.07451284976905,0,0,0
180,20,31250,31250,31250,4414.75,4253.85,4571.95,0,0,0,503.45,497.5,509.5,0,0,0,0,0,0,0,0,0,0,0,0,-0.268955399677347,-1.82855257860927,1.22676014063312,0,0,0
190,20,31250,31250,31250,4561.2,4379.55,4740.2,0,0,0,497.4,491.1,502.35,0,0,0,0,0,0,0,0,0,0,0,0,-1.1391386914179,-2.6508772694469,0.270260322635344,0,0,0
200,20,31250,31250,31250,4646.1,4526.95,4762.25,0,0,0,502.1,495.55,507.85,0,0,0,0,0,0,0,0,0,0,0,0,1.02918003436705,-0.915383622272016,3.1201258679181,0,0,0
210,20,31250,31250,31250,5578,5360.2,5746.4,0,0,0,446.3,441.45,451.95,0,0,0,1.5,1.05,1.95,52.35,49.45,55.35,0,0,0,-11.059690885506,-12.3297168459267,-9.8147658057875,0,0,0
220,20,31250,31250,31250,8290.65,8092,8511.75,0,0,0,375.15,365.6,385.1,0,0,0,2.4,1.7,3.2,101.5,95.55,107.15,0,0,0,-15.8960057166333,-18.3613318861919,-13.6530748268896,94.1927875837406,88.9321057588776,99.3351788129956
230,20,31250,31250,31250,13390.9,12691.65,14095.2,0,0,0,235.45,217,252.7,0,0,0,8.25,7.2,9.25,186.4,177.05,195.2,0,0,0,-37.5472594307516,-41.1039550410699,-33.934094904447,84.3365802569556,80.3394289703265,88.323422264727
240,20,31250,31250,31250,23079.35,22135.1,23979.5,0,0,0,49.15,37.3,61.4,0,0,0,5.75,4.7,6.8,260.8,255.25,266.85,0,0,0,-80.3652880738328,-84.1580552454493,-76.2723738900222,41.5777374310434,34.3247731098345,48.8101032773479
