"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,29471,0,27,0,0,0,0,8,0
1,20,31250,29387,0,34,0,0,0,0,25.9259259259259,0
1,30,31250,28773,0,47,0,0,0,0,38.2352941176471,0
1,40,31250,27647,0,70,0,0,0,0,48.936170212766,0
1,50,31250,25949,0,91,0,0,0,0,30,0
1,60,31250,24488,0,137,0,0,0,0,50.5494505494505,0
1,70,31250,21095,0,180,0,0,0,0,31.3868613138686,0
1,80,31250,18419,0,257,0,0,0,0,42.7777777777778,0
1,90,31250,13864,0,356,0,0,0,0,38.5214007782101,0
1,100,31250,8909,0,422,0,0,0,0,18.5393258426966,0
1,110,31250,6731,0,478,0,0,0,0,13.2701421800948,0
1,120,31250,5407,0,464,0,0,0,0,-2.92887029288703,0
1,130,31250,5359,0,492,0,0,0,0,6.03448275862069,0
1,140,31250,4631,0,523,0,0,0,0,6.30081300813008,0
1,150,31250,4117,0,495,0,0,0,0,-5.35372848948375,0
1,160,31250,4420,0,515,0,0,0,0,4.04040404040404,0
1,170,31250,4323,0,506,0,0,0,0,-1.74757281553398,0
1,180,31250,4551,0,496,0,0,0,0,-1.97628458498024,0
1,190,31250,4435,0,520,0,0,0,0,4.83870967741935,0
1,200,31250,3904,0,506,0,0,0,0,-2.69230769230769,0
1,210,31250,5187,0,443,0,1,50,0,-12.4505928853755,0
1,220,31250,7878,0,407,0,4,89,0,-8.12641083521445,78
1,230,31250,10983,0,274,0,8,183,0,-32.6781326781327,105.61797752809
1,240,31250,20639,0,84,0,8,255,0,-69.3430656934307,39.344262295082
1,250,31250,28414,0,17,0,3,152,0,-79.7619047619048,-40.3921568627451
1,260,31250,30649,0,4,0,1,36,0,-76.4705882352941,-76.3157894736842
1,270,31250,30978,0,3,0,1,3,0,-25,-91.6666666666667
1,280,31250,31061,0,5,0,0,0,0,66.6666666666667,-100
1,290,31250,30901,0,11,0,0,0,0,120,0
1,300,31250,30361,0,13,0,0,0,0,18.1818181818182,0
1,310,31250,30328,0,21,0,0,0,0,61.5384615384615,0
1,320,31250,29652,0,28,0,0,0,0,33.3333333333333,0
1,330,31250,29161,0,41,0,0,0,0,46.4285714285714,0
1,340,31250,28198,0,56,0,0,0,0,36.5853658536585,0
1,350,31250,27075,0,78,0,0,0,0,39.2857142857143,0
1,360,31250,25577,0,109,0,0,0,0,39.7435897435897,0
1,370,31250,23342,0,159,0,0,0,0,45.8715596330275,0
1,380,31250,19843,0,235,0,0,0,0,47.7987421383648,0
1,390,31250,15128,0,277,0,0,0,0,17.8723404255319,0
1,400,31250,12713,0,361,0,0,0,0,30.3249097472924,0
1,410,31250,8945,0,422,0,0,0,0,16.8975069252078,0
1,420,31250,6474,0,489,0,0,0,0,15.8767772511848,0
1,430,31250,4778,0,530,0,0,0,0,8.38445807770961,0
1,440,31250,4054,0,484,0,0,0,0,-8.67924528301887,0
1,450,31250,4987,0,458,0,0,0,0,-5.37190082644628,0
1,460,31250,5739,0,488,0,0,0,0,6.55021834061135,0
1,470,31250,5037,0,507,0,0,0,0,3.89344262295082,0
1,480,31250,4847,0,496,0,0,0,0,-2.16962524654832,0
1,490,31250,4473,0,482,0,0,0,0,-2.82258064516129,0
1,500,31250,4534,0,512,0,0,0,0,6.22406639004149,0
1,510,31250,3956,0,530,0,0,0,0,3.515625,0
1,520,31250,3594,0,523,0,0,0,0,-1.32075471698113,0
1,530,31250,3797,0,520,0,0,0,0,-0.573613766730402,0
1,540,31250,4129,0,489,0,0,0,0,-5.96153846153846,0
1,550,31250,4639,0,501,0,0,0,0,2.45398773006135,0
1,560,31250,4858,0,485,0,0,0,0,-3.1936127744511,0
1,570,31250,5235,0,508,0,0,0,0,4.74226804123711,0
1,580,31250,4579,0,481,0,0,0,0,-5.31496062992126,0
1,590,31250,4891,0,490,0,0,0,0,1.87110187110187,0
1,600,31250,4766,0,507,0,0,0,0,3.46938775510204,0
1,610,31250,4015,0,513,0,0,0,0,1.18343195266272,0
1,620,31250,4026,0,501,0,0,0,0,-2.33918128654971,0
1,630,31250,4522,0,501,0,0,0,0,0,0
1,640,31250,4212,0,497,0,0,0,0,-0.798403193612774,0
