"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29398.4,29372.15,29425.2,0,0,0,25.85,24.9,26.8,0,0,0,0,0,0,0,0,0,0,0,0,3.4,-0.2,7,0,0,0
20,20,31250,31250,31250,29302.6,29232.05,29378.2,0,0,0,36.75,34.75,38.6,0,0,0,0,0,0,0,0,0,0,0,0,42.2216143523865,36.0490793356236,48.5321371629093,0,0,0
30,20,31250,31250,31250,28472.6,28307.4,28636.9,0,0,0,53.75,50.75,56.6,0,0,0,0,0,0,0,0,0,0,0,0,46.840688896918,41.5028838212964,52.1541271544872,0,0,0
40,20,31250,31250,31250,27264.35,27057.35,27473.4,0,0,0,72.6,68.55,76.85,0,0,0,0,0,0,0,0,0,0,0,0,35.2847278191905,30.7866746929771,39.5580977769875,0,0,0
50,20,31250,31250,31250,25830.25,25519,26141.05,0,0,0,104.9,98.8,110.6,0,0,0,0,0,0,0,0,0,0,0,0,44.9189154703763,40.9244131704922,48.847899013582,0,0,0
60,20,31250,31250,31250,23464.85,23034.35,23889.55,0,0,0,150.35,142.7,157.3,0,0,0,0,0,0,0,0,0,0,0,0,43.5877632683729,40.6053615119269,46.4543709899344,0,0,0
70,20,31250,31250,31250,20295.45,19731.8,20861.8,0,0,0,207.6,196.25,219.55,0,0,0,0,0,0,0,0,0,0,0,0,38.12136360782,35.2439195632091,40.8562750773935,0,0,0
80,20,31250,31250,31250,16625.35,15962.75,17324.3,0,0,0,282.85,269.6,295.55,0,0,0,0,0,0,0,0,0,0,0,0,36.8706554409896,33.5397112794786,40.1664915469617,0,0,0
90,20,31250,31250,31250,12389.95,11783.75,13089.7,0,0,0,364,348.45,378.75,0,0,0,0,0,0,0,0,0,0,0,0,29.0712139470146,26.186554824567,32.0451323669057,0,0,0
100,20,31250,31250,31250,8795.95,8254.3,9363.85,0,0,0,436.6,423.5,447.2,0,0,0,0,0,0,0,0,0,0,0,0,20.3127187857696,18.0866584643144,22.5654221982736,0,0,0
110,20,31250,31250,31250,6270.7,5864,6752.5,0,0,0,477.7,470.4,484.6,0,0,0,0,0,0,0,0,0,0,0,0,9.70073266039319,7.48451468801002,11.9873725743464,0,0,0
120,20,31250,31250,31250,5112.25,4878.2,5344.7,0,0,0,493.5,486.1,501.05,0,0,0,0,0,0,0,0,0,0,0,0,3.39152305245623,1.52013172660478,5.24165572498141,0,0,0
130,20,31250,31250,31250,4676.45,4506.3,4848.1,0,0,0,504.7,499.05,510.25,0,0,0,0,0,0,0,0,0,0,0,0,2.38247794944128,0.487329114036842,4.17233236255166,0,0,0
140,20,31250,31250,31250,4432.7,4284.4,4586.35,0,0,0,503.8,497.3,510.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.106324432560971,-2.01236915057869,1.75331054775667,0,0,0
150,20,31250,31250,31250,4424.4,4250.5,4605.55,0,0,0,504.4,498.4,510.85,0,0,0,0,0,0,0,0,0,0,0,0,0.197015981307869,-1.25600122881054,1.93429761785663,0,0,0
160,20,31250,31250,31250,4401.3,4252.9,4559.3,0,0,0,508.1,500.85,515,0,0,0,0,0,0,0,0,0,0,0,0,0.836412131003853,-1.31247267012566,2.91122756101241,0,0,0
170,20,31250,31250,31250,4342.6,4144.25,4543.1,0,0,0,507.1,501.3,513.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.0581433644207354,-2.221855718967,2.07097712473406,0,0,0
180,20,31250,31250,31250,4398.95,4229.4,4581.75,0,0,0,504.05,499.35,508.25,0,0,0,0,0,0,0,0,0,0,0,0,-0.557376958503955,-1.56928270046173,0.459477218421634,0,0,0
190,20,31250,31250,31250,4572.05,4436.45,4736,0,0,0,499.2,495.1,503.25,0,0,0,0,0,0,0,0,0,0,0,0,-0.906085879037956,-2.38648812003396,0.474918219179208,0,0,0
200,20,31250,31250,31250,4655.65,4491.05,4804.85,0,0,0,503.8,498.35,509.45,0,0,0,0,0,0,0,0,0,0,0,0,0.957522187098674,-0.275287147018665,2.28554239023366,0,0,0
