"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29371.8,29342.55,29399.2,0,0,0,25.05,24.55,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.8,2.2,0,0,0
20,20,31250,31250,31250,29362.85,29323.65,29399.4,0,0,0,37.35,34.85,39.85,0,0,0,0,0,0,0,0,0,0,0,0,49.3058559395516,40.5542177629134,58.1082559147776,0,0,0
30,20,31250,31250,31250,28439.2,28250.4,28614.65,0,0,0,53.45,50.55,56.75,0,0,0,0,0,0,0,0,0,0,0,0,44.1672999540878,38.0349460784746,50.5041882431588,0,0,0
40,20,31250,31250,31250,27308.55,27076.85,27504.9,0,0,0,75.7,72.05,80.05,0,0,0,0,0,0,0,0,0,0,0,0,42.2477468489834,37.3567491086058,48.1908395563446,0,0,0
50,20,31250,31250,31250,25624.35,25301.85,25882.3,0,0,0,106.8,101.6,112.4,0,0,0,0,0,0,0,0,0,0,0,0,41.2972706333733,37.5982940151671,44.811305937415,0,0,0
60,20,31250,31250,31250,23362.1,22876.8,23793.85,0,0,0,150.55,142.6,159.15,0,0,0,0,0,0,0,0,0,0,0,0,41.1402574865381,37.9517311163623,44.3441800780891,0,0,0
70,20,31250,31250,31250,20333,19821.2,20850.25,0,0,0,209.65,199.8,221.65,0,0,0,0,0,0,0,0,0,0,0,0,39.620382833086,36.4243717012263,42.5548620927947,0,0,0
80,20,31250,31250,31250,16515.15,15787.55,17150.95,0,0,0,283.65,272.85,295.8,0,0,0,0,0,0,0,0,0,0,0,0,35.6800948757066,32.5454500404206,38.7565915469789,0,0,0
90,20,31250,31250,31250,12463.1,11817.2,13027.75,0,0,0,368.6,357,381.4,0,0,0,0,0,0,0,0,0,0,0,0,30.2388238460046,28.0672597400789,32.2152203727131,0,0,0
100,20,31250,31250,31250,8735.2,8261.9,9184.5,0,0,0,429.7,421.75,437.45,0,0,0,0,0,0,0,0,0,0,0,0,16.9609783498403,14.1833979429472,19.5255142434793,0,0,0
110,20,31250,31250,31250,6454.95,6160.05,6748.45,0,0,0,479.95,471.85,486.5,0,0,0,0,0,0,0,0,0,0,0,0,11.8404946914774,9.79643854319223,14.1268617794614,0,0,0
120,20,31250,31250,31250,5111.45,4894.8,5320.95,0,0,0,496.5,489.55,501.95,0,0,0,0,0,0,0,0,0,0,0,0,3.5542461380564,1.57725883121299,5.20528542947797,0,0,0
130,20,31250,31250,31250,4646.4,4434.95,4864.75,0,0,0,501.3,495.85,506.9,0,0,0,0,0,0,0,0,0,0,0,0,1.07577351509787,-0.769073264155482,3.03118936523785,0,0,0
140,20,31250,31250,31250,4563.15,4447.6,4675.95,0,0,0,502.3,497.85,506.9,0,0,0,0,0,0,0,0,0,0,0,0,0.262125217244402,-1.18989319780372,1.63514191417958,0,0,0
150,20,31250,31250,31250,4553.25,4372.3,4737.3,0,0,0,493.55,487.7,498.9,0,0,0,0,0,0,0,0,0,0,0,0,-1.69951278538876,-3.23429473121872,-0.184833531948593,0,0,0
160,20,31250,31250,31250,4703.3,4527.25,4883.95,0,0,0,504,497.3,510.4,0,0,0,0,0,0,0,0,0,0,0,0,2.17540690242793,0.574202879173589,3.78933130649613,0,0,0
170,20,31250,31250,31250,4501.1,4259.45,4713.9,0,0,0,499.1,492.1,506.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.918997305391465,-2.48191028797599,0.718055809874968,0,0,0
180,20,31250,31250,31250,4624.5,4462.3,4768.1,0,0,0,507.1,500.15,514.65,0,0,0,0,0,0,0,0,0,0,0,0,1.70016989398445,-0.247608452597785,3.58319142994659,0,0,0
190,20,31250,31250,31250,4399.75,4212.2,4585.2,0,0,0,499.7,493.85,505.95,0,0,0,0,0,0,0,0,0,0,0,0,-1.32896856919239,-3.64549430059321,0.735642669178342,0,0,0
200,20,31250,31250,31250,4616.1,4460.1,4756.2,0,0,0,504.85,499.7,510.15,0,0,0,0,0,0,0,0,0,0,0,0,1.07594183179771,-0.180970460469349,2.24725781906706,0,0,0
210,20,31250,31250,31250,4759.05,4609.05,4904.35,0,0,0,472.6,466.65,478.15,0,0,0,2.7,1.85,3.5,26.4,24.45,28.4,0,0,0,-6.33332802307575,-7.91746349604222,-4.87502265883275,0,0,0
220,20,31250,31250,31250,5500.1,5302.55,5679.7,0,0,0,469.1,462.4,476.15,0,0,0,2.4,1.75,3.05,27.45,24.15,30.85,0,0,0,-0.658305775152807,-2.5675276347067,1.25428564001556,3.50250705440459,-6.12929174978511,13.1816875934523
