"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29384.4,29358.7,29409.6,0,0,0,24.6,24.05,25.1,0,0,0,0,0,0,0,0,0,0,0,0,-1.6,-3.8,0.4,0,0,0
20,20,31250,31250,31250,29432.9,29393.3,29474.05,0,0,0,37.15,35.6,38.6,0,0,0,0,0,0,0,0,0,0,0,0,51.2026077384773,45.3230121730122,57.8609379750684,0,0,0
30,20,31250,31250,31250,28460.95,28338.6,28591.25,0,0,0,52.3,49.9,54.5,0,0,0,0,0,0,0,0,0,0,0,0,41.9721991470034,33.2227244165627,50.1524641958099,0,0,0
40,20,31250,31250,31250,27307.85,27130.7,27480.75,0,0,0,74.9,70.7,78.55,0,0,0,0,0,0,0,0,0,0,0,0,43.6118274363419,37.8660192063637,49.8288369186983,0,0,0
50,20,31250,31250,31250,25621.55,25365.35,25881.4,0,0,0,107.9,103.05,113.35,0,0,0,0,0,0,0,0,0,0,0,0,44.7100712077572,39.4254326134234,50.3888230103552,0,0,0
60,20,31250,31250,31250,23265.95,22857.45,23654.45,0,0,0,152.1,145.45,158.45,0,0,0,0,0,0,0,0,0,0,0,0,41.3028385216346,38.0881797164652,44.6922648115244,0,0,0
70,20,31250,31250,31250,20196.7,19770.4,20605.9,0,0,0,206.8,198.8,214.75,0,0,0,0,0,0,0,0,0,0,0,0,36.1865833314062,33.6363819886429,38.472400185704,0,0,0
80,20,31250,31250,31250,16661.4,16145.2,17155.05,0,0,0,286.7,277.65,296.65,0,0,0,0,0,0,0,0,0,0,0,0,38.9730436406454,35.9300095139556,41.8643969779589,0,0,0
90,20,31250,31250,31250,12299.1,11771.9,12789.1,0,0,0,369.3,358.55,379.05,0,0,0,0,0,0,0,0,0,0,0,0,29.0892996403322,26.4728123851815,31.9272466838435,0,0,0
100,20,31250,31250,31250,8575.65,8215.6,8973.15,0,0,0,435.35,427.25,443.1,0,0,0,0,0,0,0,0,0,0,0,0,18.1551460202144,15.845345264747,20.8147078227726,0,0,0
110,20,31250,31250,31250,6253.15,5981.5,6537.65,0,0,0,478.25,470.9,484.65,0,0,0,0,0,0,0,0,0,0,0,0,9.95200268224452,8.42002822529295,11.3278593094243,0,0,0
120,20,31250,31250,31250,5152.35,4923.6,5374.5,0,0,0,496.45,490.8,502.15,0,0,0,0,0,0,0,0,0,0,0,0,3.90612343304361,2.11421336952938,5.73114279139912,0,0,0
130,20,31250,31250,31250,4667.7,4480.8,4853.7,0,0,0,503.9,497.35,509.65,0,0,0,0,0,0,0,0,0,0,0,0,1.56686720282679,-0.00420181589865277,3.16278792729481,0,0,0
