timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,29368,0,27,0,0,0
20,31250,29231,0,36,0,0,0
30,31250,28517,0,52,0,0,0
40,31250,27350,0,67,0,0,0
50,31250,26107,0,108,0,0,0
60,31250,23168,0,136,0,0,0
70,31250,21269,0,198,0,0,0
80,31250,17126,0,265,0,0,0
90,31250,13444,0,364,0,0,0
100,31250,9142,0,416,0,0,0
110,31250,6981,0,448,0,0,0
120,31250,6140,0,489,0,0,0
130,31250,4205,0,532,0,0,0
140,31250,4187,0,504,0,0,0
150,31250,4370,0,493,0,0,0
160,31250,4623,0,495,0,0,0
170,31250,4177,0,503,0,0,0
180,31250,4343,0,536,0,0,0
190,31250,3833,0,482,0,0,0
200,31250,5053,0,490,0,0,0
210,31250,4914,0,460,0,4,25
220,31250,5947,0,461,0,5,37
230,31250,6229,0,464,0,1,42
240,31250,5637,0,446,0,2,38
250,31250,6276,0,452,0,3,41
260,31250,5501,0,477,0,7,45
270,31250,5422,0,471,0,3,58
280,31250,5338,0,465,0,6,69
290,31250,6020,0,418,0,9,66
300,31250,7178,0,405,0,6,73
310,31250,7713,0,407,0,7,70
320,31250,8353,0,384,0,6,74
330,31250,8719,0,397,0,3,66
340,31250,8573,0,400,0,4,55
350,31250,8499,0,394,0,8,52
360,31250,8794,0,407,0,4,52
370,31250,7872,0,439,0,6,43
380,31250,6659,0,422,0,3,45
390,31250,7090,0,441,0,6,46
400,31250,6456,0,424,0,3,51
410,31250,7512,0,445,0,1,57
420,31250,7001,0,419,0,8,53
430,31250,7446,0,434,0,7,50
440,31250,6752,0,428,0,3,55
450,31250,7717,0,407,0,6,69
460,31250,8100,0,402,0,12,76
470,31250,8166,0,389,0,6,79
480,31250,8827,0,381,0,6,79
490,31250,9580,0,357,0,7,80
500,31250,10461,0,356,0,6,81
510,31250,10214,0,377,0,5,72
520,31250,9219,0,370,0,3,77
530,31250,9736,0,379,0,3,75
540,31250,9385,0,369,0,9,77
550,31250,9407,0,398,0,6,67
560,31250,7949,0,403,0,8,71
570,31250,7915,0,381,0,7,63
580,31250,9048,0,395,0,7,76
590,31250,8841,0,393,0,6,77
600,31250,8358,0,406,0,4,75
610,31250,7924,0,395,0,2,73
620,31250,8638,0,380,0,7,80
630,31250,9177,0,369,0,6,83
640,31250,9934,0,368,0,9,96
650,31250,9689,0,346,0,8,88
660,31250,10765,0,344,0,11,77
670,31250,10668,0,354,0,6,72
680,31250,10057,0,383,0,5,64
690,31250,8851,0,389,0,2,60
700,31250,8369,0,412,0,5,60
710,31250,7449,0,398,0,9,52
720,31250,8320,0,430,0,5,66
730,31250,7030,0,391,0,8,79
740,31250,8818,0,408,0,7,86
750,31250,8148,0,393,0,5,90
760,31250,8907,0,326,0,7,105
770,31250,11702,0,354,0,8,90
780,31250,10331,0,322,0,3,78
790,31250,11628,0,346,0,2,71
800,31250,10665,0,357,0,3,73
810,31250,10004,0,361,0,7,77
820,31250,9778,0,344,0,10,71
830,31250,9754,0,373,0,4,63
840,31250,9164,0,401,0,7,60
850,31250,8004,0,445,0,3,51
860,31250,6605,0,435,0,3,63
870,31250,7022,0,414,0,6,71
880,31250,8322,0,410,0,6,71
890,31250,7739,0,413,0,6,78
900,31250,8391,0,374,0,6,73
910,31250,8793,0,399,0,3,68
920,31250,7976,0,393,0,5,72
930,31250,8381,0,393,0,7,77
940,31250,9089,0,376,0,2,72
950,31250,9809,0,404,0,11,75
960,31250,8764,0,395,0,7,63
970,31250,8531,0,383,0,5,72
980,31250,8615,0,402,0,6,69
990,31250,8313,0,368,0,4,75
1000,31250,10047,0,358,0,10,78
