"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,29368,0,24,0,0,0,0,-4,0
1,20,31250,29373,0,44,0,0,0,0,83.3333333333333,0
1,30,31250,27857,0,61,0,0,0,0,38.6363636363636,0
1,40,31250,26758,0,81,0,0,0,0,32.7868852459016,0
1,50,31250,25096,0,116,0,0,0,0,43.2098765432099,0
1,60,31250,22653,0,173,0,0,0,0,49.1379310344828,0
1,70,31250,18679,0,229,0,0,0,0,32.3699421965318,0
1,80,31250,15170,0,315,0,0,0,0,37.5545851528384,0
1,90,31250,11047,0,389,0,0,0,0,23.4920634920635,0
1,100,31250,8502,0,435,0,0,0,0,11.8251928020566,0
1,110,31250,5596,0,478,0,0,0,0,9.88505747126437,0
1,120,31250,4851,0,512,0,0,0,0,7.11297071129707,0
1,130,31250,4181,0,511,0,0,0,0,-0.1953125,0
1,140,31250,4289,0,497,0,0,0,0,-2.73972602739726,0
1,150,31250,5016,0,469,0,0,0,0,-5.63380281690141,0
1,160,31250,5392,0,490,0,0,0,0,4.47761194029851,0
1,170,31250,4639,0,495,0,0,0,0,1.02040816326531,0
1,180,31250,4673,0,513,0,0,0,0,3.63636363636364,0
1,190,31250,3970,0,528,0,0,0,0,2.92397660818713,0
1,200,31250,4014,0,513,0,0,0,0,-2.84090909090909,0
1,210,31250,4257,0,465,0,2,26,0,-9.35672514619883,0
1,220,31250,5336,0,475,0,0,24,0,2.1505376344086,-7.69230769230769
1,230,31250,5602,0,475,0,1,28,0,0,16.6666666666667
1,240,31250,6018,0,461,0,3,35,0,-2.94736842105263,25
1,250,31250,5644,0,459,0,2,33,0,-0.433839479392625,-5.71428571428571
1,260,31250,5474,0,475,0,3,37,0,3.48583877995643,12.1212121212121
1,270,31250,5477,0,452,0,3,44,0,-4.84210526315789,18.9189189189189
1,280,31250,6555,0,478,0,3,44,0,5.75221238938053,0
1,290,31250,5541,0,462,0,2,57,0,-3.34728033472803,29.5454545454545
1,300,31250,6506,0,427,0,11,68,0,-7.57575757575758,19.2982456140351
1,310,31250,7388,0,396,0,7,60,0,-7.25995316159251,-11.7647058823529
1,320,31250,8538,0,404,0,4,55,0,2.02020202020202,-8.33333333333333
1,330,31250,8367,0,439,0,1,60,0,8.66336633663366,9.09090909090909
1,340,31250,6653,0,432,0,3,52,0,-1.59453302961276,-13.3333333333333
1,350,31250,6782,0,424,0,6,60,0,-1.85185185185185,15.3846153846154
1,360,31250,6911,0,433,0,2,65,0,2.12264150943396,8.33333333333333
1,370,31250,7215,0,412,0,10,55,0,-4.84988452655889,-15.3846153846154
1,380,31250,7691,0,398,0,3,55,0,-3.39805825242718,0
1,390,31250,8014,0,410,0,9,61,0,3.01507537688442,10.9090909090909
1,400,31250,7522,0,428,0,4,56,0,4.39024390243902,-8.19672131147541
1,410,31250,6876,0,424,0,6,64,0,-0.934579439252336,14.2857142857143
1,420,31250,6831,0,442,0,4,55,0,4.24528301886792,-14.0625
1,430,31250,6755,0,429,0,6,46,0,-2.94117647058824,-16.3636363636364
1,440,31250,6950,0,443,0,3,41,0,3.26340326340326,-10.8695652173913
1,450,31250,6353,0,454,0,3,46,0,2.48306997742664,12.1951219512195
1,460,31250,6321,0,444,0,5,69,0,-2.20264317180617,50
1,470,31250,6880,0,399,0,7,92,0,-10.1351351351351,33.3333333333333
1,480,31250,9266,0,365,0,7,109,0,-8.52130325814536,18.4782608695652
1,490,31250,10297,0,331,0,9,90,0,-9.31506849315068,-17.4311926605505
1,500,31250,11098,0,350,0,8,85,0,5.74018126888217,-5.55555555555556
1,510,31250,10167,0,358,0,3,70,0,2.28571428571429,-17.6470588235294
1,520,31250,9941,0,388,0,1,71,0,8.37988826815642,1.42857142857143
1,530,31250,9391,0,377,0,1,72,0,-2.83505154639175,1.40845070422535
1,540,31250,9121,0,384,0,2,62,0,1.85676392572944,-13.8888888888889
1,550,31250,8895,0,389,0,3,59,0,1.30208333333333,-4.83870967741935
1,560,31250,9270,0,396,0,6,77,0,1.79948586118252,30.5084745762712
1,570,31250,8375,0,384,0,4,86,0,-3.03030303030303,11.6883116883117
1,580,31250,8360,0,387,0,8,78,0,0.78125,-9.30232558139535
1,590,31250,8581,0,370,0,5,76,0,-4.39276485788114,-2.56410256410256
1,600,31250,9679,0,371,0,8,81,0,0.27027027027027,6.57894736842105
1,610,31250,9744,0,372,0,6,71,0,0.269541778975741,-12.3456790123457
1,620,31250,9599,0,355,0,7,66,0,-4.56989247311828,-7.04225352112676
1,630,31250,9798,0,386,0,5,65,0,8.73239436619718,-1.51515151515152
1,640,31250,8560,0,423,0,3,68,0,9.58549222797927,4.61538461538461
1,650,31250,7545,0,397,0,8,78,0,-6.14657210401891,14.7058823529412
1,660,31250,8420,0,384,0,4,68,0,-3.27455919395466,-12.8205128205128
