timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,29267,0,26,0,0,0
20,31250,29333,0,39,0,0,0
30,31250,28287,0,57,0,0,0
40,31250,27187,0,86,0,0,0
50,31250,24866,0,127,0,0,0
60,31250,21629,0,187,0,0,0
70,31250,17910,0,259,0,0,0
80,31250,13575,0,340,0,0,0
90,31250,10012,0,422,0,0,0
100,31250,7005,0,450,0,0,0
110,31250,6064,0,467,0,0,0
120,31250,5429,0,489,0,0,0
130,31250,4558,0,513,0,0,0
140,31250,4102,0,540,0,0,0
150,31250,3477,0,519,0,0,0
160,31250,3903,0,500,0,0,0
170,31250,4323,0,517,0,0,0
180,31250,4090,0,515,0,0,0
190,31250,4359,0,491,0,0,0
200,31250,5156,0,498,0,0,0
210,31250,4913,0,504,0,1,39
220,31250,5063,0,454,0,1,69
230,31250,6236,0,447,0,2,112
240,31250,6464,0,438,0,4,164
250,31250,7663,0,400,0,8,262
260,31250,10495,0,304,0,7,371
270,31250,15871,0,208,0,7,479
280,31250,20432,0,120,0,4,480
290,31250,26078,0,50,0,4,440
300,31250,29090,0,16,0,2,299
310,31250,30503,0,6,0,0,119
320,31250,30835,0,9,0,0,29
330,31250,30549,0,14,0,0,2
340,31250,30144,0,19,0,0,1
350,31250,29833,0,29,0,0,3
360,31250,28993,0,33,0,0,1
370,31250,28723,0,60,0,0,1
380,31250,26741,0,84,0,0,0
390,31250,24859,0,113,0,0,0
400,31250,22790,0,167,0,0,0
410,31250,19141,0,220,0,0,0
420,31250,15901,0,307,0,0,0
430,31250,11515,0,379,0,0,0
440,31250,8446,0,461,0,0,0
450,31250,5357,0,478,0,0,0
460,31250,5477,0,484,0,0,0
470,31250,4763,0,492,0,0,0
480,31250,4974,0,513,0,0,0
490,31250,4187,0,488,0,0,0
500,31250,4368,0,521,0,0,0
510,31250,3675,0,504,0,0,0
520,31250,4348,0,511,0,0,0
530,31250,4694,0,497,0,0,0
540,31250,4689,0,510,0,0,0
550,31250,4557,0,491,0,0,0
560,31250,4841,0,504,0,0,0
570,31250,4231,0,509,0,0,0
580,31250,4582,0,516,0,0,0
590,31250,3988,0,508,0,0,0
600,31250,4586,0,501,0,0,0
610,31250,4622,0,488,0,0,0
620,31250,5154,0,481,0,0,0
630,31250,4582,0,507,0,0,0
640,31250,4056,0,507,0,0,0
650,31250,4499,0,495,0,0,0
660,31250,4807,0,523,0,0,0
670,31250,4100,0,518,0,0,0
680,31250,4333,0,486,0,0,0
690,31250,4803,0,491,0,0,0
700,31250,4878,0,484,0,0,0
710,31250,5133,0,503,0,0,0
720,31250,4801,0,502,0,0,0
730,31250,4764,0,508,0,0,0
740,31250,4458,0,506,0,0,0
750,31250,4237,0,515,0,0,0
760,31250,4484,0,486,0,0,0
770,31250,4660,0,496,0,0,0
780,31250,4847,0,522,0,0,0
790,31250,4065,0,474,0,0,0
800,31250,5193,0,512,0,0,0
810,31250,4218,0,521,0,0,0
820,31250,4191,0,498,0,0,0
830,31250,4881,0,495,0,0,0
840,31250,4756,0,514,0,0,0
850,31250,4302,0,500,0,0,0
860,31250,4715,0,496,0,0,0
870,31250,4780,0,488,0,0,0
880,31250,4771,0,513,0,0,0
890,31250,3908,0,489,0,0,0
900,31250,4723,0,510,0,0,0
910,31250,4568,0,499,0,0,0
920,31250,4644,0,505,0,0,0
930,31250,4554,0,501,0,0,0
940,31250,3854,0,516,0,0,0
950,31250,4262,0,510,0,0,0
960,31250,4216,0,495,0,0,0
970,31250,4556,0,500,0,0,0
980,31250,4383,0,516,0,0,0
990,31250,4029,0,500,0,0,0
1000,31250,4531,0,496,0,0,0
