"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,29391,0,26,0,0,0,0,4,0
1,20,31250,29383,0,34,0,0,0,0,30.7692307692308,0
1,30,31250,28689,0,49,0,0,0,0,44.1176470588235,0
1,40,31250,27594,0,73,0,0,0,0,48.9795918367347,0
1,50,31250,25896,0,104,0,0,0,0,42.4657534246575,0
1,60,31250,23805,0,145,0,0,0,0,39.4230769230769,0
1,70,31250,20334,0,218,0,0,0,0,50.3448275862069,0
1,80,31250,15618,0,293,0,0,0,0,34.4036697247706,0
1,90,31250,12021,0,370,0,0,0,0,26.2798634812287,0
1,100,31250,8129,0,435,0,0,0,0,17.5675675675676,0
1,110,31250,6436,0,488,0,0,0,0,12.183908045977,0
1,120,31250,5154,0,495,0,0,0,0,1.4344262295082,0
1,130,31250,4232,0,501,0,0,0,0,1.21212121212121,0
1,140,31250,4571,0,527,0,0,0,0,5.18962075848303,0
1,150,31250,3813,0,497,0,0,0,0,-5.69259962049336,0
1,160,31250,4442,0,529,0,0,0,0,6.43863179074447,0
1,170,31250,3896,0,492,0,0,0,0,-6.99432892249527,0
1,180,31250,4601,0,512,0,0,0,0,4.0650406504065,0
1,190,31250,4621,0,507,0,0,0,0,-0.9765625,0
1,200,31250,4503,0,483,0,0,0,0,-4.73372781065089,0
1,210,31250,5190,0,496,0,1,25,0,2.69151138716356,0
1,220,31250,4680,0,484,0,0,34,0,-2.41935483870968,36
1,230,31250,4408,0,498,0,1,60,0,2.89256198347107,76.4705882352941
1,240,31250,5539,0,464,0,1,99,0,-6.82730923694779,65
1,250,31250,6103,0,460,0,5,159,0,-0.862068965517241,60.6060606060606
1,260,31250,7059,0,409,0,2,264,0,-11.0869565217391,66.0377358490566
1,270,31250,9955,0,342,0,4,366,0,-16.3814180929095,38.6363636363636
1,280,31250,13233,0,233,0,6,467,0,-31.8713450292398,27.5956284153005
1,290,31250,20295,0,129,0,4,514,0,-44.6351931330472,10.0642398286938
1,300,31250,25318,0,58,0,4,457,0,-55.0387596899225,-11.0894941634241
1,310,31250,28688,0,17,0,2,317,0,-70.6896551724138,-30.6345733041575
1,320,31250,30490,0,8,0,2,143,0,-52.9411764705882,-54.8895899053628
1,330,31250,30753,0,6,0,0,51,0,-25,-64.3356643356643
1,340,31250,30889,0,8,0,0,9,0,33.3333333333333,-82.3529411764706
1,350,31250,30632,0,12,0,0,6,0,50,-33.3333333333333
1,360,31250,30320,0,18,0,0,5,0,50,-16.6666666666667
1,370,31250,29964,0,22,0,0,0,0,22.2222222222222,-100
1,380,31250,29556,0,33,0,0,0,0,50,0
1,390,31250,28880,0,41,0,0,0,0,24.2424242424242,0
1,400,31250,28245,0,53,0,0,0,0,29.2682926829268,0
1,410,31250,27170,0,81,0,0,0,0,52.8301886792453,0
1,420,31250,25291,0,126,0,0,0,0,55.5555555555556,0
1,430,31250,22124,0,166,0,0,0,0,31.7460317460317,0
1,440,31250,19339,0,238,0,0,0,0,43.3734939759036,0
1,450,31250,14607,0,328,0,0,0,0,37.8151260504202,0
1,460,31250,10453,0,387,0,0,0,0,17.9878048780488,0
1,470,31250,8212,0,445,0,0,0,0,14.9870801033592,0
1,480,31250,6054,0,491,0,0,0,0,10.3370786516854,0
1,490,31250,5117,0,502,0,0,0,0,2.24032586558045,0
1,500,31250,5031,0,489,0,0,0,0,-2.58964143426295,0
1,510,31250,5054,0,503,0,0,0,0,2.86298568507157,0
1,520,31250,4048,0,508,0,0,0,0,0.99403578528827,0
1,530,31250,4665,0,515,0,0,0,0,1.37795275590551,0
1,540,31250,4174,0,498,0,0,0,0,-3.30097087378641,0
1,550,31250,4510,0,497,0,0,0,0,-0.200803212851406,0
1,560,31250,4354,0,502,0,0,0,0,1.00603621730382,0
1,570,31250,4880,0,528,0,0,0,0,5.1792828685259,0
1,580,31250,3660,0,495,0,0,0,0,-6.25,0
1,590,31250,4350,0,497,0,0,0,0,0.404040404040404,0
1,600,31250,4730,0,499,0,0,0,0,0.402414486921529,0
1,610,31250,4261,0,494,0,0,0,0,-1.00200400801603,0
1,620,31250,4765,0,499,0,0,0,0,1.01214574898785,0
1,630,31250,4757,0,504,0,0,0,0,1.00200400801603,0
1,640,31250,4527,0,506,0,0,0,0,0.396825396825397,0
1,650,31250,4226,0,500,0,0,0,0,-1.18577075098814,0
1,660,31250,5088,0,494,0,0,0,0,-1.2,0
1,670,31250,4597,0,517,0,0,0,0,4.65587044534413,0
1,680,31250,4156,0,490,0,0,0,0,-5.22243713733075,0
1,690,31250,4949,0,513,0,0,0,0,4.69387755102041,0
1,700,31250,4163,0,519,0,0,0,0,1.16959064327485,0
1,710,31250,4228,0,512,0,0,0,0,-1.34874759152216,0
1,720,31250,4192,0,494,0,0,0,0,-3.515625,0
1,730,31250,4423,0,511,0,0,0,0,3.4412955465587,0
1,740,31250,4364,0,496,0,0,0,0,-2.93542074363992,0
1,750,31250,4328,0,514,0,0,0,0,3.62903225806452,0
1,760,31250,4329,0,507,0,0,0,0,-1.36186770428016,0
1,770,31250,4210,0,500,0,0,0,0,-1.38067061143984,0
1,780,31250,4464,0,521,0,0,0,0,4.2,0
1,790,31250,4130,0,524,0,0,0,0,0.575815738963532,0
1,800,31250,4152,0,482,0,0,0,0,-8.01526717557252,0
1,810,31250,4915,0,475,0,0,0,0,-1.45228215767635,0
1,820,31250,5035,0,509,0,0,0,0,7.15789473684211,0
1,830,31250,4285,0,499,0,0,0,0,-1.96463654223969,0
1,840,31250,4665,0,495,0,0,0,0,-0.801603206412826,0
1,850,31250,4782,0,517,0,0,0,0,4.44444444444444,0
1,860,31250,3689,0,524,0,0,0,0,1.35396518375242,0
1,870,31250,4163,0,496,0,0,0,0,-5.34351145038168,0
1,880,31250,4549,0,485,0,0,0,0,-2.21774193548387,0
1,890,31250,5194,0,509,0,0,0,0,4.94845360824742,0
1,900,31250,4123,0,502,0,0,0,0,-1.37524557956778,0
1,910,31250,4951,0,495,0,0,0,0,-1.39442231075697,0
1,920,31250,4462,0,501,0,0,0,0,1.21212121212121,0
1,930,31250,4870,0,508,0,0,0,0,1.39720558882236,0
1,940,31250,4608,0,507,0,0,0,0,-0.196850393700787,0
1,950,31250,4249,0,498,0,0,0,0,-1.77514792899408,0
1,960,31250,4667,0,516,0,0,0,0,3.6144578313253,0
1,970,31250,3958,0,509,0,0,0,0,-1.35658914728682,0
1,980,31250,4542,0,497,0,0,0,0,-2.35756385068762,0
1,990,31250,4957,0,491,0,0,0,0,-1.20724346076459,0
1,1000,31250,5194,0,498,0,0,0,0,1.42566191446029,0
2,0,31250,31250,0,25,0,0,0,0,0,0
2,10,31250,29263,0,25,0,0,0,0,0,0
2,20,31250,29354,0,41,0,0,0,0,64,0
2,30,31250,28067,0,56,0,0,0,0,36.5853658536585,0
2,40,31250,26882,0,79,0,0,0,0,41.0714285714286,0
2,50,31250,25244,0,123,0,0,0,0,55.6962025316456,0
2,60,31250,21868,0,178,0,0,0,0,44.7154471544715,0
2,70,31250,18782,0,240,0,0,0,0,34.8314606741573,0
2,80,31250,14923,0,320,0,0,0,0,33.3333333333333,0
2,90,31250,10658,0,379,0,0,0,0,18.4375,0
2,100,31250,7982,0,461,0,0,0,0,21.6358839050132,0
2,110,31250,5975,0,479,0,0,0,0,3.90455531453362,0
2,120,31250,4657,0,548,0,0,0,0,14.4050104384134,0
2,130,31250,3402,0,515,0,0,0,0,-6.02189781021898,0
2,140,31250,4393,0,495,0,0,0,0,-3.88349514563107,0
2,150,31250,4349,0,517,0,0,0,0,4.44444444444444,0
2,160,31250,4212,0,492,0,0,0,0,-4.83558994197292,0
2,170,31250,4464,0,515,0,0,0,0,4.67479674796748,0
2,180,31250,4199,0,505,0,0,0,0,-1.94174757281553,0
2,190,31250,5025,0,495,0,0,0,0,-1.98019801980198,0
2,200,31250,4357,0,501,0,0,0,0,1.21212121212121,0
2,210,31250,4821,0,501,0,1,29,0,0,0
2,220,31250,4683,0,482,0,2,43,0,-3.79241516966068,48.2758620689655
2,230,31250,5238,0,488,0,3,62,0,1.2448132780083,44.1860465116279
2,240,31250,5241,0,473,0,2,88,0,-3.07377049180328,41.9354838709677
