"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29396.85,29365.95,29426.65,0,0,0,24.8,24.15,25.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-3.6,2,0,0,0
20,20,31250,31250,31250,29419.4,29349.2,29478.25,0,0,0,35.75,33.45,38.05,0,0,0,0,0,0,0,0,0,0,0,0,44.175164127338,36.7776477146042,52.8821596680292,0,0,0
30,20,31250,31250,31250,28567.75,28400.35,28724.7,0,0,0,51.25,47.7,54.9,0,0,0,0,0,0,0,0,0,0,0,0,43.8273492603384,37.7473512763183,49.5421007439026,0,0,0
40,20,31250,31250,31250,27418.05,27138.35,27688.35,0,0,0,72.7,68.45,77.15,0,0,0,0,0,0,0,0,0,0,0,0,42.5946278567059,38.1725925629057,47.451775620472,0,0,0
50,20,31250,31250,31250,25833.55,25523.85,26148.45,0,0,0,102.25,96.35,108.15,0,0,0,0,0,0,0,0,0,0,0,0,41.0163124662468,36.8616735523478,45.1228346416957,0,0,0
60,20,31250,31250,31250,23641.15,23214.2,24044.65,0,0,0,144.75,137.5,152.2,0,0,0,0,0,0,0,0,0,0,0,0,42.1071937984638,38.5757751057995,45.5250781388679,0,0,0
70,20,31250,31250,31250,20662.5,20196.35,21115.95,0,0,0,206.3,195.8,215.4,0,0,0,0,0,0,0,0,0,0,0,0,42.7215454162493,39.0597597347539,46.1397652077518,0,0,0
80,20,31250,31250,31250,16664.25,16054.95,17285.05,0,0,0,279.7,268.2,291.95,0,0,0,0,0,0,0,0,0,0,0,0,36.0371918234033,32.8234035147972,39.4783980219993,0,0,0
90,20,31250,31250,31250,12643.35,12008.6,13284.85,0,0,0,361.95,349.9,373.95,0,0,0,0,0,0,0,0,0,0,0,0,29.7372783932742,26.7613082299812,32.3436417633376,0,0,0
100,20,31250,31250,31250,8916.05,8366.65,9441.8,0,0,0,430.8,418.2,443.1,0,0,0,0,0,0,0,0,0,0,0,0,19.2636537491387,16.829284178066,21.2997647452472,0,0,0
110,20,31250,31250,31250,6455.8,6052.8,6888.45,0,0,0,477.25,469.85,484.65,0,0,0,0,0,0,0,0,0,0,0,0,11.2664220236594,7.91330619245747,14.6791851675124,0,0,0
120,20,31250,31250,31250,5193.95,4962.55,5443.15,0,0,0,495.2,487.35,502.9,0,0,0,0,0,0,0,0,0,0,0,0,3.83448168471224,2.05367358737458,5.58876581494986,0,0,0
130,20,31250,31250,31250,4726.85,4499.85,4976.55,0,0,0,500.9,495.85,505.85,0,0,0,0,0,0,0,0,0,0,0,0,1.23807863738453,-0.281894808693516,2.60725314160156,0,0,0
140,20,31250,31250,31250,4541.05,4326.3,4738.85,0,0,0,504.9,498.15,511.25,0,0,0,0,0,0,0,0,0,0,0,0,0.852678747992567,-0.775972255273269,2.5258602509939,0,0,0
