"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,30624.2,30612.25,30637.75,0,0,0,24.75,24,25.5,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4.2,2.4,0,0,0
20,20,31250,31250,31250,30623.55,30602.2,30645.25,0,0,0,36.05,33.75,38.55,0,0,0,0,0,0,0,0,0,0,0,0,45.2271784576132,38.5053432075171,51.4316324577194,0,0,0
30,20,31250,31250,31250,30354.8,30288.85,30415.65,0,0,0,50.6,47.15,54.25,0,0,0,0,0,0,0,0,0,0,0,0,40.9980851611359,34.3453319010668,47.2857870425877,0,0,0
40,20,31250,31250,31250,29986.7,29894.95,30070.15,0,0,0,71.25,66.6,75.6,0,0,0,0,0,0,0,0,0,0,0,0,41.7091289611781,36.4410372186353,46.9616039097775,0,0,0
50,20,31250,31250,31250,29471.95,29354.3,29588.4,0,0,0,100.05,92.8,106.25,0,0,0,0,0,0,0,0,0,0,0,0,40.5082494982746,36.9844112561321,44.1798524486605,0,0,0
60,20,31250,31250,31250,28752.8,28582.7,28922,0,0,0,137.1,128.05,145.95,0,0,0,0,0,0,0,0,0,0,0,0,37.3444251156019,33.4571539113105,41.0585818825837,0,0,0
70,20,31250,31250,31250,27812.45,27579.3,28038.05,0,0,0,198.15,186.25,210.85,0,0,0,0,0,0,0,0,0,0,0,0,44.825591243674,41.7982707433761,47.8244413708023,0,0,0
80,20,31250,31250,31250,26279.95,25978.15,26561.9,0,0,0,282.95,266.25,300.75,0,0,0,0,0,0,0,0,0,0,0,0,43.0234109095026,40.36570869692,45.3046114036045,0,0,0
90,20,31250,31250,31250,24189.2,23755,24643.35,0,0,0,396.45,369.6,424.55,0,0,0,0,0,0,0,0,0,0,0,0,39.8617014261389,37.7021091152226,42.2119843717024,0,0,0
100,20,31250,31250,31250,21348.45,20692.9,22028.15,0,0,0,559.1,520.9,599.4,0,0,0,0,0,0,0,0,0,0,0,0,41.0810846815459,39.1832583297838,43.0911943020674,0,0,0
110,20,31250,31250,31250,17429.5,16486.75,18309.4,0,0,0,780.75,731.85,833.25,0,0,0,0,0,0,0,0,0,0,0,0,39.7912412618696,38.4594928711816,41.1021437346078,0,0,0
120,20,31250,31250,31250,12533.75,11497.1,13537.95,0,0,0,1059.85,1001.05,1116.6,0,0,0,0,0,0,0,0,0,0,0,0,36.2495434324434,34.4323396423277,38.2015131131514,0,0,0
130,20,31250,31250,31250,7430.1,6509.15,8390.3,0,0,0,1365.9,1302.45,1421.75,0,0,0,0,0,0,0,0,0,0,0,0,29.4297997887144,27.0386154952328,31.7599102462585,0,0,0
140,20,31250,31250,31250,3699.85,3144.9,4249.35,0,0,0,1576.35,1547.65,1606.6,0,0,0,0,0,0,0,0,0,0,0,0,16.0447264608528,12.9360759454038,19.0263449037927,0,0,0
150,20,31250,31250,31250,2016,1804.95,2241.3,0,0,0,1652.1,1638.95,1665.05,0,0,0,0,0,0,0,0,0,0,0,0,4.97867025423684,3.09541632033992,6.8200247654384,0,0,0
160,20,31250,31250,31250,1497.9,1390.45,1595.35,0,0,0,1665.85,1649.3,1680.45,0,0,0,0,0,0,0,0,0,0,0,0,0.883697778992895,-0.547175164889764,2.25391032705711,0,0,0
170,20,31250,31250,31250,1477.6,1397.95,1565.8,0,0,0,1640.55,1631,1650.35,0,0,0,0,0,0,0,0,0,0,0,0,-1.47513257548198,-2.56551824080773,-0.44242376170844,0,0,0
180,20,31250,31250,31250,1524.1,1434.75,1629.55,0,0,0,1641.65,1632.85,1651.05,0,0,0,0,0,0,0,0,0,0,0,0,0.0820536761324738,-0.709819755767865,0.835945083595628,0,0,0
190,20,31250,31250,31250,1514.35,1419.1,1611.65,0,0,0,1649.2,1636.05,1661.85,0,0,0,0,0,0,0,0,0,0,0,0,0.480904924949986,-0.496423056171342,1.50995885833679,0,0,0
200,20,31250,31250,31250,1462.35,1397.3,1530.4,0,0,0,1655.55,1645.2,1664.95,0,0,0,0,0,0,0,0,0,0,0,0,0.423202788608167,-0.711059129547906,1.50532012169113,0,0,0
210,20,31250,31250,31250,1557,1476.45,1635.9,0,0,0,1607.8,1597.95,1618,0,0,0,3.4,2.75,4.1,37.2,35.1,39.25,0,0,0,-2.86113891658628,-3.83269197088825,-1.86011761524943,0,0,0
