"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,29397.05,29365.75,29426.65,0,0,0,24.75,24.1,25.45,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,1.8,0,0,0
20,20,31250,31250,31250,29385.1,29338.75,29428.3,0,0,0,36.05,34,38.1,0,0,0,0,0,0,0,0,0,0,0,0,45.5700941168333,38.720076662468,52.6317161904119,0,0,0
30,20,31250,31250,31250,28546.75,28372.85,28706.85,0,0,0,53.05,49.25,56.85,0,0,0,0,0,0,0,0,0,0,0,0,47.0665944789777,40.8495629926007,53.2486109656435,0,0,0
40,20,31250,31250,31250,27267.25,26990.9,27553.9,0,0,0,76.25,72.35,80.25,0,0,0,0,0,0,0,0,0,0,0,0,45.5815919291526,39.7335691476516,52.6994942656888,0,0,0
50,20,31250,31250,31250,25577.8,25282.5,25856.4,0,0,0,104.8,98.85,110.7,0,0,0,0,0,0,0,0,0,0,0,0,37.486475824904,33.250769212263,41.4067967343401,0,0,0
60,20,31250,31250,31250,23485.55,23031.75,23906.95,0,0,0,151.5,143.9,159.75,0,0,0,0,0,0,0,0,0,0,0,0,45.1307791941773,41.5968327075412,49.4392697076259,0,0,0
70,20,31250,31250,31250,20240.2,19719.15,20742.45,0,0,0,209.9,201.05,218.8,0,0,0,0,0,0,0,0,0,0,0,0,39.0473004522292,35.4045654469702,42.2886966726057,0,0,0
80,20,31250,31250,31250,16524.4,15961.65,17078.25,0,0,0,284.2,272.35,296.2,0,0,0,0,0,0,0,0,0,0,0,0,35.4962940082832,32.8671545176479,38.0012409422865,0,0,0
90,20,31250,31250,31250,12363.45,11670.55,13026.6,0,0,0,365.75,351.1,380.4,0,0,0,0,0,0,0,0,0,0,0,0,28.919810808396,26.7307944122216,30.9232824218614,0,0,0
100,20,31250,31250,31250,8789.05,8224.55,9343.1,0,0,0,434.9,424.3,444.45,0,0,0,0,0,0,0,0,0,0,0,0,19.3641048546876,16.3629450379916,21.879543862629,0,0,0
110,20,31250,31250,31250,6291.75,6010.25,6575.25,0,0,0,478.7,471,486.4,0,0,0,0,0,0,0,0,0,0,0,0,10.3395465657862,7.83901805343325,13.2294102047935,0,0,0
120,20,31250,31250,31250,5081.1,4858.35,5285.25,0,0,0,493.25,488.1,497.65,0,0,0,0,0,0,0,0,0,0,0,0,3.17124008661046,1.22657626976083,4.97084398597825,0,0,0
130,20,31250,31250,31250,4771.15,4613.65,4947.5,0,0,0,499.3,494.9,503.6,0,0,0,0,0,0,0,0,0,0,0,0,1.25827461235624,0.285453029771194,2.29027603452657,0,0,0
140,20,31250,31250,31250,4650.45,4525.55,4798.95,0,0,0,502.95,496.75,508.65,0,0,0,0,0,0,0,0,0,0,0,0,0.759309202624035,-0.653818172380497,2.02138651843031,0,0,0
150,20,31250,31250,31250,4525.95,4408.4,4633.5,0,0,0,504.8,499.95,509.85,0,0,0,0,0,0,0,0,0,0,0,0,0.442457580186221,-1.02008054238171,2.02150748845453,0,0,0
160,20,31250,31250,31250,4440.3,4290.7,4579.6,0,0,0,502.95,495.2,511.35,0,0,0,0,0,0,0,0,0,0,0,0,-0.322419041594722,-2.07595058687626,1.71164831113497,0,0,0
170,20,31250,31250,31250,4522.75,4336.2,4713.05,0,0,0,503.5,496.45,510.2,0,0,0,0,0,0,0,0,0,0,0,0,0.264421292441229,-2.07906203783388,2.71577740676901,0,0,0
180,20,31250,31250,31250,4399.55,4228.25,4570.8,0,0,0,499.9,496.15,504,0,0,0,0,0,0,0,0,0,0,0,0,-0.601227694190212,-2.39389368737773,1.19442471212749,0,0,0
190,20,31250,31250,31250,4562.6,4436.85,4683.35,0,0,0,505.25,499.35,511.35,0,0,0,0,0,0,0,0,0,0,0,0,1.10504956890972,-0.316879223370439,2.51656377059337,0,0,0
200,20,31250,31250,31250,4451.2,4291.6,4609.05,0,0,0,504.25,498.25,510.75,0,0,0,0,0,0,0,0,0,0,0,0,-0.141635481160649,-1.57331692348876,1.31135223806716,0,0,0
210,20,31250,31250,31250,4806.15,4595.6,4998.1,0,0,0,472.55,465.45,478.9,0,0,0,2.4,1.8,2.95,26.65,25.05,28.6,0,0,0,-6.20310087191411,-7.98388509482653,-4.49703441160776,0,0,0
220,20,31250,31250,31250,5626.35,5390.4,5860.2,0,0,0,469.7,463.2,475.6,0,0,0,2.85,2.2,3.6,28.85,25.6,31.95,0,0,0,-0.541003450643327,-1.89578012668967,0.810884793181827,7.92151285723631,-2.020725221971,17.8728899055448
230,20,31250,31250,31250,5686.5,5498,5901.8,0,0,0,468.75,460.95,475.05,0,0,0,1.75,1.2,2.35,32,27.9,35.7,0,0,0,-0.156542925762327,-1.94317926954363,1.28899961895549,11.5354366944705,4.9370227903815,18.1795668842819
240,20,31250,31250,31250,5644.15,5412.05,5908.25,0,0,0,467.5,457.75,477.1,0,0,0,2.55,1.95,3.25,34.3,30.2,38.55,0,0,0,-0.21399673352623,-2.38064971473543,1.55143960672024,8.04339712802283,2.88793427907812,14.3989149160217
250,20,31250,31250,31250,5849.15,5516.2,6165.1,0,0,0,461.15,452.6,469.7,0,0,0,2.9,2.05,3.8,38.65,34.35,42.75,0,0,0,-1.25229065973757,-2.9022763423018,0.52659991334675,14.4245174585662,7.18025349097456,21.5373008771243
260,20,31250,31250,31250,5990.6,5733,6239.35,0,0,0,453.15,445.75,460.55,0,0,0,3.6,2.8,4.5,39.25,34.85,43.1,0,0,0,-1.62482769250276,-3.34549741783392,0.0593405390174329,3.27129271753749,-4.18666897530324,10.6464136460416
270,20,31250,31250,31250,6218.2,5958.05,6493.2,0,0,0,450,442.5,458.45,0,0,0,3.9,3,4.9,43.3,38.85,47.85,0,0,0,-0.633168173816548,-2.39639711048729,0.994331143692534,11.138126481004,4.97280012464713,17.6193292396295
280,20,31250,31250,31250,6391.05,6037.7,6734.45,0,0,0,444.95,434.9,454.25,0,0,0,3.35,2.6,4.2,47.95,42.3,53.75,0,0,0,-1.03891566289465,-3.17269261490927,1.05541511744899,11.2784362250989,2.8825798651373,20.4071361334163
290,20,31250,31250,31250,6665.45,6190.3,7090.15,0,0,0,444.1,432.4,458.25,0,0,0,3.4,2.55,4.25,50.9,44.75,56.65,0,0,0,-0.117410472042474,-2.45831851950748,1.97519231335569,6.81132817491964,0.22575539890276,13.0430182110778
300,20,31250,31250,31250,6724.2,6273.25,7146.9,0,0,0,431.25,419.65,443.3,0,0,0,4.1,2.9,5.35,54.9,48.4,61.85,0,0,0,-2.76279127927376,-5.06595017027881,-0.440573424945382,8.13764789388199,2.48734325388153,13.6277914310555
310,20,31250,31250,31250,7050.3,6556.3,7531.8,0,0,0,429.4,417.1,442.1,0,0,0,3.45,2.7,4.2,56.65,50.6,62.4,0,0,0,-0.36976974611539,-2.18317116691498,1.42005700238954,5.93531218626952,-0.460868463580921,13.3861532630882
320,20,31250,31250,31250,7305.2,6850.4,7846.2,0,0,0,423.5,410.95,436.1,0,0,0,4.95,3.85,6.05,58.3,52.6,64.45,0,0,0,-1.25406389075639,-3.27605231511282,0.88312091679556,3.95734907318295,-0.749725179188636,9.01003805679883
330,20,31250,31250,31250,7456.75,6913.65,8009.8,0,0,0,414.85,402.75,426.5,0,0,0,4.45,3.6,5.25,61.45,56.95,65.75,0,0,0,-1.97636057633436,-3.26612511289193,-0.710877257408361,7.32767362808489,2.03327008361479,12.8573995390986
340,20,31250,31250,31250,7817.9,7261.5,8366.85,0,0,0,407.4,395.95,417.4,0,0,0,4.4,3.45,5.4,61.95,57.1,66.2,0,0,0,-1.71530195550036,-3.11495249428551,-0.141668583068629,1.74510881019214,-3.98707438203646,7.97269472979982
350,20,31250,31250,31250,8031.25,7587.85,8471,0,0,0,409.1,399.1,418.75,0,0,0,5.3,4.35,6.25,62,57.2,66.65,0,0,0,0.584075006065687,-1.57711845724837,2.67058186325817,1.43199559058861,-5.88494822534055,8.19122388577915
360,20,31250,31250,31250,7912.9,7528.75,8315.6,0,0,0,413.5,402.5,422.85,0,0,0,4.25,3.4,5.15,61.6,57.4,66.3,0,0,0,1.1510032386326,-0.492018430991005,3.08182120017678,0.955631626664046,-5.74085367076663,7.4386727699422
370,20,31250,31250,31250,7644.05,7368.8,7971.2,0,0,0,416.1,408.8,423.9,0,0,0,5.55,4.5,6.6,63.1,59.55,66.85,0,0,0,0.802087421404224,-1.1537971613723,2.64098056476462,4.00419751080022,-2.61791058334838,10.8648643283458
380,20,31250,31250,31250,7797.35,7539.35,8041.4,0,0,0,410.95,402.85,419.05,0,0,0,5.35,4.3,6.35,65.25,61.8,68.4,0,0,0,-1.13680274468947,-3.49274071446184,1.00159938656151,4.05189747393158,0.00303786562380353,8.04100093232686
390,20,31250,31250,31250,8032.95,7716,8342.15,0,0,0,403.15,396.05,409.65,0,0,0,4.65,3.9,5.4,65.6,62.2,68.6,0,0,0,-1.77386886991571,-3.66809623053464,0.0704110258357309,0.817571689668346,-2.06209218876009,3.88678634783743
400,20,31250,31250,31250,8186.6,7877.25,8480.25,0,0,0,400.65,392.75,409.25,0,0,0,5.55,4.7,6.5,66.85,62.6,70.95,0,0,0,-0.606222740179162,-1.9123235098511,0.765229889191362,1.6571168729372,-1.48733899484405,4.93841134831619
410,20,31250,31250,31250,8227,7898.6,8541.4,0,0,0,403.4,394.1,413.2,0,0,0,5.35,4.3,6.5,68.7,65.05,72.95,0,0,0,0.755567336942215,-1.29006186202616,2.88266267585823,3.77666783150998,-1.64167940926432,9.38124357062451
420,20,31250,31250,31250,8272.6,7854.55,8686.05,0,0,0,396.95,385.85,406.4,0,0,0,5.9,4.85,6.95,68.5,62.8,74.1,0,0,0,-1.48745341808565,-3.82054500278746,0.519513823615907,-0.2539972925361,-5.71563725557056,5.47079902239988
430,20,31250,31250,31250,8510.8,8043.65,8994.6,0,0,0,391.8,380.25,402.7,0,0,0,5.35,4.35,6.4,65.2,59.2,70.85,0,0,0,-1.15060156451428,-3.799993852564,1.49260374240218,-4.71817898886264,-9.43122123250938,-0.0420124475382736
440,20,31250,31250,31250,8645.95,8165.9,9170.25,0,0,0,396.6,384.2,408.8,0,0,0,5.85,4.7,6.95,66.5,60.95,72.35,0,0,0,1.28941637084035,-0.958673722271299,3.21766315386785,2.92301863563681,-2.10492307013033,7.80462913890637
450,20,31250,31250,31250,8491.5,7962.6,9043.1,0,0,0,390.15,377.95,400.7,0,0,0,5.15,4.3,6.1,67.4,61.75,73.1,0,0,0,-1.55420361571909,-3.23255981792089,0.0491291085027173,2.25154607953896,-4.21905856739939,8.30955834550079
460,20,31250,31250,31250,8765.25,8290.7,9321.7,0,0,0,385.5,373.45,396.35,0,0,0,5.5,4.7,6.4,67.15,63,71.75,0,0,0,-1.04605294596302,-3.13995550869708,1.35099324014225,1.56701782543637,-4.57515719403061,9.03437032061492
470,20,31250,31250,31250,8828.8,8323.55,9359.3,0,0,0,390.65,378.05,402.1,0,0,0,6.45,5.4,7.7,67.1,63.1,70.85,0,0,0,1.39038849596698,-0.396824505675983,2.97416941773596,0.789016998172881,-4.19522101840181,6.4837608520407
480,20,31250,31250,31250,8730.55,8211.8,9238.4,0,0,0,392.1,379.15,403.4,0,0,0,6,4.85,7.2,66.25,61.5,70.45,0,0,0,0.474880017978016,-1.30322689901553,2.25571587934761,-0.903785579458714,-5.43350887338031,4.17888971916716
490,20,31250,31250,31250,8707.85,8209.9,9230.9,0,0,0,400.35,389,411.9,0,0,0,4.95,4.25,5.65,69.3,62.9,76.1,0,0,0,2.25802276147293,-0.130824282386459,4.5476471584484,4.82833644863416,-2.35454341178163,11.1622775372775
500,20,31250,31250,31250,8283.55,7862.15,8728.5,0,0,0,393.9,382.65,404.4,0,0,0,5.4,4.4,6.4,65.95,60.7,71.35,0,0,0,-1.52390462714567,-3.2675093877018,0.294166581208724,-3.45399914274576,-9.22514912204846,2.99994451613282
510,20,31250,31250,31250,8478.45,8015.1,8989.65,0,0,0,395.45,381.15,408.65,0,0,0,5.9,4.85,7,65.9,59.6,72.1,0,0,0,0.444708996456382,-2.20045260903866,2.86528697044773,-0.29096068789662,-4.59187058241594,3.837825108282
520,20,31250,31250,31250,8538.35,8004.2,9114.5,0,0,0,395.7,382.3,407.4,0,0,0,4.85,3.85,5.75,63.8,58.4,68.35,0,0,0,0.261179019206437,-2.07775811641232,2.556136112536,-1.66315178568831,-7.90986223783814,4.27991408720543
530,20,31250,31250,31250,8431.55,7929.2,8943.4,0,0,0,396.4,381.6,412.8,0,0,0,4.5,3.5,5.6,65.95,60.05,71.5,0,0,0,0.144750955610528,-1.78932140512573,2.06189070450332,3.661030371469,-1.26473415433071,8.28158535533322
540,20,31250,31250,31250,8409.65,7840.75,9051.25,0,0,0,397.1,383.5,410.4,0,0,0,5.15,4.1,6.2,65.8,61.35,70.5,0,0,0,0.409347314259789,-1.90540289606078,2.58609514005105,1.56338407310561,-4.1307828796447,6.93276706189502
550,20,31250,31250,31250,8506.95,7946.65,9088.9,0,0,0,400.2,385.6,413.65,0,0,0,4.8,4,5.6,63.2,57.3,68.55,0,0,0,0.891527745171536,-1.29516865412001,3.16822634882775,-3.85338753853689,-9.89407802493838,1.51834490072141
560,20,31250,31250,31250,8273.45,7658.3,8837.8,0,0,0,403.1,393.55,412.8,0,0,0,4.95,3.9,5.8,63.2,57.85,68.9,0,0,0,1.00051049715243,-0.975904709625484,3.1973127043433,0.899733562139423,-4.12045316899677,5.92698116129587
570,20,31250,31250,31250,8127.8,7739.55,8519.4,0,0,0,406.5,391.95,420.25,0,0,0,4.55,3.45,6.1,61.3,57.65,65.2,0,0,0,0.818235358706847,-1.46294013793929,2.90611126829965,-0.777011484871006,-7.2241271018567,5.96872572744289
580,20,31250,31250,31250,8135.3,7664.45,8627.55,0,0,0,402.8,390.85,414.2,0,0,0,5.65,4.55,6.75,61.85,58.1,65.8,0,0,0,-0.706033368393904,-2.97916087793948,1.58244216139454,1.5400492277719,-3.81009986894596,6.96742517173722
590,20,31250,31250,31250,8171.7,7709.75,8660.8,0,0,0,398.7,388.55,408.05,0,0,0,4.55,3.8,5.3,62.1,58.5,65.9,0,0,0,-0.837977684064542,-2.7588306409306,1.33708466976472,0.899032008649434,-3.8457005395008,5.93450262964638
600,20,31250,31250,31250,8312.9,7959.2,8689.05,0,0,0,409.7,400.65,418.15,0,0,0,4.25,3.35,5.1,61.55,57.5,65.6,0,0,0,2.88137604058557,0.965572972507034,4.7999215772601,-0.433791285656836,-5.82685925757761,4.27908500726003
610,20,31250,31250,31250,7887.9,7583.05,8193.45,0,0,0,405.55,395.55,416.95,0,0,0,5.05,4.05,6.15,62.8,57.9,67.8,0,0,0,-0.935077361180335,-3.30095657469764,1.06704499683723,2.54634749838657,-3.21185745483498,7.33211496460877
620,20,31250,31250,31250,7994.9,7536.2,8407.7,0,0,0,408.9,396.8,419.5,0,0,0,4.6,3.6,5.65,62.15,57.2,67.35,0,0,0,0.866404301200286,-1.02518334837935,2.8656200915574,-0.743072815481266,-5.95456948198912,4.40536554350661
630,20,31250,31250,31250,7827.5,7335.05,8323.55,0,0,0,408.75,396.75,419.9,0,0,0,6.05,5.05,7.15,61.15,56.9,65.65,0,0,0,0.08291276229704,-2.0155913433374,1.89051292914404,-0.312992234065517,-5.48356621875066,5.34569846361046
