timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,30640,0,23,0,0,0
20,31250,30643,0,31,0,0,0
30,31250,30506,0,48,0,0,0
40,31250,30046,0,59,0,0,0
50,31250,29735,0,85,0,0,0
60,31250,29176,0,114,0,0,0
70,31250,28346,0,167,0,0,0
80,31250,27033,0,250,0,0,0
90,31250,25051,0,344,0,0,0
100,31250,22457,0,481,0,0,0
110,31250,19159,0,689,0,0,0
120,31250,14624,0,952,0,0,0
130,31250,9068,0,1215,0,0,0
140,31250,5333,0,1501,0,0,0
150,31250,2442,0,1649,0,0,0
160,31250,1574,0,1712,0,0,0
170,31250,1461,0,1636,0,0,0
180,31250,1538,0,1617,0,0,0
190,31250,1491,0,1651,0,0,0
200,31250,1316,0,1649,0,0,0
210,31250,1554,0,1634,0,4,38
220,31250,1733,0,1594,0,3,60
230,31250,1951,0,1574,0,8,89
240,31250,2314,0,1528,0,5,130
250,31250,2545,0,1520,0,10,196
260,31250,3552,0,1346,0,21,300
270,31250,6154,0,1127,0,32,475
280,31250,10976,0,759,0,34,660
290,31250,19798,0,275,0,29,741
300,31250,27864,0,47,0,9,386
310,31250,30486,0,19,0,2,80
320,31250,30820,0,21,0,0,12
330,31250,30711,0,24,0,0,3
340,31250,30609,0,41,0,0,0
350,31250,30179,0,58,0,0,0
360,31250,29809,0,80,0,0,0
370,31250,29230,0,122,0,0,0
380,31250,28241,0,172,0,0,0
390,31250,26914,0,228,0,0,0
400,31250,25745,0,316,0,0,0
410,31250,23356,0,458,0,0,0
420,31250,19980,0,624,0,0,0
430,31250,15658,0,909,0,0,0
440,31250,9605,0,1221,0,0,0
450,31250,4437,0,1537,0,0,0
460,31250,2167,0,1669,0,0,0
470,31250,1333,0,1644,0,0,0
480,31250,1365,0,1691,0,0,0
490,31250,1230,0,1659,0,0,0
500,31250,1295,0,1693,0,0,0
510,31250,1185,0,1633,0,0,0
520,31250,1723,0,1672,0,0,0
530,31250,1399,0,1603,0,0,0
540,31250,1541,0,1623,0,0,0
550,31250,1677,0,1677,0,0,0
560,31250,1429,0,1688,0,0,0
570,31250,1311,0,1627,0,0,0
580,31250,1521,0,1660,0,0,0
590,31250,1300,0,1650,0,0,0
600,31250,1317,0,1652,0,0,0
610,31250,1349,0,1670,0,0,0
620,31250,1330,0,1683,0,0,0
630,31250,1256,0,1649,0,0,0
640,31250,1672,0,1620,0,0,0
650,31250,1622,0,1641,0,0,0
660,31250,1329,0,1636,0,0,0
670,31250,1545,0,1698,0,0,0
680,31250,1295,0,1640,0,0,0
690,31250,1426,0,1616,0,0,0
700,31250,1762,0,1653,0,0,0
710,31250,1473,0,1676,0,0,0
720,31250,1468,0,1649,0,0,0
730,31250,1795,0,1618,0,0,0
740,31250,1909,0,1616,0,0,0
750,31250,1625,0,1648,0,0,0
760,31250,1519,0,1645,0,0,0
770,31250,1494,0,1681,0,0,0
780,31250,1155,0,1673,0,0,0
790,31250,1686,0,1660,0,0,0
800,31250,1261,0,1637,0,0,0
810,31250,1518,0,1621,0,0,0
820,31250,1608,0,1632,0,0,0
830,31250,1563,0,1642,0,0,0
840,31250,1311,0,1676,0,0,0
850,31250,1663,0,1630,0,0,0
860,31250,1411,0,1664,0,0,0
870,31250,1318,0,1657,0,0,0
880,31250,1153,0,1658,0,0,0
890,31250,1627,0,1648,0,0,0
900,31250,1452,0,1681,0,0,0
910,31250,1414,0,1640,0,0,0
920,31250,1386,0,1631,0,0,0
930,31250,1552,0,1654,0,0,0
940,31250,1760,0,1648,0,0,0
950,31250,1705,0,1610,0,0,0
960,31250,1710,0,1629,0,0,0
970,31250,1912,0,1624,0,0,0
980,31250,1384,0,1685,0,0,0
990,31250,1627,0,1619,0,0,0
1000,31250,1667,0,1627,0,0,0
