"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,30632,0,26,0,0,0,0,4,0
1,20,31250,30612,0,42,0,0,0,0,61.5384615384615,0
1,30,31250,30189,0,62,0,0,0,0,47.6190476190476,0
1,40,31250,29685,0,93,0,0,0,0,50,0
1,50,31250,28946,0,125,0,0,0,0,34.4086021505376,0
1,60,31250,28150,0,154,0,0,0,0,23.2,0
1,70,31250,27373,0,232,0,0,0,0,50.6493506493507,0
1,80,31250,25442,0,322,0,0,0,0,38.7931034482759,0
1,90,31250,23335,0,458,0,0,0,0,42.2360248447205,0
1,100,31250,19905,0,647,0,0,0,0,41.2663755458515,0
1,110,31250,15254,0,888,0,0,0,0,37.2488408037094,0
1,120,31250,10297,0,1163,0,0,0,0,30.9684684684685,0
1,130,31250,5865,0,1470,0,0,0,0,26.3972484952709,0
1,140,31250,2257,0,1678,0,0,0,0,14.1496598639456,0
1,150,31250,1387,0,1636,0,0,0,0,-2.50297973778307,0
1,160,31250,1720,0,1613,0,0,0,0,-1.40586797066015,0
1,170,31250,1649,0,1645,0,0,0,0,1.98388096714197,0
1,180,31250,1756,0,1622,0,0,0,0,-1.39817629179331,0
1,190,31250,1661,0,1637,0,0,0,0,0.92478421701603,0
1,200,31250,1372,0,1658,0,0,0,0,1.28283445326817,0
1,210,31250,1740,0,1605,0,1,41,0,-3.19662243667069,0
1,220,31250,1791,0,1570,0,6,67,0,-2.18068535825545,63.4146341463415
1,230,31250,2358,0,1505,0,11,108,0,-4.14012738853503,61.1940298507463
1,240,31250,3163,0,1472,0,9,160,0,-2.19269102990033,48.1481481481481
1,250,31250,3460,0,1456,0,23,260,0,-1.08695652173913,62.5
1,260,31250,4311,0,1206,0,34,445,0,-17.1703296703297,71.1538461538462
1,270,31250,9663,0,840,0,43,649,0,-30.3482587064677,45.8426966292135
1,280,31250,18424,0,314,0,42,759,0,-62.6190476190476,16.9491525423729
1,290,31250,27367,0,57,0,8,452,0,-81.8471337579618,-40.4479578392622
1,300,31250,30344,0,21,0,3,99,0,-63.1578947368421,-78.0973451327434
1,310,31250,30795,0,35,0,0,10,0,66.6666666666667,-89.8989898989899
1,320,31250,30398,0,41,0,0,2,0,17.1428571428571,-80
1,330,31250,30236,0,55,0,0,0,0,34.1463414634146,-100
1,340,31250,29943,0,76,0,0,0,0,38.1818181818182,0
1,350,31250,29385,0,110,0,0,0,0,44.7368421052632,0
1,360,31250,28624,0,140,0,0,0,0,27.2727272727273,0
1,370,31250,27780,0,204,0,0,0,0,45.7142857142857,0
1,380,31250,26324,0,270,0,0,0,0,32.3529411764706,0
1,390,31250,24445,0,373,0,0,0,0,38.1481481481481,0
1,400,31250,21884,0,540,0,0,0,0,44.7721179624665,0
1,410,31250,17666,0,755,0,0,0,0,39.8148148148148,0
1,420,31250,12811,0,1072,0,0,0,0,41.9867549668874,0
1,430,31250,6744,0,1397,0,0,0,0,30.3171641791045,0
1,440,31250,2829,0,1655,0,0,0,0,18.4681460272011,0
1,450,31250,1441,0,1651,0,0,0,0,-0.241691842900302,0
1,460,31250,1405,0,1634,0,0,0,0,-1.02967898243489,0
1,470,31250,1448,0,1713,0,0,0,0,4.83476132190942,0
1,480,31250,1181,0,1620,0,0,0,0,-5.42907180385289,0
1,490,31250,1558,0,1677,0,0,0,0,3.51851851851852,0
1,500,31250,1382,0,1644,0,0,0,0,-1.96779964221825,0
1,510,31250,1585,0,1623,0,0,0,0,-1.27737226277372,0
1,520,31250,1773,0,1656,0,0,0,0,2.03327171903882,0
1,530,31250,1467,0,1626,0,0,0,0,-1.81159420289855,0
1,540,31250,1631,0,1668,0,0,0,0,2.5830258302583,0
1,550,31250,1680,0,1633,0,0,0,0,-2.09832134292566,0
1,560,31250,1439,0,1690,0,0,0,0,3.49050826699326,0
1,570,31250,1622,0,1626,0,0,0,0,-3.78698224852071,0
1,580,31250,1846,0,1617,0,0,0,0,-0.553505535055351,0
1,590,31250,1663,0,1614,0,0,0,0,-0.185528756957328,0
1,600,31250,1518,0,1668,0,0,0,0,3.3457249070632,0
1,610,31250,1559,0,1621,0,0,0,0,-2.81774580335731,0
1,620,31250,1937,0,1600,0,0,0,0,-1.2954966070327,0
1,630,31250,1791,0,1649,0,0,0,0,3.0625,0
1,640,31250,1424,0,1662,0,0,0,0,0.7883565797453,0
1,650,31250,1314,0,1652,0,0,0,0,-0.601684717208183,0
1,660,31250,1631,0,1649,0,0,0,0,-0.181598062953995,0
1,670,31250,1464,0,1643,0,0,0,0,-0.363856882959369,0
1,680,31250,1606,0,1620,0,0,0,0,-1.39987827145466,0
1,690,31250,1641,0,1649,0,0,0,0,1.79012345679012,0
1,700,31250,1643,0,1622,0,0,0,0,-1.63735597331716,0
1,710,31250,1429,0,1659,0,0,0,0,2.28113440197287,0
1,720,31250,1453,0,1688,0,0,0,0,1.74804098854732,0
1,730,31250,1118,0,1676,0,0,0,0,-0.710900473933649,0
1,740,31250,1425,0,1629,0,0,0,0,-2.80429594272076,0
1,750,31250,1940,0,1618,0,0,0,0,-0.675260896255371,0
1,760,31250,1621,0,1684,0,0,0,0,4.07911001236094,0
1,770,31250,1306,0,1656,0,0,0,0,-1.66270783847981,0
1,780,31250,1455,0,1644,0,0,0,0,-0.72463768115942,0
1,790,31250,1589,0,1651,0,0,0,0,0.425790754257908,0
1,800,31250,1133,0,1675,0,0,0,0,1.45366444579043,0
1,810,31250,1412,0,1642,0,0,0,0,-1.97014925373134,0
1,820,31250,1815,0,1641,0,0,0,0,-0.0609013398294763,0
1,830,31250,1582,0,1646,0,0,0,0,0.304692260816575,0
1,840,31250,1548,0,1662,0,0,0,0,0.972053462940462,0
1,850,31250,1481,0,1626,0,0,0,0,-2.16606498194946,0
1,860,31250,1596,0,1611,0,0,0,0,-0.922509225092251,0
1,870,31250,1496,0,1665,0,0,0,0,3.35195530726257,0
1,880,31250,1752,0,1630,0,0,0,0,-2.1021021021021,0
