"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,31250,31250,31250,28763.5,28717.5,28808.4,0,0,0,25.2,24.65,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0.8,-1.2,3,0,0,0
20,20,31250,31250,31250,28711.6,28641.55,28781.55,0,0,0,36.9,34.5,40,0,0,0,0,0,0,0,0,0,0,0,0,46.1272637185681,36.407729468599,56.0919887278582,0,0,0
30,20,31250,31250,31250,27600.8,27315.1,27854.2,0,0,0,50.95,47.75,53.85,0,0,0,0,0,0,0,0,0,0,0,0,39.674404417824,32.6794030034677,47.4051781551782,0,0,0
40,20,31250,31250,31250,26252.5,25951,26560.2,0,0,0,70.4,65.75,75.3,0,0,0,0,0,0,0,0,0,0,0,0,38.3992335125354,34.4395278070554,42.2665418212548,0,0,0
50,20,31250,31250,31250,24366.75,23959.25,24767.2,0,0,0,99.35,93.65,106.05,0,0,0,0,0,0,0,0,0,0,0,0,41.7401558453059,36.8314963546886,46.4181598395312,0,0,0
60,20,31250,31250,31250,21711.4,21172,22236.15,0,0,0,137.9,131.4,144.5,0,0,0,0,0,0,0,0,0,0,0,0,39.6025374218633,34.8526346026899,44.391022364318,0,0,0
70,20,31250,31250,31250,18455.9,17861.65,19068.55,0,0,0,188.5,178.85,198.15,0,0,0,0,0,0,0,0,0,0,0,0,36.9456220400058,33.0399392747942,40.8530276018029,0,0,0
80,20,31250,31250,31250,14617.1,13926.15,15277.1,0,0,0,238.9,228.05,250.55,0,0,0,0,0,0,0,0,0,0,0,0,27.1145710150112,24.1393980048209,30.0203849347724,0,0,0
90,20,31250,31250,31250,11419.4,10806.55,12039.25,0,0,0,288.8,280.2,298.6,0,0,0,0,0,0,0,0,0,0,0,0,21.4151669501527,18.514850307419,24.81052168705,0,0,0
