"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,0,25,0,0,0,0,0,0
1,10,31250,29368,0,24,0,0,0,0,-4,0
1,20,31250,29477,0,39,0,0,0,0,62.5,0
1,30,31250,28299,0,56,0,0,0,0,43.5897435897436,0
1,40,31250,27062,0,74,0,0,0,0,32.1428571428571,0
1,50,31250,25614,0,110,0,0,0,0,48.6486486486486,0
1,60,31250,23001,0,165,0,0,0,0,50,0
1,70,31250,19222,0,209,0,0,0,0,26.6666666666667,0
1,80,31250,16439,0,293,0,0,0,0,40.1913875598086,0
1,90,31250,11825,0,363,0,0,0,0,23.8907849829352,0
1,100,31250,8469,0,448,0,0,0,0,23.4159779614325,0
1,110,31250,5969,0,476,0,0,0,0,6.25,0
1,120,31250,5556,0,491,0,0,0,0,3.15126050420168,0
1,130,31250,4688,0,522,0,0,0,0,6.31364562118126,0
1,140,31250,4204,0,493,0,0,0,0,-5.55555555555556,0
1,150,31250,4764,0,496,0,0,0,0,0.608519269776876,0
1,160,31250,4355,0,497,0,0,0,0,0.201612903225806,0
1,170,31250,4813,0,521,0,0,0,0,4.82897384305835,0
1,180,31250,4269,0,487,0,0,0,0,-6.52591170825336,0
1,190,31250,4860,0,487,0,0,0,0,0,0
1,200,31250,5195,0,500,0,0,0,0,2.6694045174538,0
1,210,31250,4913,0,487,0,2,22,0,-2.6,0
1,220,31250,5317,0,461,0,2,26,0,-5.3388090349076,18.1818181818182
1,230,31250,5584,0,468,0,2,31,0,1.51843817787419,19.2307692307692
1,240,31250,5576,0,468,0,2,34,0,0,9.67741935483871
1,250,31250,5303,0,485,0,2,36,0,3.63247863247863,5.88235294117647
1,260,31250,5552,0,460,0,2,36,0,-5.15463917525773,0
1,270,31250,5750,0,451,0,2,38,0,-1.95652173913043,5.55555555555556
1,280,31250,6236,0,452,0,3,32,0,0.221729490022173,-15.7894736842105
1,290,31250,5846,0,480,0,2,41,0,6.19469026548673,28.125
1,300,31250,5308,0,451,0,0,54,0,-6.04166666666667,31.7073170731707
1,310,31250,6416,0,436,0,1,64,0,-3.32594235033259,18.5185185185185
1,320,31250,7303,0,423,0,5,66,0,-2.98165137614679,3.125
1,330,31250,7855,0,390,0,5,67,0,-7.80141843971631,1.51515151515152
1,340,31250,9088,0,385,0,2,68,0,-1.28205128205128,1.49253731343284
1,350,31250,9275,0,382,0,6,76,0,-0.779220779220779,11.7647058823529
1,360,31250,9304,0,369,0,5,76,0,-3.40314136125654,0
1,370,31250,8801,0,397,0,2,59,0,7.58807588075881,-22.3684210526316
1,380,31250,7988,0,409,0,3,65,0,3.02267002518892,10.1694915254237
1,390,31250,8017,0,396,0,4,65,0,-3.17848410757946,0
1,400,31250,8306,0,396,0,7,64,0,0,-1.53846153846154
1,410,31250,8412,0,407,0,9,71,0,2.77777777777778,10.9375
1,420,31250,8435,0,405,0,6,73,0,-0.491400491400491,2.8169014084507
1,430,31250,8141,0,373,0,7,69,0,-7.90123456790123,-5.47945205479452
1,440,31250,9818,0,372,0,3,71,0,-0.268096514745308,2.89855072463768
1,450,31250,9700,0,377,0,4,63,0,1.34408602150538,-11.2676056338028
1,460,31250,8832,0,379,0,7,66,0,0.530503978779841,4.76190476190476
1,470,31250,9125,0,379,0,5,69,0,0,4.54545454545455
1,480,31250,9506,0,376,0,5,71,0,-0.79155672823219,2.89855072463768
1,490,31250,9549,0,415,0,2,54,0,10.3723404255319,-23.943661971831
1,500,31250,7745,0,388,0,5,56,0,-6.50602409638554,3.7037037037037
1,510,31250,8522,0,407,0,3,46,0,4.89690721649485,-17.8571428571429
1,520,31250,8063,0,407,0,4,55,0,0,19.5652173913043
1,530,31250,7742,0,427,0,1,44,0,4.91400491400491,-20
1,540,31250,7245,0,422,0,4,54,0,-1.17096018735363,22.7272727272727
1,550,31250,7626,0,413,0,6,57,0,-2.13270142180095,5.55555555555556
1,560,31250,7565,0,421,0,2,41,0,1.93704600484262,-28.0701754385965
1,570,31250,7217,0,445,0,3,55,0,5.70071258907363,34.1463414634146
1,580,31250,6783,0,438,0,3,57,0,-1.57303370786517,3.63636363636364
1,590,31250,7281,0,410,0,5,59,0,-6.39269406392694,3.50877192982456
1,600,31250,7457,0,448,0,1,57,0,9.26829268292683,-3.38983050847458
1,610,31250,7128,0,415,0,6,61,0,-7.36607142857143,7.01754385964912
1,620,31250,7515,0,422,0,3,65,0,1.68674698795181,6.55737704918033
1,630,31250,7326,0,397,0,7,65,0,-5.92417061611374,0
1,640,31250,8180,0,411,0,6,56,0,3.5264483627204,-13.8461538461538
1,650,31250,7404,0,416,0,5,63,0,1.21654501216545,12.5
1,660,31250,8081,0,411,0,2,69,0,-1.20192307692308,9.52380952380952
1,670,31250,7436,0,433,0,4,66,0,5.35279805352798,-4.34782608695652
1,680,31250,7087,0,411,0,8,74,0,-5.08083140877598,12.1212121212121
