timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,27864,0,25,0,0,0
20,31250,27595,0,34,0,0,0
30,31250,26171,0,47,0,0,0
40,31250,24562,0,64,0,0,0
50,31250,22168,0,88,0,0,0
60,31250,19846,0,117,0,0,0
70,31250,16556,0,145,0,0,0
80,31250,14038,0,154,0,0,0
90,31250,13187,0,183,0,0,0
100,31250,11810,0,176,0,0,0
110,31250,11628,0,195,0,0,0
120,31250,10431,0,189,0,0,0
130,31250,10354,0,192,0,0,0
140,31250,10144,0,211,0,0,0
150,31250,9464,0,191,0,0,0
160,31250,10146,0,192,0,0,0
170,31250,10197,0,190,0,0,0
180,31250,10598,0,198,0,0,0
190,31250,9973,0,214,0,0,0
200,31250,8724,0,210,0,0,0
210,31250,9968,0,185,0,2,21
220,31250,11161,0,190,0,0,11
230,31250,10985,0,189,0,1,8
240,31250,11108,0,186,0,1,6
250,31250,10542,0,197,0,1,4
260,31250,10432,0,193,0,0,4
270,31250,10377,0,185,0,0,2
280,31250,10861,0,213,0,0,0
290,31250,9565,0,196,0,0,0
300,31250,10062,0,201,0,0,0
310,31250,9917,0,205,0,0,0
320,31250,9779,0,195,0,0,0
330,31250,10331,0,204,0,0,0
340,31250,10006,0,192,0,0,0
350,31250,10950,0,193,0,0,0
360,31250,10898,0,188,0,0,0
370,31250,11045,0,188,0,0,0
380,31250,11046,0,194,0,0,0
390,31250,10727,0,214,0,0,0
400,31250,9769,0,188,0,0,0
410,31250,10877,0,190,0,0,0
420,31250,10790,0,192,0,0,0
430,31250,10656,0,213,0,0,0
440,31250,9220,0,217,0,0,0
450,31250,8896,0,206,0,0,0
460,31250,10401,0,187,0,0,0
470,31250,11250,0,188,0,0,0
480,31250,11114,0,189,0,0,0
490,31250,11178,0,181,0,0,0
500,31250,10923,0,200,0,0,0
510,31250,10100,0,197,0,0,0
520,31250,10217,0,201,0,0,0
530,31250,10421,0,192,0,0,0
540,31250,10910,0,193,0,0,0
550,31250,11005,0,198,0,0,0
560,31250,10737,0,195,0,0,0
570,31250,10325,0,194,0,0,0
580,31250,10696,0,193,0,0,0
590,31250,11027,0,190,0,0,0
600,31250,10574,0,188,0,0,0
610,31250,10431,0,198,0,0,0
620,31250,10463,0,199,0,0,0
630,31250,9638,0,194,0,0,0
640,31250,10412,0,192,0,0,0
650,31250,10336,0,206,0,0,0
660,31250,9659,0,203,0,0,0
670,31250,9337,0,210,0,0,0
680,31250,9604,0,193,0,0,0
690,31250,10903,0,205,0,0,0
700,31250,9935,0,196,0,0,0
710,31250,10466,0,192,0,0,0
720,31250,10460,0,189,0,0,0
730,31250,10872,0,194,0,0,0
740,31250,10217,0,206,0,0,0
750,31250,9926,0,202,0,0,0
760,31250,9762,0,196,0,0,0
770,31250,10938,0,199,0,0,0
780,31250,10313,0,190,0,0,0
790,31250,11186,0,185,0,0,0
800,31250,11070,0,185,0,0,0
810,31250,11276,0,183,0,0,0
820,31250,10879,0,198,0,0,0
830,31250,9930,0,187,0,0,0
840,31250,10779,0,194,0,0,0
850,31250,10210,0,210,0,0,0
860,31250,9394,0,223,0,0,0
870,31250,9076,0,197,0,0,0
880,31250,10608,0,184,0,0,0
890,31250,10983,0,198,0,0,0
900,31250,10275,0,210,0,0,0
910,31250,9968,0,190,0,0,0
920,31250,11256,0,181,0,0,0
930,31250,11438,0,186,0,0,0
940,31250,10821,0,193,0,0,0
950,31250,10445,0,203,0,0,0
960,31250,9526,0,203,0,0,0
970,31250,9267,0,203,0,0,0
980,31250,9701,0,208,0,0,0
990,31250,9095,0,210,0,0,0
1000,31250,8693,0,216,0,0,0
