"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29352.55,29314.05,29392.8,29333.65,29298.7,29365.7,25.65,24.9,26.5,25.6,24.9,26.4,0,0,0,0,0,0,0,0,0,2.6,-0.4,5.8,2.4,-0.2,5.4,0,0,0
20,20,29306.5,29247.9,29357.55,29321.4,29259.6,29382.35,37.15,34.8,39.35,38.45,36.1,40.85,0,0,0,0,0,0,0,0,0,45.2929147910782,36.2727759288854,54.7618451763129,50.4605920940629,41.2593311860553,60.4100869894723,0,0,0
30,20,28457.7,28272.45,28627.7,28380.35,28212.4,28553.8,54.4,51.55,57.35,52.75,49.2,56.2,0,0,0,0,0,0,0,0,0,47.489776294247,40.8126558207679,53.792146308429,37.4772140182767,32.8486960579111,42.3731589033326,0,0,0
40,20,27224.55,27005.05,27435.25,27297.9,27050.85,27533.55,76.5,72.95,80.15,75.45,70.7,80.4,0,0,0,0,0,0,0,0,0,41.1587912050817,36.5067698769489,45.5947041509201,43.5229973845616,38.8335515359521,48.0651035815171,0,0,0
50,20,25551.1,25267.4,25811.8,25605.75,25264,25933.55,110,104.7,115.45,106.45,99.75,112.25,0,0,0,0,0,0,0,0,0,44.1596011738293,39.3719048431479,49.4572664196688,41.5310507631189,36.4494063075203,47.0875028092624,0,0,0
60,20,23116.85,22697,23497.75,23384.65,22909.65,23880,156.1,148.4,163.75,151.1,142.25,159.9,0,0,0,0,0,0,0,0,0,42.066057165488,38.9248986026572,44.9979016914946,42.3731021157035,38.5294380247321,45.9794468030355,0,0,0
70,20,19888,19349.7,20425.25,20292.1,19687.6,20905.95,215.65,206.2,224.25,208.8,195.85,220.7,0,0,0,0,0,0,0,0,0,38.4405470903368,36.2078147473066,40.5840042547864,38.4799549938785,35.1459135146154,41.7587575482253,0,0,0
80,20,16123.3,15490.6,16753.65,16517.55,15835.7,17228.15,292.85,279.4,306.15,284.8,269.5,298.9,0,0,0,0,0,0,0,0,0,35.9214877868959,33.3646667266076,38.7165961046264,36.8059040250852,34.3557359638377,39.2897157015102,0,0,0
90,20,12005.05,11346.35,12658.85,12322.65,11628.8,12990.5,376.45,363.55,388.7,367.7,356.05,378.45,0,0,0,0,0,0,0,0,0,28.9778845344824,26.3695411280999,31.8180975075132,29.9157731917906,26.3354736767391,33.0301469482807,0,0,0
100,20,8305.5,7769.25,8831.65,8807.55,8374.4,9276.55,443.65,435.25,453.1,430.1,420.15,439.65,0,0,0,0,0,0,0,0,0,18.2962772643758,15.3951235796909,21.2407981373183,17.2695725553802,15.1052977716569,19.4365762001259,0,0,0
110,20,6089.95,5805.4,6386,6572,6229.25,6898.65,485,476.25,494.7,476.5,469.1,483.4,0,0,0,0,0,0,0,0,0,9.48768565434931,6.97651910223069,12.1084201077683,10.8957237746377,9.31711985937445,12.2508147114047,0,0,0
120,20,5064.35,4806.95,5298.2,5210.8,5006.5,5418.2,496.9,490.8,502.55,501.05,495.3,506.85,0,0,0,0,0,0,0,0,0,2.65071799634796,0.471938043286508,5.12014769205581,5.23668911267482,3.87036548947507,6.66728464908682,0,0,0
130,20,4742.6,4566.8,4925.5,4547.15,4408.5,4687.8,496.6,491.7,501.7,503.15,497.95,508.6,0,0,0,0,0,0,0,0,0,-0.0109346093449224,-1.34185497304769,1.18781124547446,0.475787590404638,-0.984357997049609,1.841340446892,0,0,0
140,20,4695.7,4515.05,4861.45,4545,4428.75,4666.5,496.85,491.55,501.6,499.1,493,505.1,0,0,0,0,0,0,0,0,0,0.106581185695677,-1.15401810879946,1.60077268132221,-0.730775713851327,-2.48934753173681,1.02601838685612,0,0,0
150,20,4630.6,4458.2,4826.9,4546.7,4381.75,4727.05,497.7,492.85,502.05,505.3,500.2,510.5,0,0,0,0,0,0,0,0,0,0.224945201712629,-1.20750498103454,1.47713209320229,1.32346507688758,-0.308417408649084,2.75872336857039,0,0,0
160,20,4620.95,4444.2,4794.55,4445.85,4295.95,4600.55,504.9,499,510.35,501.8,494.75,508.4,0,0,0,0,0,0,0,0,0,1.48104833724106,0.176698239565519,2.80455608359757,-0.658001306351854,-2.04324972439421,0.748924888353129,0,0,0
170,20,4445.95,4296.8,4578.8,4576.65,4356.75,4791.15,501,495.8,506.35,502.4,495.85,507.95,0,0,0,0,0,0,0,0,0,-0.715522178142797,-2.3663005262801,0.809827700648821,0.193124276359413,-1.31867440042978,1.68973999716385,0,0,0
