"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,25,25,0,0,0,0,0,0
1,10,29244,29149,30,29,0,0,0,20,16,0
1,20,29163,29235,40,37,0,0,0,33.3333333333333,27.5862068965517,0
1,30,28093,28361,64,57,0,0,0,60,54.0540540540541,0
1,40,26413,27014,92,75,0,0,0,43.75,31.5789473684211,0
1,50,24403,25499,115,106,0,0,0,25,41.3333333333333,0
1,60,22694,23478,172,149,0,0,0,49.5652173913044,40.5660377358491,0
1,70,18649,20226,242,209,0,0,0,40.6976744186046,40.2684563758389,0
1,80,14604,16414,328,293,0,0,0,35.5371900826446,40.1913875598086,0
1,90,10526,11922,414,375,0,0,0,26.219512195122,27.9863481228669,0
1,100,7000,8814,439,432,0,0,0,6.03864734299517,15.2,0
1,110,6354,6862,508,469,0,0,0,15.7175398633257,8.56481481481481,0
1,120,4630,5736,474,492,0,0,0,-6.69291338582677,4.90405117270789,0
1,130,5416,4936,487,492,0,0,0,2.74261603375527,0,0
1,140,4978,4619,499,508,0,0,0,2.46406570841889,3.2520325203252,0
1,150,4685,4248,495,529,0,0,0,-0.801603206412826,4.13385826771654,0
1,160,4260,4167,524,508,0,0,0,5.85858585858586,-3.96975425330813,0
1,170,4444,4041,511,527,0,0,0,-2.48091603053435,3.74015748031496,0
1,180,4364,4156,464,490,0,0,0,-9.19765166340509,-7.02087286527514,0
1,190,5339,4905,517,485,0,0,0,11.4224137931034,-1.02040816326531,0
1,200,4656,4811,503,512,0,0,0,-2.70793036750484,5.56701030927835,0
1,210,4941,4840,482,473,1,0,35,-4.17495029821074,-7.6171875,0
1,220,5466,5293,463,469,1,3,55,-3.94190871369295,-0.845665961945032,57.1428571428571
1,230,5997,5971,437,457,6,1,86,-5.61555075593953,-2.55863539445629,56.3636363636364
1,240,7468,6496,437,420,8,4,158,0,-8.09628008752735,83.7209302325581
1,250,7884,9161,373,362,6,10,233,-14.6453089244851,-13.8095238095238,47.4683544303797
1,260,11913,11975,261,267,14,8,361,-30.0268096514745,-26.2430939226519,54.9356223175966
1,270,18614,18769,135,129,11,9,378,-48.2758620689655,-51.685393258427,4.70914127423823
1,280,24977,25320,68,65,4,4,244,-49.6296296296296,-49.6124031007752,-35.4497354497354
1,290,27402,27613,47,45,1,2,114,-30.8823529411765,-30.7692307692308,-53.2786885245902
1,300,28350,28414,39,34,1,2,39,-17.0212765957447,-24.4444444444444,-65.7894736842105
1,310,28566,28528,55,61,0,0,6,41.025641025641,79.4117647058823,-84.6153846153846
1,320,27100,26819,62,83,0,0,7,12.7272727272727,36.0655737704918,16.6666666666667
1,330,26450,25088,113,116,0,0,3,82.258064516129,39.7590361445783,-57.1428571428571
1,340,23038,22753,140,154,0,0,3,23.8938053097345,32.7586206896552,0
1,350,21020,19960,209,231,0,0,3,49.2857142857143,50,0
1,360,16843,14626,285,316,0,0,2,36.3636363636364,36.7965367965368,-33.3333333333333
1,370,12890,10368,329,416,0,0,5,15.4385964912281,31.6455696202532,150
1,380,10550,7170,378,446,0,0,7,14.8936170212766,7.21153846153846,40
1,390,8424,6725,472,476,0,1,12,24.8677248677249,6.72645739910314,71.4285714285714
1,400,5720,5314,484,474,1,1,17,2.54237288135593,-0.420168067226891,41.6666666666667
1,410,5027,4959,489,495,0,2,26,1.03305785123967,4.43037974683544,52.9411764705882
1,420,5156,4478,502,498,3,3,35,2.65848670756646,0.606060606060606,34.6153846153846
1,430,4686,5022,479,485,3,1,66,-4.58167330677291,-2.61044176706827,88.5714285714286
1,440,5479,5168,463,469,5,5,111,-3.34029227557411,-3.29896907216495,68.1818181818182
1,450,6604,6679,411,397,13,7,179,-11.2311015118791,-15.3518123667377,61.2612612612613
1,460,9376,10494,315,310,4,9,287,-23.3576642335766,-21.9143576826196,60.3351955307263
1,470,14702,15617,199,178,13,12,365,-36.8253968253968,-42.5806451612903,27.1777003484321
1,480,21661,22446,100,81,3,7,339,-49.748743718593,-54.4943820224719,-7.12328767123288
1,490,26436,27126,44,49,2,5,173,-56,-39.5061728395062,-48.9675516224189
1,500,28930,28232,26,46,1,2,74,-40.9090909090909,-6.12244897959184,-57.2254335260116
1,510,29468,27968,35,47,1,0,16,34.6153846153846,2.17391304347826,-78.3783783783784
1,520,28685,27732,38,71,0,1,5,8.57142857142857,51.063829787234,-68.75
1,530,28473,26091,51,89,0,0,1,34.2105263157895,25.3521126760563,-80
1,540,27469,24494,69,121,0,0,0,35.2941176470588,35.9550561797753,-100
1,550,26289,22260,91,164,0,0,0,31.8840579710145,35.5371900826446,0
1,560,24255,19374,139,251,0,0,0,52.7472527472527,53.0487804878049,0
1,570,21006,13682,186,344,0,0,0,33.8129496402878,37.0517928286853,0
1,580,17642,9437,260,405,0,0,0,39.7849462365591,17.7325581395349,0
