"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,25,25,0,0,0,0,0,0
1,10,29339,29433,27,24,0,0,0,8,-4,0
1,20,29248,29454,40,50,0,0,0,48.1481481481481,108.333333333333,0
1,30,28309,27496,59,78,0,0,0,47.5,56,0
1,40,26901,25470,67,134,0,0,0,13.5593220338983,71.7948717948718,0
1,50,25976,21515,105,200,0,0,0,56.7164179104478,49.2537313432836,0
1,60,23619,17197,162,318,0,0,0,54.2857142857143,59,0
1,70,19425,10854,227,436,0,0,0,40.1234567901235,37.1069182389937,0
1,80,15523,6397,295,494,0,0,0,29.9559471365639,13.302752293578,0
1,90,11843,4400,375,491,0,0,0,27.1186440677966,-0.607287449392713,0
1,100,8467,4574,449,536,0,0,0,19.7333333333333,9.16496945010183,0
1,110,6010,4083,474,500,0,0,0,5.56792873051225,-6.71641791044776,0
1,120,4747,4227,505,540,0,0,0,6.54008438818565,8,0
1,130,4186,3545,505,549,0,0,0,0,1.66666666666667,0
1,140,4625,4172,525,465,0,0,0,3.96039603960396,-15.3005464480874,0
1,150,4021,5283,494,524,0,0,0,-5.90476190476191,12.6881720430108,0
1,160,4887,3754,484,534,0,0,0,-2.02429149797571,1.90839694656489,0
1,170,5348,4206,507,513,0,0,0,4.75206611570248,-3.93258426966292,0
1,180,4222,3749,497,508,0,0,0,-1.9723865877712,-0.974658869395711,0
1,190,4451,4067,516,556,0,0,0,3.82293762575453,9.44881889763779,0
1,200,3959,3582,507,536,0,0,0,-1.74418604651163,-3.59712230215827,0
1,210,4914,4251,481,496,3,2,37,-5.12820512820513,-7.46268656716418,0
1,220,5754,5108,462,493,2,2,59,-3.95010395010395,-0.604838709677419,59.4594594594595
1,230,6254,5319,438,471,3,4,100,-5.19480519480519,-4.46247464503043,69.4915254237288
1,240,7419,5939,391,430,2,8,152,-10.7305936073059,-8.70488322717622,52
1,250,9451,8162,386,408,9,8,226,-1.27877237851662,-5.11627906976744,48.6842105263158
1,260,11625,10050,253,349,9,8,340,-34.4559585492228,-14.4607843137255,50.4424778761062
1,270,18262,13951,149,235,10,10,416,-41.1067193675889,-32.6647564469914,22.3529411764706
1,280,23991,20154,61,134,7,12,353,-59.0604026845638,-42.9787234042553,-15.1442307692308
1,290,28161,24880,32,85,3,3,196,-47.5409836065574,-36.5671641791045,-44.4759206798867
1,300,29419,26344,25,63,0,4,72,-21.875,-25.8823529411765,-63.265306122449
1,310,29521,27105,37,103,0,2,16,48,63.4920634920635,-77.7777777777778
1,320,28652,23396,51,178,0,0,5,37.8378378378378,72.8155339805825,-68.75
1,330,27454,18588,68,239,0,0,3,33.3333333333333,34.2696629213483,-40
1,340,26237,14797,106,381,0,0,2,55.8823529411765,59.4142259414226,-33.3333333333333
1,350,23238,8329,135,441,0,1,3,27.3584905660377,15.748031496063,50
1,360,21378,6020,211,479,0,2,5,56.2962962962963,8.61678004535147,66.6666666666667
1,370,16644,4972,279,528,0,0,6,32.2274881516588,10.2296450939457,20
1,380,12644,3979,369,516,0,0,12,32.258064516129,-2.27272727272727,100
1,390,9101,4292,419,513,1,2,17,13.550135501355,-0.581395348837209,41.6666666666667
1,400,6999,4502,440,492,0,0,23,5.01193317422434,-4.09356725146199,35.2941176470588
1,410,6134,4857,483,505,0,3,29,9.77272727272727,2.64227642276423,26.0869565217391
1,420,5382,4371,459,507,2,1,48,-4.96894409937888,0.396039603960396,65.5172413793103
1,430,6509,5192,429,460,1,1,85,-6.5359477124183,-9.27021696252466,77.0833333333333
1,440,7657,6635,424,461,3,3,130,-1.16550116550117,0.217391304347826,52.9411764705882
1,450,8373,6970,357,455,6,8,219,-15.8018867924528,-1.30151843817787,68.4615384615385
1,460,11990,8020,273,346,11,14,342,-23.5294117647059,-23.956043956044,56.1643835616438
1,470,17507,13803,165,229,11,11,391,-39.5604395604396,-33.8150289017341,14.327485380117
1,480,23873,20774,72,120,5,10,352,-56.3636363636364,-47.5982532751092,-9.97442455242967
1,490,27668,25418,33,78,4,1,174,-54.1666666666667,-35,-50.5681818181818
1,500,29053,26452,33,99,2,4,61,0,26.9230769230769,-64.9425287356322
1,510,29107,24682,37,106,1,1,34,12.1212121212121,7.07070707070707,-44.2622950819672
1,520,28632,23987,52,156,1,2,15,40.5405405405405,47.1698113207547,-55.8823529411765
1,530,27627,19941,69,235,0,0,13,32.6923076923077,50.6410256410256,-13.3333333333333
1,540,26056,15355,92,343,0,1,8,33.3333333333333,45.9574468085106,-38.4615384615385
1,550,24155,9785,139,466,0,1,10,51.0869565217391,35.8600583090379,25
1,560,21071,5304,192,486,0,1,21,38.1294964028777,4.29184549356223,110
1,570,17684,4880,254,481,2,2,41,32.2916666666667,-1.02880658436214,95.2380952380952
1,580,14545,5077,313,503,2,3,52,23.2283464566929,4.57380457380457,26.8292682926829
1,590,11318,5121,358,465,3,7,87,14.3769968051118,-7.55467196819085,67.3076923076923
1,600,9988,5973,380,468,3,6,111,6.14525139664805,0.645161290322581,27.5862068965517
1,610,9740,6349,360,451,3,8,192,-5.26315789473684,-3.63247863247863,72.972972972973
1,620,11545,8410,306,357,10,11,255,-15,-20.8425720620843,32.8125
1,630,15324,11706,214,315,9,10,320,-30.0653594771242,-11.7647058823529,25.4901960784314
1,640,20300,15042,135,233,7,14,360,-36.9158878504673,-26.031746031746,12.5
1,650,24737,19955,62,138,4,6,291,-54.0740740740741,-40.7725321888412,-19.1666666666667
1,660,28123,23763,39,115,2,3,164,-37.0967741935484,-16.6666666666667,-43.6426116838488
1,670,29267,24673,27,94,1,5,86,-30.7692307692308,-18.2608695652174,-47.5609756097561
1,680,29361,25200,43,127,0,2,38,59.2592592592593,35.1063829787234,-55.8139534883721
1,690,28039,22033,50,177,0,2,17,16.2790697674419,39.3700787401575,-55.2631578947368
1,700,27440,18676,68,273,1,1,12,36,54.2372881355932,-29.4117647058824
1,710,26255,13013,86,376,0,1,9,26.4705882352941,37.7289377289377,-25
1,720,24743,8626,123,454,0,1,9,43.0232558139535,20.7446808510638,0
1,730,22412,5871,169,494,0,0,12,37.3983739837398,8.81057268722467,33.3333333333333
1,740,19016,4571,223,531,0,2,13,31.9526627218935,7.48987854251012,8.33333333333333
1,750,16011,3513,299,511,1,0,15,34.0807174887892,-3.76647834274953,15.3846153846154
1,760,11958,4257,350,527,1,0,21,17.056856187291,3.13111545988258,40
1,770,9697,4363,422,477,1,0,37,20.5714285714286,-9.4876660341556,76.1904761904762
1,780,7586,5479,430,527,0,1,53,1.8957345971564,10.482180293501,43.2432432432432
1,790,7316,4323,436,470,2,6,85,1.3953488372093,-10.8159392789374,60.377358490566
1,800,7525,5815,434,455,6,10,128,-0.458715596330275,-3.19148936170213,50.5882352941176
1,810,7951,6937,365,410,4,8,210,-15.8986175115207,-9.89010989010989,64.0625
1,820,11640,9187,285,356,8,10,309,-21.9178082191781,-13.1707317073171,47.1428571428571
1,830,16102,13524,178,254,19,14,398,-37.5438596491228,-28.6516853932584,28.8025889967638
1,840,22911,19104,78,143,5,11,390,-56.1797752808989,-43.7007874015748,-2.01005025125628
1,850,27794,24404,36,72,5,7,203,-53.8461538461538,-49.6503496503497,-47.9487179487179
1,860,29004,26962,34,64,0,3,63,-5.55555555555556,-11.1111111111111,-68.9655172413793
1,870,28799,26780,41,101,2,0,22,20.5882352941176,57.8125,-65.0793650793651
1,880,28335,23879,62,142,1,0,8,51.219512195122,40.5940594059406,-63.6363636363636
1,890,26781,21076,80,229,0,0,7,29.0322580645161,61.2676056338028,-12.5
1,900,25342,15464,102,317,1,0,6,27.5,38.4279475982533,-14.2857142857143
1,910,23622,10715,151,403,0,0,5,48.0392156862745,27.1293375394322,-16.6666666666667
1,920,20392,7227,197,527,0,0,4,30.4635761589404,30.7692307692308,-20
1,930,17195,4246,290,497,0,0,5,47.2081218274112,-5.69259962049336,25
1,940,11576,4439,347,492,2,0,12,19.6551724137931,-1.00603621730382,140
1,950,9968,5016,400,532,0,0,27,15.2737752161383,8.13008130081301,125
1,960,7724,3958,474,476,1,3,49,18.5,-10.5263157894737,81.4814814814815
1,970,5468,5963,444,471,6,1,90,-6.32911392405063,-1.05042016806723,83.6734693877551
1,980,6591,5732,420,468,3,6,135,-5.40540540540541,-0.636942675159236,50
1,990,7888,6794,400,443,8,6,201,-4.76190476190476,-5.34188034188034,48.8888888888889
1,1000,9575,8691,337,329,9,16,314,-15.75,-25.7336343115124,56.2189054726368
2,0,31250,31250,25,25,0,0,0,0,0,0
2,10,29436,29459,23,22,0,0,0,-8,-12,0
2,20,29602,29445,30,46,0,0,0,30.4347826086957,109.090909090909,0
2,30,28948,27759,43,65,0,0,0,43.3333333333333,41.304347826087,0
2,40,28095,26431,67,107,0,0,0,55.8139534883721,64.6153846153846,0
2,50,26115,23574,88,177,0,0,0,31.3432835820896,65.4205607476636,0
2,60,24526,18503,128,282,0,0,0,45.4545454545455,59.3220338983051,0
2,70,22091,12454,186,393,0,0,0,45.3125,39.3617021276596,0
2,80,17768,8173,252,459,0,0,0,35.4838709677419,16.793893129771,0
2,90,14078,5459,333,505,0,0,0,32.1428571428571,10.0217864923747,0
2,100,10295,4128,400,532,0,0,0,20.1201201201201,5.34653465346535,0
2,110,7154,3751,475,520,0,0,0,18.75,-2.25563909774436,0
2,120,4716,4427,505,515,0,0,0,6.31578947368421,-0.961538461538462,0
2,130,4045,4071,530,519,0,0,0,4.95049504950495,0.776699029126214,0
2,140,4246,4665,497,500,0,0,0,-6.22641509433962,-3.66088631984586,0
2,150,4841,4600,507,544,0,0,0,2.01207243460765,8.8,0
2,160,5081,3726,504,506,0,0,0,-0.591715976331361,-6.98529411764706,0
2,170,4550,4702,493,521,0,0,0,-2.18253968253968,2.96442687747036,0
2,180,4678,4185,500,513,0,0,0,1.41987829614604,-1.53550863723608,0
2,190,4767,4216,489,528,0,0,0,-2.2,2.92397660818713,0
2,200,4756,3740,493,533,0,0,0,0.81799591002045,0.946969696969697,0
2,210,4823,3792,473,505,3,2,35,-4.05679513184584,-5.25328330206379,0
2,220,5768,5081,462,501,2,2,57,-2.32558139534884,-0.792079207920792,62.8571428571429
2,230,5950,5450,450,455,2,2,87,-2.5974025974026,-9.18163672654691,52.6315789473684
2,240,6842,6540,446,438,1,5,143,-0.888888888888889,-3.73626373626374,64.367816091954
2,250,7697,7857,384,387,10,11,223,-13.9013452914798,-11.6438356164384,55.9440559440559
2,260,10691,10554,297,350,10,10,341,-22.65625,-9.56072351421189,52.914798206278
2,270,15867,13924,177,248,10,14,415,-40.4040404040404,-29.1428571428571,21.7008797653959
2,280,22950,19625,90,127,7,8,383,-49.1525423728814,-48.7903225806452,-7.71084337349398
2,290,27088,25137,41,60,4,3,208,-54.4444444444444,-52.755905511811,-45.6919060052219
2,300,29178,27583,18,58,1,3,80,-56.0975609756098,-3.33333333333333,-61.5384615384615
2,310,30211,27419,15,94,0,2,25,-16.6666666666667,62.0689655172414,-68.75
2,320,30266,24244,19,137,0,0,6,26.6666666666667,45.7446808510638,-76
2,330,29850,21142,23,238,0,0,2,21.0526315789474,73.7226277372263,-66.6666666666667
2,340,29598,14757,40,354,0,0,0,73.9130434782609,48.7394957983193,-100
2,350,28261,9307,48,451,0,0,0,20,27.4011299435028,0
2,360,27441,5909,67,497,0,0,0,39.5833333333333,10.19955654102,0
2,370,26393,4383,98,519,0,0,0,46.2686567164179,4.42655935613682,0
2,380,24057,3972,138,510,0,0,0,40.8163265306122,-1.73410404624277,0
2,390,21197,4067,202,519,0,0,0,46.3768115942029,1.76470588235294,0
2,400,16861,4177,276,527,0,0,0,36.6336633663366,1.54142581888247,0
2,410,12554,4049,370,522,0,0,0,34.0579710144928,-0.94876660341556,0
2,420,8411,4719,437,498,0,0,0,18.1081081081081,-4.59770114942529,0
2,430,6079,4653,489,518,0,0,0,11.8993135011442,4.01606425702811,0
2,440,4803,4557,507,509,0,0,0,3.68098159509202,-1.73745173745174,0
2,450,4296,4380,497,503,0,0,0,-1.9723865877712,-1.17878192534381,0
2,460,4938,4498,477,512,0,0,0,-4.02414486921529,1.78926441351889,0
2,470,4737,4281,506,517,0,0,0,6.07966457023061,0.9765625,0
2,480,4629,3887,487,524,0,0,0,-3.75494071146245,1.35396518375242,0
2,490,4960,3678,510,517,0,0,0,4.72279260780287,-1.33587786259542,0
2,500,4369,4150,508,543,0,0,0,-0.392156862745098,5.02901353965184,0
2,510,4406,3213,516,513,0,0,0,1.5748031496063,-5.52486187845304,0
2,520,4498,4059,496,534,0,0,0,-3.87596899224806,4.09356725146199,0
2,530,4586,3998,491,510,0,0,0,-1.00806451612903,-4.49438202247191,0
2,540,4531,4273,510,520,0,0,0,3.86965376782077,1.96078431372549,0
2,550,4083,4629,517,505,0,0,0,1.37254901960784,-2.88461538461538,0
2,560,4402,4124,504,532,0,0,0,-2.51450676982592,5.34653465346535,0
2,570,4468,3604,491,529,0,0,0,-2.57936507936508,-0.56390977443609,0
2,580,5210,3621,473,514,0,0,0,-3.66598778004073,-2.83553875236295,0
2,590,5980,4353,487,543,0,0,0,2.95983086680761,5.6420233463035,0
