"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29386.7,29362.85,29407.45,29400.2,29367.9,29427.8,25.15,24.6,25.75,25.6,24.45,26.8,0,0,0,0,0,0,0,0,0,0.6,-1.8,3,2.4,-2.2,7.6,0,0,0
20,20,29352.45,29306.95,29401.05,29329.55,29230.75,29418.5,37.4,35.35,39.65,48,44.6,51.35,0,0,0,0,0,0,0,0,0,48.7373882960839,41.2210879297836,56.0867928367928,87.5947450946964,76.7728512627219,98.4344470046081,0,0,0
30,20,28452.25,28291.9,28591.35,27619.3,27344.55,27877.65,53.1,50.65,55.35,79.3,73.6,84,0,0,0,0,0,0,0,0,0,43.4735903955588,36.3162421387888,51.9724622694487,66.5928307892373,58.2643832823316,75.1288732814647,0,0,0
40,20,27294.6,27107.85,27491.75,25321.05,24906.6,25724.7,75.1,72.05,78.1,131.85,123.25,140.7,0,0,0,0,0,0,0,0,0,42.1312122719631,36.1950606449423,47.5667552027207,66.5561682551101,62.4354364851448,70.6415738203539,0,0,0
50,20,25617.45,25368.4,25858.25,21627,21012.65,22252.3,105.85,101.15,110.3,205.75,192.5,219.2,0,0,0,0,0,0,0,0,0,41.1951387883444,37.3327354247404,44.9239004765478,56.2406741351247,51.6681550307434,60.5732299458627,0,0,0
60,20,23442.4,23100.1,23782.75,16775.7,15889.35,17605.45,151.95,144.6,160.05,316.75,298.7,332.1,0,0,0,0,0,0,0,0,0,43.4628915791767,39.7201328897002,46.4970993489012,54.9794776301726,50.8846448795622,59.5495717313574,0,0,0
70,20,20250.85,19695.7,20772.8,10775.05,9960.9,11602.95,210.35,201.8,219.6,436.4,420,452.45,0,0,0,0,0,0,0,0,0,38.9414135423747,35.8656708044395,41.7592678710619,38.5889411692528,34.5265606370971,41.9988550150032,0,0,0
80,20,16357.9,15824.9,16846.9,6382.6,5746.55,6985.7,282.85,270.75,295.7,488,479.7,496.25,0,0,0,0,0,0,0,0,0,34.5944097742277,31.9486907394524,36.9268747716252,12.4530973992542,9.35094129812216,15.8668526461448,0,0,0
90,20,12489.25,11921.4,13025.1,4911.6,4692.4,5128.25,368.65,357.6,380.15,505.6,496.7,514.2,0,0,0,0,0,0,0,0,0,30.7076835167473,28.5533029731232,32.761048443364,3.72772213301582,1.15724971881144,5.9658272383624,0,0,0
