"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29378.4,29348.2,29405.1,29367.25,29335.05,29396.9,25.2,24.4,25.95,24.9,24.2,25.65,0,0,0,0,0,0,0,0,0,0.8,-2.4,4,-0.4,-3.4,2.8,0,0,0
20,20,29361.85,29306.4,29424.65,29381.5,29305.5,29456.1,36,34.05,37.85,37.2,35.2,39.2,0,0,0,0,0,0,0,0,0,43.4042084726867,36.2785165719948,51.985347985348,49.8216648086213,41.4199646971386,58.1027839712622,0,0,0
30,20,28553.75,28419.5,28685.25,28446.15,28278.5,28604.45,53.4,50.85,56.15,52.3,49.3,55.2,0,0,0,0,0,0,0,0,0,49.7886775953938,41.409854470901,59.2784570316087,40.889112679261,35.5171178517392,46.9890646880527,0,0,0
40,20,27270.9,27108.95,27440.35,27355,27104.5,27597.15,74.7,71.35,78.15,74.35,70.25,78.3,0,0,0,0,0,0,0,0,0,40.8473637691752,34.7259500509591,48.6128933328222,42.727319284698,38.7814430986711,46.6941349349489,0,0,0
50,20,25654.1,25349.3,25935.85,25750.65,25459.75,26030.85,107.1,102.35,111.85,106.45,100.7,111.65,0,0,0,0,0,0,0,0,0,43.635957335117,40.018948347104,47.503102290347,43.8522852453571,38.035471210084,49.5551601842549,0,0,0
60,20,23335.3,22998.05,23699.75,23363.45,22920.95,23776.55,149.75,144.05,155,149.1,140.15,157.6,0,0,0,0,0,0,0,0,0,40.2993897051545,36.8342892053912,43.5562603347787,40.0768303475494,36.7569675408093,43.1659558761053,0,0,0
70,20,20293.2,19929.35,20675.3,20414.9,19845.2,20998.25,209.65,201.25,218.7,211.3,199.8,221.55,0,0,0,0,0,0,0,0,0,40.1516078990796,36.5099277627753,43.5319531701864,42.0108843863462,39.6351475308965,44.4312229942758,0,0,0
80,20,16473.25,15882.55,16989.5,16365.8,15698.05,17063.15,289.7,277.85,300.85,281.25,267.15,295.55,0,0,0,0,0,0,0,0,0,38.2652488826417,36.2952354713179,40.5994873246762,33.2466622229734,30.6483235745297,36.1570847148003,0,0,0
90,20,11970.85,11395.4,12569.6,12459.75,11701.85,13271.65,371.75,360.9,381.95,368.8,352.2,382.85,0,0,0,0,0,0,0,0,0,28.7497454646584,26.0613693011413,31.6525690620362,31.5964276891374,28.7954137825658,34.4919924994496,0,0,0
