"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,25,25,0,0,0,0,0,0
1,10,29307,29291,28,24,0,0,0,12,-4,0
1,20,29087,29396,40,41,0,0,0,42.8571428571429,70.8333333333333,0
1,30,28224,28093,53,53,0,0,0,32.5,29.2682926829268,0
1,40,27317,27235,73,81,0,0,0,37.7358490566038,52.8301886792453,0
1,50,26007,25181,99,113,0,0,0,35.6164383561644,39.5061728395062,0
1,60,23905,22981,155,170,0,0,0,56.5656565656566,50.4424778761062,0
1,70,19801,18879,219,231,0,0,0,41.2903225806452,35.8823529411765,0
1,80,15898,15346,297,300,0,0,0,35.6164383561644,29.8701298701299,0
1,90,11734,11264,376,411,0,0,0,26.5993265993266,37,0
1,100,8088,6991,436,472,0,0,0,15.9574468085106,14.8418491484185,0
1,110,6375,5171,468,504,0,0,0,7.3394495412844,6.77966101694915,0
1,120,4928,4443,535,501,0,0,0,14.3162393162393,-0.595238095238095,0
1,130,3650,4473,528,500,0,0,0,-1.30841121495327,-0.199600798403194,0
1,140,4122,4443,463,514,0,0,0,-12.3106060606061,2.8,0
1,150,5423,4559,503,498,0,0,0,8.63930885529158,-3.11284046692607,0
1,160,4231,4450,511,491,0,0,0,1.59045725646123,-1.40562248995984,0
1,170,4553,5262,499,475,0,0,0,-2.34833659491194,-3.25865580448065,0
1,180,4416,5249,526,491,0,0,0,5.41082164328657,3.36842105263158,0
1,190,4210,4575,489,501,0,0,0,-7.03422053231939,2.03665987780041,0
1,200,5256,4813,512,503,0,0,0,4.70347648261759,0.399201596806387,0
1,210,4295,5049,480,464,2,2,42,-6.25,-7.75347912524851,0
1,220,5846,6126,493,443,2,2,78,2.70833333333333,-4.52586206896552,85.7142857142857
1,230,4993,8027,453,386,1,5,158,-8.11359026369168,-12.8668171557562,102.564102564103
1,240,6716,13271,448,199,5,6,292,-1.1037527593819,-48.4455958549223,84.8101265822785
1,250,9218,24014,283,41,13,6,435,-36.8303571428571,-79.3969849246231,48.972602739726
1,260,18142,30367,106,1,16,1,374,-62.5441696113074,-97.5609756097561,-14.0229885057471
1,270,26316,31238,50,0,6,0,128,-52.8301886792453,-100,-65.7754010695187
1,280,28585,31250,42,0,1,0,31,-16,0,-75.78125
1,290,28098,31250,56,0,0,0,2,33.3333333333333,0,-93.5483870967742
1,300,27051,31250,83,0,0,0,0,48.2142857142857,0,-100
1,310,25001,31250,134,0,0,0,0,61.4457831325301,0,0
1,320,21585,31250,176,0,0,0,0,31.3432835820896,0,0
1,330,18677,31250,251,0,0,0,0,42.6136363636364,0,0
1,340,13750,31250,341,0,0,0,0,35.8565737051793,0,0
1,350,9251,31250,412,0,0,0,0,20.8211143695015,0,0
1,360,7368,31250,442,0,0,0,0,7.28155339805825,0,0
1,370,5930,31250,525,0,0,0,0,18.7782805429864,0,0
1,380,3820,31250,506,0,0,0,0,-3.61904761904762,0,0
1,390,4436,31250,496,0,0,0,0,-1.97628458498024,0,0
1,400,4961,31250,486,0,0,0,0,-2.01612903225806,0,0
1,410,5086,31250,512,0,0,0,0,5.34979423868313,0,0
1,420,4556,31250,488,0,0,0,0,-4.6875,0,0
1,430,5157,31250,520,0,0,0,0,6.55737704918033,0,0
1,440,4356,31250,483,0,0,0,0,-7.11538461538461,0,0
1,450,5329,31250,480,0,0,0,0,-0.62111801242236,0,0
1,460,5318,31250,476,0,0,0,0,-0.833333333333333,0,0
1,470,5192,31250,516,0,0,0,0,8.40336134453782,0,0
1,480,3942,31250,513,0,0,0,0,-0.581395348837209,0,0
1,490,4060,31250,512,0,0,0,0,-0.194931773879142,0,0
1,500,4132,31250,496,0,0,0,0,-3.125,0,0
1,510,5047,31250,484,0,0,0,0,-2.41935483870968,0,0
1,520,4946,31250,499,0,0,0,0,3.09917355371901,0,0
1,530,4939,31250,500,0,0,0,0,0.200400801603206,0,0
1,540,5160,31250,482,0,0,0,0,-3.6,0,0
1,550,4846,31250,500,0,0,0,0,3.7344398340249,0,0
1,560,4868,31250,496,0,0,0,0,-0.8,0,0
1,570,4570,31250,496,0,0,0,0,0,0,0
1,580,4837,31250,504,0,0,0,0,1.61290322580645,0,0
1,590,4617,31250,502,0,0,0,0,-0.396825396825397,0,0
1,600,4517,31250,489,0,0,0,0,-2.58964143426295,0,0
1,610,4678,31250,498,0,0,0,0,1.84049079754601,0,0
1,620,4494,31250,524,0,0,0,0,5.22088353413655,0,0
1,630,4113,31250,502,0,0,0,0,-4.19847328244275,0,0
1,640,4583,31250,513,0,0,0,0,2.19123505976096,0,0
1,650,4213,31250,518,0,0,0,0,0.974658869395711,0,0
1,660,4155,31250,486,0,0,0,0,-6.17760617760618,0,0
1,670,4425,31250,511,0,0,0,0,5.1440329218107,0,0
1,680,4316,31250,511,0,0,0,0,0,0,0
1,690,4268,31250,516,0,0,0,0,0.978473581213307,0,0
1,700,4152,31250,519,0,0,0,0,0.581395348837209,0,0
1,710,3818,31250,517,0,0,0,0,-0.385356454720617,0,0
1,720,4070,31250,508,0,0,0,0,-1.74081237911025,0,0
1,730,4305,31250,505,0,0,0,0,-0.590551181102362,0,0
1,740,4447,31250,504,0,0,0,0,-0.198019801980198,0,0
1,750,4017,31250,520,0,0,0,0,3.17460317460317,0,0
1,760,4041,31250,520,0,0,0,0,0,0,0
1,770,4378,31250,501,0,0,0,0,-3.65384615384615,0,0
1,780,4794,31250,475,0,0,0,0,-5.18962075848303,0,0
1,790,5468,31250,504,0,0,0,0,6.10526315789474,0,0
1,800,4491,31250,485,0,0,0,0,-3.76984126984127,0,0
1,810,4690,31250,496,0,0,0,0,2.2680412371134,0,0
