"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29358.05,29324.85,29391.5,29408.45,29373.8,29442.75,25.15,24.45,25.9,24.5,23.85,25.15,0,0,0,0,0,0,0,0,0,0.6,-2.4,3.8,-2,-4.6,0.8,0,0,0
20,20,29355.5,29287.1,29413.55,29414.85,29359.4,29463.2,35.85,34.2,37.25,37.35,35.4,39.3,0,0,0,0,0,0,0,0,0,42.8021119781989,36.429648210083,48.9542301498823,52.890066093327,44.2723084886128,62.0189241917503,0,0,0
30,20,28554.15,28433.6,28684.15,28444.85,28281.3,28588.45,51.25,49,53.55,53.6,51.25,55.8,0,0,0,0,0,0,0,0,0,43.318706665587,38.6942619968936,47.7557096271018,44.2637698712638,38.0447763526953,50.1263687293099,0,0,0
40,20,27420.45,27239.7,27588.95,27310.75,27141.1,27496.4,74.3,70.35,77.8,76.9,73.5,80.15,0,0,0,0,0,0,0,0,0,45.3464316109179,40.3314934953643,50.7792318211697,43.742646631539,40.0237839757333,46.9664497213725,0,0,0
50,20,25691.9,25426.4,25956.65,25474.45,25228.5,25725.45,107.35,101.9,113.45,108,102.65,113.15,0,0,0,0,0,0,0,0,0,44.6334908547907,40.2595195645709,49.7480069218156,40.7153508327491,35.7403896169831,45.253794615798,0,0,0
60,20,23307.15,22874.15,23697.2,23236,22814.4,23611.35,151.7,145.05,159.05,150.05,143.5,156.25,0,0,0,0,0,0,0,0,0,41.7187366204868,39.1136100589427,44.4033882212597,39.2720168200734,36.2181735137594,42.5506173902959,0,0,0
70,20,20192.7,19713.4,20629.25,20316.95,19876.7,20708.9,211.9,202.7,221.4,209.05,199.1,219.1,0,0,0,0,0,0,0,0,0,39.932993869242,37.0886785593548,42.7281270395007,39.3032459655879,37.5092119659807,41.114742095273,0,0,0
80,20,16380.8,15808.6,16976.15,16508.95,15949.1,17054.7,287.55,275.2,300.3,288.1,277.1,298.75,0,0,0,0,0,0,0,0,0,35.8980447134777,32.3612346081855,39.5601904038273,38.2492788456533,35.0660453628556,41.1719273283699,0,0,0
90,20,12108.85,11424.25,12734.85,12219.4,11598.8,12855.15,369.9,357.3,382.55,369.55,357.2,381.6,0,0,0,0,0,0,0,0,0,29.1436644681044,25.7487260357225,32.3997507740868,28.4662997134557,26.2889404438072,30.5395355930533,0,0,0
100,20,8585,8040.1,9111,8620.35,8142.4,9125.9,434.8,424.4,444.5,438.2,427.05,448.75,0,0,0,0,0,0,0,0,0,17.8464640461259,15.4277769961026,19.9355496250193,18.8830936787275,16.4239984988091,21.067079796555,0,0,0
110,20,6465.85,6169.1,6794.6,6188.5,5871.25,6492.35,482.45,474.95,490.8,481.7,475.6,488.05,0,0,0,0,0,0,0,0,0,11.197326544169,8.63759089624801,13.7110733839304,10.1589637361744,7.7756960213799,12.2589410057967,0,0,0
120,20,5081.7,4866.75,5266.75,5048.2,4854.75,5261.55,498.05,493.1,503.5,498.4,491.65,505.05,0,0,0,0,0,0,0,0,0,3.3627692527706,1.30404189563891,5.38013293001911,3.54491648997674,1.81273390958213,5.37699703889765,0,0,0
130,20,4648.15,4508.9,4790.4,4778.95,4530.95,5033.4,500.5,493.9,506.45,494.1,487.65,500.05,0,0,0,0,0,0,0,0,0,0.540493841432541,-1.02188773406443,2.11745314960755,-0.770646338997631,-2.55277842806733,0.90084552173661,0,0,0
140,20,4541,4378.05,4690.15,4718.2,4542.2,4903.35,508.3,501.55,515.85,504.5,497.9,511.25,0,0,0,0,0,0,0,0,0,1.64887634453315,-0.313528325993106,3.54624331939934,2.14634055540201,0.944416652627863,3.45184124371119,0,0,0
150,20,4391.7,4198.6,4587.7,4426.6,4229.3,4634.55,496.4,490.25,502.6,505.05,497.65,512.6,0,0,0,0,0,0,0,0,0,-2.25061090103045,-3.9872608979667,-0.609979602866319,0.2071601906086,-2.11578521344994,2.06726834771018,0,0,0
160,20,4638.45,4427.75,4825.9,4404.4,4210.65,4580.65,499.7,491.7,507.25,501.6,495.1,507.5,0,0,0,0,0,0,0,0,0,0.720005252867341,-0.898210019715769,2.41596477353181,-0.49693878335692,-3.18389172204925,1.74386831131516,0,0,0
170,20,4608.45,4419,4797.1,4560.3,4414.05,4714.5,504.05,498.65,509.35,502.9,496.35,509.1,0,0,0,0,0,0,0,0,0,0.984940893948392,-0.89880365908904,2.9926302299197,0.319123991742835,-1.19287899910682,1.82576848524708,0,0,0
180,20,4494.1,4346.1,4618.7,4458,4254.25,4649.05,502.55,497.2,507.95,505.3,500.6,509.75,0,0,0,0,0,0,0,0,0,-0.231253747729538,-1.79940977849892,1.30962693091268,0.535239368647535,-0.771490263935867,1.86638310872346,0,0,0
190,20,4542.1,4382.1,4709.1,4453.75,4311.25,4592.9,502.5,495.3,509.4,503.35,498.25,508.75,0,0,0,0,0,0,0,0,0,0.0613753291269308,-1.8186928624007,1.93684688604241,-0.329129692658876,-1.90202674000031,1.22643347274977,0,0,0
200,20,4500.05,4306.05,4697.65,4588.9,4426.45,4739.35,501.4,496.25,506.7,504.7,500.55,508.6,0,0,0,0,0,0,0,0,0,-0.132170992752275,-1.81650869150057,1.41719881580404,0.32499358328037,-0.993268893457054,1.58946820881843,0,0,0
210,20,4645.7,4468.05,4829.05,5370,5223.4,5503.5,497.45,492.05,502.55,456.35,450.2,462.35,0.1,0,0.25,0.55,0.3,0.8,49.85,47.25,52.3,-0.736041941723445,-2.12478357675474,0.522077957983966,-9.5560235834194,-10.8932862065088,-8.21612073970881,0,0,0
220,20,4888.85,4720.75,5047.35,7480.1,7215.75,7743.1,491.55,485.85,497.55,409.45,400.35,417.85,0.35,0.1,0.6,1.8,1.1,2.5,100.05,93.65,106.05,-1.12797450574276,-2.62111901226049,0.512779687820381,-10.2642663671825,-12.0146972236903,-8.58864258449363,100.210767221242,93.8976355870044,106.363082685285
230,20,5471.3,5261.3,5661.15,11461.05,10943.9,12062.5,460.65,453.95,467.55,293.1,276.1,309.05,1.35,0.9,1.85,4.35,3.55,5.15,199,183.6,213.1,-6.23032905069978,-7.86580897863073,-4.64923562040992,-28.5512692164094,-31.6367726291641,-25.1790279293719,98.6469559276071,93.8427218891288,102.588584001067
240,20,7538.8,7165.95,7925.1,20378.5,19287.05,21435.3,382.85,368.25,399.35,90.1,70.45,112.45,6.85,5.35,8.45,7.25,6.05,8.4,355.5,335.2,374.65,-16.93976156958,-19.630093820583,-13.9885961698296,-70.6593038940671,-75.8052161677891,-65.2163845348396,79.9698901476002,74.8637300333989,84.6619371669236
250,20,12751,11839.7,13520.6,29114.5,28437.55,29746.95,209.15,188.6,231,4.6,2.25,7.2,14.05,12.25,15.7,1,0.35,1.8,416.45,404.65,426.95,-45.9056506094365,-49.2877052547091,-42.0871181447306,-96.3473831387767,-97.910223706203,-94.7325190712307,19.662768220554,11.2892902184845,28.9933853561033
260,20,21649.25,20708.3,22514.1,31156.4,31090.35,31209.5,87.6,78.75,98.15,0.05,0,0.15,8.1,6.6,9.7,0.05,0,0.15,257.35,233.1,281.1,-57.7669670604669,-60.1560771479814,-55.4672099699205,-64.5833333333333,-84.5833333333333,-44.5833333333333,-38.4642126716474,-43.18308617281,-33.0116711758684
270,20,26623.5,26202,26999.25,31249.55,31248.65,31250,53.4,48.55,58.3,0,0,0,2.95,2.35,3.45,0,0,0,85.65,71.8,101.05,-36.5099027464349,-44.3209609497794,-28.9289061389336,-5,-15,0,-67.5198640232008,-69.8642085407396,-64.6796883355045
280,20,27683.05,27302.7,28054.05,31250,31250,31250,59.65,53.45,66.4,0,0,0,1,0.65,1.45,0,0,0,19.45,16.5,23.1,11.5271718216569,5.59200190707039,17.1762185047203,0,0,0,-76.6017503371067,-78.9641467701643,-74.280505707668
290,20,26906.5,26398.75,27372.3,31250,31250,31250,80.2,70.9,89.85,0,0,0,0.05,0,0.15,0,0,0,3.8,2.65,5.05,33.9566406265553,29.0224256415693,39.5417834858918,0,0,0,-81.4029417933842,-86.6230535529697,-76.1551603350764
300,20,25271.65,24556.15,25997.5,31250,31250,31250,114.25,99.85,129.15,0,0,0,0.1,0,0.25,0,0,0,0.8,0.3,1.6,41.7538338704638,36.4510845827648,47.329094127973,0,0,0,-74.1607142857143,-88.2083333333333,-58.375
310,20,22834.8,21761.6,23916.4,31250,31250,31250,161.35,141.55,180.45,0,0,0,0.1,0,0.25,0,0,0,0.3,0,0.65,41.9141912517001,38.1439050286509,45.2088947163444,0,0,0,-31.0714285714286,-53.5714285714286,-10
320,20,19643.4,18388.35,20916.9,31250,31250,31250,225.5,198.45,251.75,0,0,0,0,0,0,0,0,0,0.1,0,0.3,40.7114421547233,37.5199338423848,44.4613263381799,0,0,0,-11.6666666666667,-26.6666666666667,0
330,20,15772.2,14202.3,17175.65,31250,31250,31250,300.7,268.95,331.8,0,0,0,0,0,0,0,0,0,0.1,0,0.3,34.4668475271514,31.9383572918167,37.1818664649705,0,0,0,0,0,0
340,20,11860.5,10354.1,13392.4,31250,31250,31250,372.3,342.7,398,0,0,0,0,0,0,0,0,0,0.15,0,0.45,26.0660861512031,21.4233918415812,30.4279842333414,0,0,0,2.5,0,7.5
350,20,8794.8,7823.5,9822.1,31250,31250,31250,435.2,413.8,453.95,0,0,0,0.05,0,0.15,0,0,0,0.15,0,0.45,18.3336747003405,14.290906747616,22.3779535751758,0,0,0,0,0,0
360,20,6506.75,5896.45,7198.85,31250,31250,31250,471.8,458.1,484.1,0,0,0,0,0,0,0,0,0,0.05,0,0.15,9.14549052982264,6.07382028959603,12.6605805268602,0,0,0,-3.33333333333333,-10,0
370,20,5364.9,5005.9,5776.7,31250,31250,31250,496.65,488.9,504.15,0,0,0,0,0,0,0,0,0,0.1,0,0.3,5.64060318908716,2.69336352441596,8.37570998207442,0,0,0,5,0,15
380,20,4718.5,4520.5,4919.75,31250,31250,31250,494.25,488.05,500.3,0,0,0,0.05,0,0.15,0,0,0,0.25,0,0.75,-0.386182559487589,-2.06447737096775,1.06005621182817,0,0,0,7.5,0,22.5
390,20,4738.6,4566.7,4904.25,31250,31250,31250,502,493.5,509.35,0,0,0,0,0,0,0,0,0,0.2,0,0.6,1.64274085070041,-0.221187898085799,3.63935468232076,0,0,0,-1,-3,0
400,20,4448.2,4267.65,4627.25,31250,31250,31250,505.85,499.6,511.7,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0.918112604306417,-1.1219385696479,3.16981089840308,0,0,0,1.25,0,3.75
410,20,4404.65,4257.1,4550.3,31250,31250,31250,508,501.7,514.3,0,0,0,0,0,0,0,0,0,0.4,0,1.2,0.547957447140186,-1.74350404155492,2.83378639167526,0,0,0,3,0,9
420,20,4464.9,4252.4,4659.4,31250,31250,31250,496.45,489.35,503.05,0,0,0,0.05,0,0.15,0,0,0,0.35,0,1.05,-2.21638212281112,-3.79109501608262,-0.584681382212102,0,0,0,-0.625,-1.875,0
