"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29365,29338.55,29393,29354.95,29331.5,29379.05,25.25,24.65,25.9,25.05,24.4,25.75,0,0,0,0,0,0,0,0,0,1,-1.4,3.4,0.2,-2.4,3,0,0,0
20,20,29380.3,29323.1,29436.1,29366.95,29297.65,29439.45,37.2,35.45,39.1,39,36.5,41.6,0,0,0,0,0,0,0,0,0,47.3343665773951,40.8660968660969,54.2663621180863,55.2541982976766,47.7230406469537,62.8456561554388,0,0,0
30,20,28473.7,28339,28612.9,28325,28139.35,28492.95,53.3,51.05,55.5,53.8,51.15,56.4,0,0,0,0,0,0,0,0,0,44.0827473553218,38.9964111911868,49.6186187905647,39.0956038861589,33.5473848473165,44.6237275290329,0,0,0
40,20,27282.2,27094.45,27459.9,27211,27004.65,27412.55,74.05,70.4,77.75,75.5,71.75,79.5,0,0,0,0,0,0,0,0,0,39.1370032762398,34.341828236775,43.8376039991709,40.6280521026784,36.5280441822447,44.858145190837,0,0,0
50,20,25703.9,25430.6,25990,25625.15,25337.65,25894.3,105.1,99.35,110.35,110.25,104.95,115.35,0,0,0,0,0,0,0,0,0,42.2514060670015,37.6522682386999,46.449731776228,46.5099526164246,41.4341567233307,51.6845274311867,0,0,0
60,20,23410.4,23015.45,23819.1,23075.85,22704.6,23425.65,153.25,145.7,160.65,156.75,149.7,164.35,0,0,0,0,0,0,0,0,0,46.1248176650586,41.8378449947683,49.9419594481638,42.5699855635825,38.5560014766997,47.7093464080392,0,0,0
70,20,20047.6,19560.7,20558.35,19845.05,19307.6,20325.1,213.5,203.9,222.4,220.05,210.9,229.7,0,0,0,0,0,0,0,0,0,39.8668603624722,35.6103237777792,43.8256883800025,40.7212090633875,37.955416389205,43.5080712801024,0,0,0
80,20,16226.2,15653.5,16837.25,15878.15,15299.4,16388.1,286.85,276.85,295.85,290.55,279.85,302.1,0,0,0,0,0,0,0,0,0,34.8368028553843,31.6180532890364,38.2559706088738,32.2035122388148,30.3893122518065,34.1062844772124,0,0,0
90,20,12207.6,11706.1,12660.6,12095.3,11544.85,12582.55,367.7,356.45,377.85,370.4,357.95,383.6,0,0,0,0,0,0,0,0,0,28.3320459889941,26.4041313226887,30.1010799836191,27.6584243852973,25.7382950858169,29.7966899098809,0,0,0
100,20,8835.25,8369.25,9332.7,8614.6,8166.6,9045.95,433.3,422.75,442.85,443.15,434.3,452.65,0,0,0,0,0,0,0,0,0,18.0931735709876,15.8519136534273,20.5913665809706,20.0146818451501,17.2541291650597,22.4833070056685,0,0,0
110,20,6486.75,6178.4,6842.65,6067.85,5815.4,6326.1,477.3,468.8,485.9,479.4,473.25,486.15,0,0,0,0,0,0,0,0,0,10.429885071072,7.59629482376287,13.3502451044523,8.35071941644451,6.23274889297352,10.5056294398739,0,0,0
120,20,5190.3,4957,5451.2,5197.15,4981.9,5390.25,493.25,487.6,498.95,499.5,493.95,504.5,0,0,0,0,0,0,0,0,0,3.46757784486302,1.7563118728276,5.14325608747478,4.29996320128352,2.47234626671892,6.2111019179499,0,0,0
130,20,4816.9,4653.8,4994.4,4675.2,4546.6,4809.75,498,492.35,502.75,501.5,495.8,507.7,0,0,0,0,0,0,0,0,0,1.05675394976898,-0.819947449198361,2.84569736208518,0.466095881334991,-1.10820619810888,2.2620045915557,0,0,0
140,20,4535.5,4376.45,4692.3,4450.6,4300.15,4611.1,504.1,496.9,511.4,498.95,491.3,506.75,0,0,0,0,0,0,0,0,0,1.23993560909963,-0.0801075134640685,2.48855696575271,-0.444968439097749,-2.38899300597837,1.4901473491064,0,0,0
150,20,4562.5,4348.1,4756.05,4595.95,4397.75,4766,507.6,501.55,513.25,501.25,496.15,505.75,0,0,0,0,0,0,0,0,0,0.781929551798563,-0.720134120137699,2.49682910258381,0.584688374813934,-1.2669405351652,2.30355354069368,0,0,0
160,20,4431.4,4310.95,4554.95,4506.35,4371.3,4652.35,498,492.35,503.2,500.35,493.2,507.25,0,0,0,0,0,0,0,0,0,-1.80903638629768,-3.49062242661198,-0.132594031518997,-0.113114688332103,-2.04807574009228,1.86162712363757,0,0,0
170,20,4643.75,4491.3,4797.75,4588.95,4407.5,4759.8,503.35,499,507.5,503.8,497.2,509.5,0,0,0,0,0,0,0,0,0,1.13937560109064,-0.297524804910869,2.62106907419163,0.768355867371518,-0.770348645902212,2.36571580642897,0,0,0
