"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29377.7,29349.2,29402.2,29355.7,29326.5,29385.95,25.45,24.65,26.25,25.75,25.05,26.7,0,0,0,0,0,0,0,0,0,1.8,-1.2,5,3,0,6.6,0,0,0
20,20,29333.35,29257.3,29396.95,29335.9,29274.05,29395.95,36.75,35.05,38.2,37.95,35.85,40.1,0,0,0,0,0,0,0,0,0,44.7560518303397,37.9397339209183,51.3744051439703,47.8241679747979,39.2509222868971,57.4592438892217,0,0,0
30,20,28490.7,28361.45,28618.95,28403.45,28211,28552,51.55,49.5,54.1,52.75,50.1,55.3,0,0,0,0,0,0,0,0,0,40.9448320000687,34.8286247920394,47.2404993692655,40.0268294405269,33.6947779833381,46.3231286908895,0,0,0
40,20,27376,27197.45,27531.1,27280.9,27091.45,27476.35,74.9,71.8,78.05,75.4,72.2,78.95,0,0,0,0,0,0,0,0,0,45.7114018756038,41.3935562622719,49.9621882086168,43.4614082098867,38.6430542150563,47.9686935337328,0,0,0
50,20,25658.3,25437.4,25876.05,25667.4,25392.8,25935.75,104.7,100.75,108.8,108.7,103.6,114,0,0,0,0,0,0,0,0,0,40.1799896816916,35.7278882809953,44.134895017637,44.2171586767681,40.7097003657441,47.8642036916311,0,0,0
60,20,23475.4,23181.4,23756.7,23184.55,22782.7,23580.8,152.5,145.8,158.45,155.65,148.15,163.55,0,0,0,0,0,0,0,0,0,45.9177653082913,41.8220918862679,50.0263265956345,43.3223250767313,39.9967412149129,46.3936536235118,0,0,0
70,20,20207.5,19786.5,20679.5,19894.9,19332.2,20442.1,210.2,202.5,217.2,215.25,204.2,225.2,0,0,0,0,0,0,0,0,0,38.1685557816307,34.6520517001816,41.5426424116362,38.668723146851,35.2370866395263,42.6430915715537,0,0,0
80,20,16319.35,15815.75,16807.1,16149.9,15538.85,16786.3,287.3,277.7,296.25,294.45,281.1,306.35,0,0,0,0,0,0,0,0,0,36.9272474106078,34.0585762655339,40.0801100125557,37.1665167268289,33.9211672576543,40.3479040595454,0,0,0
90,20,12196,11678.45,12705.15,11878.7,11275.95,12496.45,372,359.5,385.2,369.05,356.4,381.35,0,0,0,0,0,0,0,0,0,29.5796437660625,27.0882273809344,31.7062228887634,25.6709512934787,23.2674662668454,28.1207207475772,0,0,0
100,20,8495,7978.05,8978.75,8567.05,8066.8,9053.85,439.1,430.35,447.05,442.8,433.1,451.9,0,0,0,0,0,0,0,0,0,18.3929299497606,16.0661803507434,20.7553659179769,20.3408402360964,17.6761055439636,22.9277021315714,0,0,0
110,20,6264.1,5956.05,6589.85,5964.4,5649.05,6246.9,478.7,473.4,484,488.65,482.45,494.55,0,0,0,0,0,0,0,0,0,9.21987123887216,7.14058807924341,11.5029506124152,10.5804419918256,8.14617110338997,12.6802141712619,0,0,0
120,20,5096.2,4927.95,5255.5,4875.7,4664.4,5092.65,497.65,492.05,502.75,498.65,489.95,506.05,0,0,0,0,0,0,0,0,0,4.03774522886756,2.38343611073126,5.90899013218853,2.08592251295438,0.609876963192007,3.61665414885343,0,0,0
130,20,4679.9,4526.1,4842.25,4620.4,4404,4823,504.75,498.9,511.3,505.1,497.5,512.15,0,0,0,0,0,0,0,0,0,1.45544286544952,0.272534497324918,2.6279190485391,1.41952305958271,-0.792451154167123,3.4412095849386,0,0,0
140,20,4488.3,4293.75,4679.3,4458.9,4256.45,4668.1,499.15,494.1,503.95,496.15,489.3,502.85,0,0,0,0,0,0,0,0,0,-1.00767764496,-2.70023884639103,0.874742715740058,-1.71607216335898,-3.12622150064074,-0.390812603991773,0,0,0
150,20,4608,4490.8,4728.45,4638.45,4447.2,4840.9,506.25,500.65,512.1,508.35,503.5,513.05,0,0,0,0,0,0,0,0,0,1.46716676675988,0.0393580637436633,2.97742343762789,2.54139011178124,1.04585565194487,4.24620960459032,0,0,0
160,20,4376.1,4207.2,4522.2,4246.65,4155.1,4331.55,505.05,498,511.35,502.15,495.6,509.1,0,0,0,0,0,0,0,0,0,-0.184689876202239,-1.67562998964296,1.33760355966154,-1.15430909401987,-2.82413422236455,0.73661327345554,0,0,0
170,20,4343.35,4184.55,4498.25,4505.65,4301.9,4709.1,501.85,495.6,508.7,504.2,497.5,510.85,0,0,0,0,0,0,0,0,0,-0.535429481363378,-2.44217358093868,1.42859929046075,0.50938749331804,-1.44276450727404,2.44960969483633,0,0,0
180,20,4472.05,4267.5,4659.1,4521.2,4344.25,4689.6,503.7,497.25,508.95,501.75,496.7,506.5,0,0,0,0,0,0,0,0,0,0.444470098705888,-1.12906769435996,2.00428239231642,-0.392132419278737,-2.12559308218584,1.30134529411972,0,0,0
190,20,4484.3,4354,4627.6,4593.1,4435.9,4725.4,504.15,499.55,508.75,499.95,493.65,507.25,0,0,0,0,0,0,0,0,0,0.168497899560632,-1.4062328206117,1.84340297694438,-0.292984392721204,-1.94840162200558,1.60126275752685,0,0,0
200,20,4513.05,4377.5,4633.75,4537.75,4394.7,4683.15,502.15,497.5,506.6,503.45,497.2,509.2,0,0,0,0,0,0,0,0,0,-0.333240879475358,-1.85138395609851,1.10338815937862,0.798680158380414,-1.16003778110139,2.61692382956768,0,0,0
210,20,4770.65,4649.65,4886.85,4741.8,4571.75,4919.15,479.5,474.85,483.9,491.85,486.15,497.65,1.65,1.1,2.2,1.15,0.75,1.55,42.1,39.05,45.55,-4.46453731726201,-5.70249958473162,-3.18454800897153,-2.21243931403863,-3.98869918056285,-0.411088166749031,0,0,0
220,20,5327.2,5182.65,5479.9,5190.1,5022.85,5360.55,478.75,472.05,485.05,478.1,471.3,485.2,1.35,0.85,2,1.6,1,2.2,73.1,68.15,78.25,-0.113901897496173,-1.6463983239282,1.47077536907661,-2.72211821142384,-4.62923642063233,-0.961410228239413,74.797466363438,68.0900952978683,80.4899713065205
230,20,5593,5358.95,5825.5,5799.2,5558.4,6053.75,467.95,463.35,472.95,451.7,445,458,2.1,1.5,2.85,2.35,1.8,2.9,130.4,121.25,139.5,-2.14106489285088,-3.89180836640186,-0.19798584908678,-5.43720481102669,-7.10972793904526,-3.67028393721921,78.5233368747685,72.4586754557633,84.1758602083042
240,20,6610.65,6426.75,6812.35,6957.6,6674.85,7262.65,418.45,408.55,427.1,416.05,404.8,426.15,3.95,3.05,4.8,4.3,3.3,5.25,228.4,213.3,244.7,-10.5684343807826,-12.4361910239685,-8.77118516955504,-7.90932860241905,-9.60998884119018,-6.16124976796624,75.6556629330062,70.582035986028,80.8015595205316
250,20,8979.35,8473.1,9529.35,9313.65,8744.75,9872.35,351.65,339.2,363.1,336.45,321.3,350.2,7.95,6.75,9.15,7.8,6.55,9.1,383.15,356.45,408.7,-15.9587306073885,-18.1736925144153,-13.501583511447,-19.1960408127219,-21.7732089220078,-16.6501987574812,68.0883307201174,65.6921117719302,70.4214415012305
260,20,13620.1,12838.5,14402.2,14195.45,13260.8,15119.05,226.75,208.4,245.05,215.75,194,236,10.7,9.35,12,10.4,8.75,11.9,587.05,560.45,611.85,-35.9829640900671,-39.3516738220869,-32.4818960685855,-36.5497432981301,-41.2258537888259,-32.1880577399909,54.3596730334369,50.2538727003005,58.4256672692941
270,20,21402.45,20350.1,22457.9,21957.25,20865.95,23028,85.45,69.5,103.9,81.7,65.3,95.25,8.5,7.2,9.85,7.05,5.7,8.45,676.75,665.35,689.35,-63.9800692905706,-68.5620009174955,-59.4707828021692,-63.4487387319029,-67.1723415883431,-59.9636208726708,16.6554661775678,10.0426579797494,22.5709028858323
