"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,25,25,0,0,0,0,0,0
1,10,29306,29355,23,25,0,0,0,-8,0,0
1,20,29509,29417,42,41,0,0,0,82.6086956521739,64,0
1,30,28132,28117,59,64,0,0,0,40.4761904761905,56.0975609756098,0
1,40,26746,26345,86,95,0,0,0,45.7627118644068,48.4375,0
1,50,24871,24153,117,142,0,0,0,36.046511627907,49.4736842105263,0
1,60,22479,20901,179,207,0,0,0,52.991452991453,45.7746478873239,0
1,70,18291,16739,231,263,0,0,0,29.0502793296089,27.0531400966184,0
1,80,14970,13349,313,370,0,0,0,35.4978354978355,40.6844106463878,0
1,90,10258,8528,425,427,0,0,0,35.7827476038339,15.4054054054054,0
1,100,6816,7002,469,478,0,0,0,10.3529411764706,11.943793911007,0
1,110,5857,5131,482,494,0,0,0,2.77185501066098,3.34728033472803,0
1,120,4917,4481,493,504,0,0,0,2.28215767634855,2.02429149797571,0
1,130,4700,4731,495,525,0,0,0,0.405679513184584,4.16666666666667,0
1,140,4894,3603,514,501,0,0,0,3.83838383838384,-4.57142857142857,0
1,150,4390,4030,497,493,0,0,0,-3.30739299610895,-1.59680638722555,0
1,160,4556,4582,498,528,0,0,0,0.201207243460765,7.09939148073022,0
1,170,4469,4537,487,491,0,0,0,-2.20883534136546,-7.00757575757576,0
1,180,4978,4340,511,514,0,0,0,4.92813141683778,4.68431771894094,0
1,190,4722,4183,501,501,0,0,0,-1.95694716242661,-2.52918287937743,0
1,200,4582,4374,484,503,0,0,0,-3.39321357285429,0.399201596806387,0
1,210,5300,4586,488,472,1,1,41,0.826446280991736,-6.16302186878728,0
1,220,4890,5420,484,475,2,2,66,-0.819672131147541,0.635593220338983,60.9756097560976
1,230,5458,6218,446,434,5,4,114,-7.85123966942149,-8.63157894736842,72.7272727272727
1,240,7348,7535,400,415,6,5,152,-10.3139013452915,-4.3778801843318,33.3333333333333
1,250,9393,8745,345,350,7,9,236,-13.75,-15.6626506024096,55.2631578947368
1,260,12487,11920,273,282,7,12,304,-20.8695652173913,-19.4285714285714,28.8135593220339
1,270,16399,16810,171,178,9,12,327,-37.3626373626374,-36.8794326241135,7.56578947368421
1,280,22531,21730,107,131,5,6,256,-37.4269005847953,-26.4044943820225,-21.7125382262997
1,290,25709,24267,66,81,1,5,170,-38.3177570093458,-38.1679389312977,-33.59375
1,300,27590,26566,53,64,1,5,100,-19.6969696969697,-20.9876543209877,-41.1764705882353
1,310,27699,26978,55,70,1,1,38,3.77358490566038,9.375,-62
1,320,27595,26290,65,78,1,0,21,18.1818181818182,11.4285714285714,-44.7368421052632
1,330,26381,25679,86,108,0,1,11,32.3076923076923,38.4615384615385,-47.6190476190476
1,340,25120,23467,118,152,1,2,10,37.2093023255814,40.7407407407407,-9.09090909090909
1,350,22655,20343,179,210,0,1,10,51.6949152542373,38.1578947368421,0
1,360,18505,16652,225,257,1,2,12,25.6983240223464,22.3809523809524,20
1,370,15938,13686,289,329,0,0,16,28.4444444444444,28.0155642023346,33.3333333333333
1,380,11988,10315,347,417,0,0,17,20.0692041522491,26.7477203647416,6.25
1,390,9544,6931,425,456,3,2,23,22.478386167147,9.35251798561151,35.2941176470588
1,400,7407,5522,444,479,1,1,40,4.47058823529412,5.04385964912281,73.9130434782609
1,410,6434,4968,474,502,2,1,74,6.75675675675676,4.80167014613779,85
1,420,6636,5282,423,440,5,5,130,-10.7594936708861,-12.3505976095618,75.6756756756757
1,430,8461,7718,372,374,3,12,184,-12.0567375886525,-15,41.5384615384615
1,440,11140,11381,289,296,10,12,276,-22.3118279569892,-20.855614973262,50
1,450,16087,15946,224,191,8,11,333,-22.4913494809689,-35.472972972973,20.6521739130435
1,460,20427,21576,108,116,14,7,332,-51.7857142857143,-39.2670157068063,-0.3003003003003
1,470,26532,25478,35,57,4,2,211,-67.5925925925926,-50.8620689655172,-36.4457831325301
1,480,29357,27947,27,61,1,0,60,-22.8571428571429,7.01754385964912,-71.563981042654
1,490,29373,27221,27,61,1,0,21,0,0,-65
1,500,29085,26772,43,84,0,0,2,59.2592592592593,37.7049180327869,-90.4761904761905
1,510,27921,24995,58,119,0,0,0,34.8837209302326,41.6666666666667,-100
1,520,26951,22167,90,178,0,0,0,55.1724137931034,49.5798319327731,0
1,530,24639,18384,126,235,0,0,0,40,32.0224719101124,0
1,540,21877,15010,175,304,0,0,0,38.8888888888889,29.3617021276596,0
1,550,18510,11389,251,366,0,0,0,43.4285714285714,20.3947368421053,0
1,560,13561,8500,344,472,0,0,0,37.0517928286853,28.9617486338798,0
1,570,9112,5376,422,503,0,0,0,22.6744186046512,6.56779661016949,0
1,580,6601,4831,475,491,0,0,0,12.5592417061611,-2.38568588469185,0
1,590,5167,4971,499,500,0,0,0,5.05263157894737,1.83299389002037,0
1,600,4876,4784,487,503,0,0,0,-2.40480961923848,0.6,0
1,610,4499,4556,524,500,0,0,0,7.59753593429158,-0.596421471172962,0
1,620,3755,4252,513,520,0,0,0,-2.09923664122137,4,0
1,630,4509,4186,495,529,0,0,0,-3.50877192982456,1.73076923076923,0
1,640,4514,4222,530,498,0,0,0,7.07070707070707,-5.86011342155009,0
1,650,4054,4425,488,495,0,0,0,-7.92452830188679,-0.602409638554217,0
