timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29475,29449,24,25,0,0,0
20,29416,29379,34,36,0,0,0
30,28692,28493,51,52,0,0,0
40,27322,27431,72,80,0,0,0
50,25758,25324,102,118,0,0,0
60,23307,22609,161,175,0,0,0
70,19614,18739,230,216,0,0,0
80,15208,15898,300,294,0,0,0
90,11507,12073,379,370,0,0,0
100,7998,8452,461,444,0,0,0
110,5468,5926,500,501,0,0,0
120,4354,3842,504,525,0,0,0
130,4478,4148,503,514,0,0,0
140,4509,4421,503,487,0,0,0
150,4922,4451,475,510,0,0,0
160,5544,4304,484,527,0,0,0
170,5098,3816,489,499,0,0,0
180,4810,4354,504,511,0,0,0
190,4681,4590,517,484,0,0,0
200,4148,4917,510,489,0,0,0
210,4496,5027,493,511,0,0,50
220,5296,4566,450,474,4,2,63
230,6648,6025,461,435,2,6,104
240,6981,6913,387,431,8,4,177
250,9869,8433,346,379,6,11,277
260,13281,11461,260,265,10,13,381
270,18181,18164,143,149,11,16,452
280,24473,24256,58,56,13,5,376
290,28228,28581,26,30,3,3,155
300,29555,29724,28,14,0,2,56
310,29366,30201,25,22,0,0,13
320,29422,29504,32,34,0,0,6
330,28887,28732,58,45,0,0,1
340,26914,27878,76,69,0,0,0
350,25596,26156,111,92,0,0,0
360,23392,24566,156,131,0,0,0
370,20186,21379,206,180,0,0,0
380,16947,18368,281,262,0,0,0
390,12656,13570,361,315,0,0,0
400,8949,10628,421,397,0,0,0
410,6449,7612,469,458,0,0,0
420,5656,5410,494,506,0,0,0
430,4893,4436,479,528,0,0,0
440,4742,4190,537,497,0,0,0
450,4079,4351,487,488,0,0,0
460,4758,5083,483,480,0,0,0
470,4723,5010,498,509,0,0,0
480,4376,4482,487,506,0,0,0
490,4707,4055,534,503,0,0,0
500,3728,3925,517,527,0,0,0
510,4303,4183,492,531,0,0,0
520,4716,4008,498,482,0,0,0
530,4730,5077,492,514,0,0,0
540,4356,4550,498,494,0,0,0
550,4008,4500,515,506,0,0,0
560,4282,4250,529,487,0,0,0
570,4596,4619,496,510,0,0,0
580,4267,4338,527,521,0,0,0
590,4227,3750,483,501,0,0,0
600,5300,4721,479,502,0,0,0
610,5351,4463,474,499,0,0,0
620,5210,4581,528,517,0,0,0
630,3769,4557,502,492,0,0,0
640,4462,4578,488,481,0,0,0
650,4908,5011,517,525,0,0,0
660,4050,4268,509,508,0,0,0
670,4300,4196,505,478,0,0,0
680,4387,4994,510,520,0,0,0
690,4085,3886,499,522,0,0,0
700,4677,4120,517,498,0,0,0
710,4332,4552,515,478,0,0,0
720,4299,5054,479,490,0,0,0
730,5043,4971,478,513,0,0,0
740,5060,4099,490,504,0,0,0
750,4798,4426,535,501,0,0,0
760,3851,4739,502,466,0,0,0
770,4124,5350,516,491,0,0,0
780,4145,4854,492,499,0,0,0
790,4770,4718,498,506,0,0,0
800,4511,4517,531,517,0,0,0
810,3956,4299,492,484,0,0,0
820,5019,4895,502,509,0,0,0
830,4831,4340,495,494,0,0,0
840,4680,4468,512,520,0,0,0
850,4299,3829,472,516,0,0,0
860,5090,4085,499,508,0,0,0
870,4352,4419,498,492,0,0,0
880,4599,4733,503,507,0,0,0
890,4547,4576,508,483,0,0,0
900,4445,4869,492,502,0,0,0
910,4800,4746,523,514,0,0,0
920,3848,4754,505,482,0,0,0
930,4315,5152,502,515,0,0,0
940,4471,4384,515,500,0,0,0
950,3958,4572,500,478,0,0,0
960,4361,4927,496,513,0,0,0
970,4729,4514,491,500,0,0,0
980,4792,4279,521,519,0,0,0
990,3954,3851,505,502,0,0,0
1000,4415,4809,502,497,0,0,0
