"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29355.5,29325.7,29385.85,29388.3,29363.3,29411.75,25.75,25.25,26.3,24.65,24.1,25.2,0,0,0,0,0,0,0,0,0,3,1,5.2,-1.4,-3.6,1,0,0,0
20,20,29300.55,29262.7,29337.25,29390.5,29337.15,29439,38.5,36.55,40.45,37.05,35.55,38.5,0,0,0,0,0,0,0,0,0,49.7139499389499,42.257326007326,57.2916564916565,50.6700080515298,43.9583952681779,57.3248575498576,0,0,0
30,20,28324.2,28180.7,28465.25,28478.9,28353.25,28590.1,54.6,52.7,56.45,53.85,51.75,55.75,0,0,0,0,0,0,0,0,0,42.9828678622966,36.2721623056224,48.9820572800638,46.1920615355534,39.7744809410406,52.5210699713267,0,0,0
40,20,27186.8,27059.55,27313.65,27225.95,27075.35,27389.95,76.3,73.2,80,76.1,72.95,79.65,0,0,0,0,0,0,0,0,0,40.1076292856481,34.9665338149491,45.367214967083,41.5630060294125,36.4907751735422,46.4285294601195,0,0,0
50,20,25548.8,25282.15,25772,25568.5,25288.6,25823.35,108.65,105.25,112.75,105.8,101.05,110.5,0,0,0,0,0,0,0,0,0,42.8155421483719,39.5211880821592,46.4237139092152,39.4304388190759,34.9468519390277,44.0565957712125,0,0,0
60,20,23129.2,22818.45,23383.25,23417,23073.7,23771,157.85,150.7,164.95,151.1,144.8,157.85,0,0,0,0,0,0,0,0,0,45.3163457861399,40.9722323006021,49.6571890138759,43.0741732187988,39.2585209857747,46.0990431826709,0,0,0
70,20,19700.1,19192.15,20161.35,20237.35,19802.85,20688.6,222.85,215.45,230.4,208.35,200.65,216.45,0,0,0,0,0,0,0,0,0,41.5874190671611,38.5969418484383,44.5516417588538,38.2022471269339,35.4494714065945,41.0483479052627,0,0,0
80,20,15726.3,15264.8,16141.65,16573.25,16054.95,17083.45,300.15,290.55,310.95,287.1,277.05,296.1,0,0,0,0,0,0,0,0,0,34.8725515532281,32.1870366906817,37.6184827931361,38.1596160618499,34.4082855024778,41.4236392550284,0,0,0
90,20,11571.6,11145.65,11971.35,12188.5,11816.05,12630.45,381.25,373.15,389.45,369.3,358,380.3,0,0,0,0,0,0,0,0,0,27.4627772543089,24.4245626848047,30.2541702254037,28.8886949474212,26.1730474590324,31.8900794623671,0,0,0
100,20,7965.75,7646.9,8276.15,8626.95,8199,9059.4,445.1,437.9,452,433.85,426.3,441.85,0,0,0,0,0,0,0,0,0,16.900694263858,14.8846219051313,19.0424012689688,17.7850084926936,15.0273538722599,20.3457568262507,0,0,0
110,20,6020.1,5784.05,6252.2,6400.4,6144.05,6662.75,483.9,475.75,492,478.05,467.8,487.2,0,0,0,0,0,0,0,0,0,8.80743191823227,6.45685236411502,10.8325495048583,10.2881928178157,8.05340319433945,12.5754218889234,0,0,0
120,20,4927.25,4712.1,5134.9,5084.65,4749.8,5420.1,500.75,494.4,506.35,500.5,493.75,507.15,0,0,0,0,0,0,0,0,0,3.6548162251064,1.41121921330516,5.94861593852354,4.89753141351443,2.58155073319485,7.33220173075252,0,0,0
130,20,4594.95,4449.55,4736.9,4565.15,4378.75,4747.1,503.2,496.6,510,503.2,497.6,509.45,0,0,0,0,0,0,0,0,0,0.609576933110647,-1.58234576437967,2.98238518019884,0.627521495088643,-1.03705671316434,2.24011788417134,0,0,0
140,20,4449.5,4289.9,4615.55,4414.3,4236.35,4580.55,504.65,498.2,509.85,500.25,493.55,506.5,0,0,0,0,0,0,0,0,0,0.368073055960261,-1.12586770869753,1.93109693316931,-0.499321636433384,-2.66977425438915,1.16006321164444,0,0,0
150,20,4471,4300.6,4647.2,4547.1,4403.15,4685.5,502.35,497.3,506.55,503.8,497.55,508.95,0,0,0,0,0,0,0,0,0,-0.397583367684425,-1.70524724828244,0.972128567471946,0.802271642849726,-0.912605092028655,2.70908544876382,0,0,0
160,20,4478.45,4329.3,4641.75,4527.45,4368.45,4706.95,504.55,498.3,509.95,504.75,498.25,510.1,0,0,0,0,0,0,0,0,0,0.479981707026968,-0.873872485481388,1.94880240682191,0.265701332333522,-1.45129246150854,2.05820343699505,0,0,0
170,20,4427.7,4251.7,4597.8,4572.35,4375.45,4778.85,504.05,499.25,508.65,503.75,496.15,510.75,0,0,0,0,0,0,0,0,0,-0.0293124544218795,-1.63032822276565,1.51268006726892,-0.116715495621563,-2.09566320049052,1.8369876303111,0,0,0
180,20,4485.85,4356.05,4606.6,4368.95,4183.4,4559,501.9,495.85,507.55,508.1,503.55,513.2,0,0,0,0,0,0,0,0,0,-0.380379763721122,-1.75284393204873,1.1457841975646,0.925505175013841,-0.339328120187748,2.05438778371939,0,0,0
190,20,4539.95,4399.3,4682.8,4406.75,4276.5,4521.6,505.8,501.2,510.3,499.6,494.1,505.25,0,0,0,0,0,0,0,0,0,0.870484318987633,-0.919341740631813,2.5287049035027,-1.61922967743728,-3.15742605789284,0.0356288128606698,0,0,0
200,20,4479.3,4286.05,4670.3,4592.7,4460.8,4730.1,502.75,498.45,507.05,502.95,497.9,507.95,0,0,0,0,0,0,0,0,0,-0.552779468142999,-1.92296306346815,0.763621245469556,0.738850371497402,-0.693290277192618,2.1924770043921,0,0,0
210,20,4720.65,4553.8,4858.1,4872.35,4712,5021.45,483.6,478.6,488.75,478.75,472.05,485.8,1.35,0.8,1.95,1.9,1.3,2.5,38.2,36.25,40.2,-3.77094253403998,-5.07281004983273,-2.49930151307406,-4.76838312987347,-6.16784800717279,-3.13255044676984,0,0,0
220,20,5362.6,5183,5542.2,5508.7,5289.55,5736.05,471.7,466,477.15,466.95,461.2,473.75,1.95,1.4,2.45,1.9,1.3,2.6,63.45,60.15,67.2,-2.40645237982674,-4.03033640125296,-0.914532713569131,-2.39085273656092,-3.97200936984461,-0.858168276545358,67.0872483768382,59.9279985623252,74.8047846889952
230,20,5848.35,5697.15,6027,5985.2,5799.8,6154.9,454.5,447.6,460.75,450.05,444.2,456.4,3.05,2.2,3.85,2.7,1.9,3.5,107.2,101.1,113.7,-3.58903383128507,-5.30770714237093,-1.93009620783818,-3.52021730445167,-5.48715606558187,-1.49951927913725,69.0198558858049,64.1468660634882,73.4551581429983
240,20,6867.2,6582,7142.6,6812.7,6542.6,7121.2,413.75,403.6,423.65,421.8,413.5,428.75,6.05,4.75,7.45,5.15,4.2,6.05,177.25,168.25,185.6,-8.95423448351255,-10.9691761080855,-6.94660698948286,-6.22454869465799,-8.08621671139698,-4.45886390825464,66.0337269261868,61.669607512614,69.8905234180472
250,20,9013.9,8510.6,9514.5,8605.55,8190.65,9009.5,354.15,344.05,362.85,359,343.45,373.45,7.5,6.25,9,7.9,6.65,9.1,278.5,265.3,291.85,-14.390368056168,-15.8275383107511,-13.0659254537947,-15.0350180218931,-17.2156006020213,-12.9487670074162,57.476727861865,53.4850500457327,61.302788807581
260,20,12906.2,12267.65,13610.15,12469.95,11719.95,13312.5,250,233.9,264.3,254.6,237.45,270,10.85,9.15,12.5,11.4,10.3,12.65,390.4,376.4,404.05,-29.6881576374067,-32.5793452972021,-26.5861390150071,-29.3585558252625,-31.983651494362,-26.991786468837,40.6459861958404,37.7508045652185,43.1631767410157
270,20,19032.15,18223.65,19902.95,18883.3,17868.7,19896.45,132.75,117.1,148.35,134.2,116.95,152.4,9.95,8.5,11.45,9.75,8.55,11,449.95,439.9,459.95,-47.7411832091436,-51.4162309273236,-43.9473885332806,-48.3600683304757,-52.5051633775741,-44.409541849497,15.928290661304,11.5218785168996,19.9838250257884
280,20,25181.75,24445.5,25932.25,25165,24211.1,26020.9,54.2,46.25,62,56.1,46.4,66.4,5.75,4.45,7,5.15,3.8,6.5,340.1,315.2,363.25,-59.1320000362352,-61.933569076999,-55.8815741234571,-58.9336446686776,-62.5356961753105,-55.695675204519,-24.3477435650646,-29.5823990979652,-19.129017815002
290,20,28639.75,28285.65,28938.8,28509,27998.5,28967.4,24.55,21.6,27.6,28.8,24.9,32.8,1.95,1.35,2.55,2,1.2,2.95,152.45,127.05,176.1,-53.0166563157614,-58.0242265104475,-47.2599041672622,-45.4079821528571,-50.7375061748379,-38.9110665512358,-56.3724802155851,-60.7121151797368,-51.689674562061
300,20,29777.65,29576.8,29953.9,29550.25,29318.4,29768.35,21.05,17.95,24.05,23.4,19.8,26.65,0.9,0.5,1.3,1,0.55,1.45,47.05,37.5,56.75,-12.628553520826,-22.8889724310777,-1.91012043008414,-15.6738013268813,-27.7041885983415,-4.40842796021824,-70.6038354156718,-73.3969751060516,-67.9731073095395
310,20,29777.45,29565.15,29976.65,29627,29356.9,29877.85,24.65,20.9,28.55,27.7,23.55,31.65,0.4,0.1,0.9,0.45,0.25,0.65,12.9,10.05,15.55,19.9406460882987,9.47781354657416,30.265154447132,21.5623221503,9.66579498372136,32.6948083986279,-72.6870585231155,-76.7918670756906,-68.3019705024137
320,20,29444.8,29167.25,29700.75,29214.8,28937.6,29526.4,33.25,27.65,39.25,38.15,32.8,43.35,0,0,0,0.2,0.05,0.4,4.9,3.5,6.25,34.314258661977,24.4709979584861,44.0978151767954,40.2964565925974,32.0950784947477,49.6860030794223,-60.3338940471293,-71.7821679954033,-49.3611780376486
330,20,28794.55,28324.45,29179,28427.15,28021.55,28798.55,46.35,39.3,53.65,52.6,46.15,59.5,0,0,0,0,0,0,1.6,0.85,2.35,43.0771445574583,34.7620975736534,51.7724770296804,39.4938951065266,32.3641160501048,47.800061779151,-61.955266955267,-77.0878427128427,-44.3055555555556
340,20,27802.45,27257.65,28298.85,27321.7,26770.6,27883.25,67.4,56.65,77.95,75.45,64.2,86.05,0,0,0,0,0,0,0.85,0.4,1.3,45.6341399232963,40.2352659568872,51.566047876006,43.4614474012576,37.1070723956754,49.7276546166635,-24.8333333333333,-45,-5.5
350,20,26271.5,25502.45,27029.25,25663.3,24888.35,26442.05,95.1,81.5,109.5,105.5,89.5,120.6,0.05,0,0.15,0.05,0,0.15,0.9,0.4,1.5,41.5201385196975,36.8941986195753,46.3967227357395,40.8956645716978,34.4686331904208,46.9709620433729,12.5,-17.5,60
360,20,24269.1,23235.6,25360.85,23508.45,22457.45,24571.6,134.45,115.3,153.75,151.8,129.75,171.65,0,0,0,0.05,0,0.15,1.25,0.45,2.35,43.0146677108231,38.8191374018561,48.0038923478393,45.4119526120053,40.2276673816543,52.0887420617345,17,-15,58.5
370,20,21585.85,20239.1,22825.45,20366.65,19115.5,21726.75,184.45,160.55,207.65,206.9,180.8,232.4,0,0,0,0,0,0,1.55,0.55,2.75,38.0561831846538,34.7807227253341,41.3722615500617,37.1039628717632,34.2243341629179,40.5192128078313,21.2142857142857,0.714285714285715,47.8571428571429
380,20,18291.2,16703.15,19943.85,16839.35,15319.15,18342.55,250.85,221.2,279.8,277.45,244.25,310.6,0.05,0,0.15,0.05,0,0.15,2.35,0.3,4.6,37.8384728325443,34.3184928338699,41.7221310388431,35.1871896687132,32.6611208689918,37.9637527673452,5.20833333333333,-15,24.375
